year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Epping 66_11kV,01MAY2012,MW,26.85434,26.12195,24.76984,24.84496,24.92007,23.86843,22.85435,21.87783,20.93887,20.26282,19.86845,19.19240,18.70414,18.38489,17.99053,17.78396,17.48349,17.38959,17.42715,17.55860,18.51635,18.77926,19.60554,20.56329,23.38017,25.29566,27.47405,28.67592,31.81206,33.07027,34.06557,34.49749,34.96697,34.64773,34.34726,34.34726,34.57261,34.68529,35.24866,34.76040,34.76040,35.15477,34.29092,34.68529,34.89186,35.32378,35.15477,35.54913,35.43646,34.61017,35.00453,34.89186,34.85430,34.49749,34.79796,34.76040,34.61017,34.15947,34.25336,33.89656,34.04679,33.59609,34.02801,34.51627,34.29092,34.45993,34.92942,35.60547,35.90594,36.82612,37.67119,37.57729,36.76978,36.54443,35.86838,36.01861,35.28622,34.76040,34.38482,33.76510,33.20172,32.54445,32.50689,32.09375,31.04211,30.30972,29.65245,29.10785,29.29564,29.84024,29.80268,28.78860,27.41771,27.32382,27.15480,26.04683
2013,Epping 66_11kV,02MAY2012,MW,26.29096,25.69002,24.58205,24.71350,24.61960,23.28628,22.34731,21.29568,20.63840,20.13136,19.41775,19.06094,18.66658,18.36611,18.27222,17.97175,17.87785,17.57738,17.57738,17.57738,18.34733,18.83559,19.45531,20.61962,23.06093,24.78862,27.21114,28.63837,31.09845,32.35666,33.52097,33.82144,34.51627,34.44116,34.32848,33.87778,34.57261,34.77918,35.00453,35.30500,34.87308,35.04209,34.94820,34.85430,35.24866,35.71814,35.49279,35.83082,35.51157,35.19233,35.75570,35.81204,35.77448,35.92472,35.79326,35.49279,35.66181,35.36134,35.11721,35.45524,35.17355,35.24866,35.15477,34.83552,34.85430,35.36134,35.96228,36.31908,37.25804,38.32846,38.25334,38.00921,36.75100,36.11251,35.32378,35.15477,34.25336,33.97167,33.67121,33.18295,32.60079,31.77450,31.64305,31.26746,30.44117,29.72756,28.99517,28.03743,28.30034,29.38954,29.05151,27.96231,26.81678,26.57265,26.68532,25.55857
2013,Epping 66_11kV,03MAY2012,MW,25.89659,25.27688,23.92477,24.05623,24.05623,22.96703,22.04685,21.12666,20.41305,19.79334,19.24874,18.68536,17.93419,17.69006,17.46471,17.27692,17.10790,17.22058,17.27692,17.27692,17.91541,18.32855,19.09850,19.88723,22.25342,24.13134,25.93415,27.02335,29.40831,31.15479,32.16887,32.56323,33.16417,33.22050,33.78388,34.14069,34.34726,34.66651,34.76040,34.72284,34.92942,34.57261,34.81674,35.07965,35.53035,35.66181,35.58669,35.45524,35.96228,35.13599,35.60547,35.22988,35.21110,35.07965,34.64773,34.29092,34.47871,34.40360,34.68529,34.25336,34.91064,34.66651,34.92942,34.92942,34.98575,35.21110,35.39890,35.41768,35.36134,36.18763,38.32846,38.66649,37.85898,37.44584,37.52095,37.16415,36.54443,35.79326,35.56791,35.32378,35.02331,34.62895,34.38482,33.87778,32.33788,31.00455,29.74634,29.10785,29.08907,29.80268,29.80268,28.69470,27.22992,27.36138,27.17358,26.25340
2013,Epping 66_11kV,04MAY2012,MW,26.53509,25.84026,24.48815,24.75106,24.67594,23.13604,22.34731,21.48347,20.46939,19.68066,19.26752,18.77926,18.36611,18.06564,17.63372,17.63372,17.87785,17.67128,17.40837,17.38959,18.21588,18.81681,19.39897,20.46939,23.02337,24.60083,26.59143,27.88720,30.61019,31.96229,33.03271,33.95289,34.66651,34.61017,34.27214,34.14069,34.36604,34.98575,34.83552,34.62895,34.17825,34.30970,34.64773,34.12191,34.14069,34.62895,34.53505,34.47871,34.64773,34.45993,34.85430,34.89186,34.49749,34.42238,34.38482,34.44116,34.38482,34.34726,34.30970,33.95289,33.95289,33.61487,33.93412,34.47871,34.70407,35.06087,34.44116,34.89186,35.38012,36.56321,37.03269,36.78856,35.56791,35.06087,34.64773,34.53505,33.76510,32.95759,32.52567,32.48811,31.88718,31.15479,31.07967,30.94821,30.02803,29.40831,29.23930,28.60081,29.08907,30.10315,29.87780,29.05151,27.69940,27.69940,27.79330,26.61021
2013,Epping 66_11kV,05MAY2012,MW,26.87312,26.70410,25.44589,25.35200,25.53979,24.16890,23.06093,22.06563,21.08910,20.58206,19.92479,19.34263,18.76048,18.68536,18.21588,18.08442,17.82151,17.82151,17.72762,17.72762,17.72762,18.14076,18.14076,18.53513,19.04217,19.54921,20.20648,20.60084,21.37079,22.70412,23.81210,23.96233,25.67124,26.40363,26.92945,27.38016,28.16888,28.46935,28.65714,28.65714,28.73226,28.37546,28.01865,28.20644,27.73696,27.96231,27.71818,27.90597,28.48813,28.67592,28.69470,28.50691,28.01865,27.83086,27.53039,27.38016,27.28626,27.28626,26.94823,27.49283,27.15480,27.15480,27.15480,27.53039,28.22522,28.24400,28.82616,29.20174,29.31442,30.38484,31.90596,32.52567,32.54445,32.61957,32.30032,31.88718,31.21112,30.45995,29.84024,29.12663,28.75104,28.48813,28.20644,28.20644,27.83086,27.36138,27.56795,27.34260,27.99987,28.99517,28.80738,27.98109,27.28626,27.98109,27.69940,27.04213
2013,Epping 66_11kV,06MAY2012,MW,27.47405,27.09847,26.14072,26.23462,25.89659,24.71350,23.66186,22.61022,21.80272,21.25812,20.41305,19.77456,19.60554,19.21118,18.77926,18.36611,18.38489,18.04686,17.97175,17.95297,17.69006,18.02809,18.02809,18.36611,18.66658,19.24874,19.90601,20.11258,20.67596,21.52103,22.42243,23.38017,24.37547,25.10787,25.44589,26.00927,26.77922,27.26748,27.28626,27.54917,28.05621,28.05621,27.92475,27.71818,27.49283,27.60551,27.07969,26.64776,27.07969,27.45527,27.13602,26.98579,26.70410,26.62898,26.47875,26.34730,26.29096,26.10317,26.23462,26.19706,26.15950,26.29096,26.47875,26.81678,27.06091,27.13602,27.39893,27.84964,28.61959,30.29094,31.98107,32.99515,32.99515,33.27684,33.29562,32.97637,32.33788,32.15009,31.94351,31.47403,31.09845,30.79798,30.79798,30.72286,29.82146,29.20174,28.80738,28.11255,28.97639,29.93413,29.29564,28.28156,27.51161,27.38016,27.09847,26.25340
2013,Epping 66_11kV,07MAY2012,MW,26.47875,25.84026,25.05153,25.12664,25.18298,24.26280,23.02337,22.21586,21.48347,20.76986,20.01869,19.45531,18.91071,18.51635,18.23466,18.12198,18.12198,18.12198,18.12198,18.12198,18.94827,19.60554,20.11258,21.40835,24.90129,26.76044,28.60081,30.40362,33.22050,34.83552,36.45054,36.78856,37.23926,37.67119,37.31438,37.31438,37.33316,37.20171,36.78856,37.10781,36.67589,36.33786,36.39420,36.20641,36.09373,36.15007,35.75570,35.73692,35.00453,34.79796,34.62895,34.55383,34.34726,34.04679,33.72754,33.91534,33.57731,33.57731,33.53975,33.46463,33.67121,33.57731,33.80266,33.95289,34.72284,35.02331,35.88716,36.45054,37.12659,38.89184,39.94348,40.48808,38.98574,38.83550,38.59137,38.15945,38.34724,37.85898,37.18293,36.93880,35.98105,35.75570,35.30500,34.98575,33.25806,32.60079,32.15009,31.38014,32.09375,32.56323,32.13131,30.77920,29.18296,29.01395,28.78860,27.60551
2013,Epping 66_11kV,08MAY2012,MW,28.05621,27.43649,25.84026,26.10317,25.78392,24.54449,23.56797,22.76046,21.89661,21.27690,20.61962,20.09380,19.60554,19.02339,18.76048,18.76048,18.47879,18.36611,18.64780,18.66658,19.38019,19.54921,20.60084,21.89661,25.07031,27.45527,30.00925,31.43647,34.53505,35.73692,36.90124,37.18293,37.40828,37.22049,36.80734,36.30030,36.50687,35.96228,35.47401,35.22988,35.24866,35.02331,34.66651,34.53505,34.62895,34.23458,34.53505,34.64773,33.97167,34.25336,34.40360,34.83552,33.85900,34.17825,34.42238,34.81674,34.00923,33.76510,33.97167,33.70876,33.57731,33.38952,34.34726,34.36604,34.79796,34.42238,35.15477,35.77448,36.43176,37.74630,38.94818,38.96696,37.29560,37.01391,36.84490,36.45054,36.48809,36.05617,35.90594,35.45524,34.89186,34.34726,33.84022,33.40830,33.14539,32.41300,31.75572,30.92943,31.28624,31.64305,31.24868,30.02803,28.61959,28.15010,28.22522,27.22992
2013,Epping 66_11kV,09MAY2012,MW,27.30504,26.70410,25.48345,25.23932,25.50223,24.18768,23.11726,22.42243,21.50225,20.92009,20.31915,19.75578,19.30508,18.77926,18.68536,18.29100,18.00931,18.00931,18.00931,18.23466,19.15484,19.56798,20.63840,21.82150,24.69472,27.00457,29.23930,30.83554,34.47871,35.60547,36.18763,36.20641,36.54443,36.13129,35.68059,35.69937,35.66181,35.34256,35.26744,34.91064,34.92942,34.62895,34.68529,34.76040,34.61017,34.79796,35.26744,35.04209,35.36134,34.83552,35.53035,35.38012,35.19233,35.13599,34.87308,35.21110,34.94820,34.92942,35.11721,34.77918,34.81674,34.92942,35.15477,34.98575,35.00453,35.60547,36.58199,36.16885,36.39420,37.91532,38.68527,38.00921,36.39420,36.33786,36.05617,35.60547,35.71814,35.19233,34.29092,33.99045,33.40830,32.90126,32.46933,32.22520,31.47403,30.68530,30.19704,29.52099,29.53977,30.21582,29.82146,28.99517,27.98109,27.68062,27.49283,26.68532
2013,Epping 66_11kV,10MAY2012,MW,26.87312,26.38485,25.07031,25.07031,25.18298,23.92477,22.85435,21.87783,21.14544,20.45061,19.75578,19.47409,18.76048,18.40367,18.06564,18.06564,18.06564,17.89663,17.61494,17.76518,18.64780,19.28630,19.71822,20.69474,23.49285,25.44589,27.86842,29.20174,31.43647,33.10783,33.76510,34.06557,34.89186,34.62895,34.59139,34.47871,35.00453,35.47401,34.98575,35.36134,35.88716,36.15007,35.71814,35.79326,35.75570,35.86838,36.22518,36.26274,35.88716,35.68059,36.09373,36.15007,36.28152,36.20641,36.18763,36.28152,35.94350,36.03739,35.71814,35.92472,35.69937,35.39890,35.60547,35.45524,35.34256,35.38012,35.98105,36.09373,36.54443,37.33316,38.38480,38.98574,37.57729,36.80734,36.71345,36.54443,36.37542,35.77448,35.51157,34.96697,34.92942,34.76040,33.87778,33.44585,31.83084,30.76042,29.50221,29.01395,28.92005,29.84024,29.48343,28.07499,27.36138,27.07969,27.15480,26.30974
