year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Homebush Bay 132_11kV,01MAY2012,MW,15.90106,15.84500,15.43393,15.20971,14.96680,15.06023,15.02286,14.72389,14.81732,14.61178,14.61178,14.64915,14.64915,14.53704,14.61178,15.00417,15.88237,15.95711,16.55504,16.57372,17.97511,19.48861,19.61940,19.65677,21.00210,22.44086,24.25332,25.41180,26.19657,27.16820,27.37374,27.65402,27.71007,27.99035,28.47616,28.51353,28.64433,27.99035,28.42011,28.86855,29.05540,28.49485,29.11146,29.37305,28.98066,29.98966,29.33568,29.42910,28.38274,29.80281,30.08308,29.89623,29.07409,29.44779,29.52253,29.52253,29.37305,28.40142,29.14883,27.84087,28.17720,27.99035,27.87824,27.57927,27.22426,27.11215,26.19657,26.30868,25.72945,26.40211,26.30868,26.70107,26.36474,25.72945,25.01941,24.53360,25.03809,24.96335,24.21595,23.35643,22.38480,22.73982,21.88031,21.43186,21.00210,20.14259,19.95574,19.39518,18.92805,18.38618,18.01248,17.60141,17.30244,17.07822,16.74189,16.16265
2013,Homebush Bay 132_11kV,02MAY2012,MW,16.12528,15.63947,15.67684,15.30313,15.09760,14.94812,15.13497,14.77995,14.77995,14.83601,14.72389,14.91075,14.74258,14.72389,14.83601,15.06023,16.16265,16.23739,16.27476,16.81663,19.28307,19.82494,19.41387,19.75020,20.51629,22.32875,24.32806,25.39311,26.29000,26.45817,26.90661,26.62633,26.75713,27.35505,27.48585,28.08377,28.38274,28.79381,28.58827,28.43879,28.68170,28.92460,28.86855,29.14883,28.53222,29.37305,29.85886,30.08308,29.54121,29.69070,30.40073,30.00834,29.70938,30.32599,29.67201,30.13914,30.36336,30.21388,30.92392,30.04571,28.99935,28.42011,28.21457,28.68170,28.70038,28.38274,26.77581,26.68239,25.89761,26.92529,27.05609,27.11215,26.38343,26.27131,26.60765,25.84156,25.39311,25.24363,24.30937,24.19726,24.15989,23.48723,22.27269,21.09553,20.75920,20.32944,20.06785,19.73151,19.32044,18.59172,18.25539,17.91905,17.37719,16.98480,16.77926,16.72321
2013,Homebush Bay 132_11kV,03MAY2012,MW,16.62978,16.16265,16.10660,15.88237,15.47130,15.35919,15.35919,15.19102,15.19102,14.92943,14.89206,15.11628,15.09760,14.94812,14.98549,15.02286,16.20002,16.25608,16.59241,16.91006,19.15227,19.80625,19.17096,19.67546,20.66577,22.59034,24.25332,25.28100,26.08446,26.14052,25.76682,26.19657,28.47616,28.15851,28.88723,28.86855,29.54121,28.99935,28.73775,28.73775,29.80281,29.82149,29.59727,30.08308,30.10177,30.38205,30.75575,30.71838,30.30731,30.13914,30.15782,30.06440,29.91492,30.49416,30.26994,29.42910,30.06440,30.68101,29.80281,29.93360,29.24225,29.54121,28.40142,28.70038,28.21457,28.15851,27.65402,25.93498,25.00072,25.86024,25.61733,26.36474,25.52391,25.54259,26.19657,25.97235,24.55228,23.89830,24.21595,23.20695,24.14121,23.24432,22.38480,20.81525,20.47892,21.02079,19.93705,19.45124,18.89068,18.44224,18.18065,17.78826,17.86300,17.47061,16.91006,16.48030
2013,Homebush Bay 132_11kV,04MAY2012,MW,16.31213,16.12528,15.84500,15.75158,15.58341,15.30313,15.35919,15.20971,15.00417,14.98549,15.06023,14.94812,14.89206,14.72389,14.57441,15.20971,15.80763,15.82632,16.10660,16.29345,18.12459,19.91836,19.97442,19.99311,20.88999,21.80556,23.87962,25.28100,26.17789,26.19657,26.68239,27.59796,27.63533,27.71007,27.59796,25.61733,27.59796,27.99035,28.21457,28.32668,27.35505,27.72876,28.45748,28.42011,27.78481,28.62564,29.07409,28.70038,29.26094,28.86855,27.95298,28.75644,28.73775,28.90592,28.13983,29.31699,27.99035,27.05609,27.54190,27.91561,28.75644,28.58827,27.33637,27.89692,27.74744,26.79450,26.23394,25.91630,26.14052,26.15920,26.62633,26.38343,25.52391,25.69207,25.76682,25.29969,24.98204,23.93567,23.07615,22.08584,22.45954,21.52529,21.37581,21.03947,20.59103,20.06785,19.80625,19.58203,18.79726,18.40487,18.08722,17.76957,17.37719,17.15296,16.48030,16.31213
2013,Homebush Bay 132_11kV,05MAY2012,MW,16.05054,15.63947,15.22839,15.02286,14.77995,14.77995,14.46230,14.25677,14.16334,14.16334,14.16334,14.05123,13.49067,13.49067,13.47199,13.50936,13.52805,13.56542,13.80832,13.77095,13.99517,14.16334,14.51836,14.61178,15.17234,15.37787,15.41524,15.32182,15.56473,15.88237,16.29345,16.40556,16.57372,16.81663,17.15296,17.17165,17.47061,17.41456,17.35850,17.41456,17.56404,17.33981,17.05954,17.52667,17.78826,17.90037,17.88168,18.01248,17.76957,17.80694,17.67615,17.47061,17.11559,17.41456,17.26507,17.15296,16.85400,16.91006,16.83532,16.91006,16.46161,16.51767,16.25608,16.34950,16.48030,16.64846,16.64846,16.64846,17.13428,17.78826,18.42355,18.27407,18.34881,18.34881,18.21802,18.08722,18.01248,17.75089,17.78826,17.69483,17.47061,17.22770,17.28376,17.15296,16.96611,16.74189,16.64846,16.23739,15.99448,15.93843,15.75158,15.73289,15.73289,15.39656,15.22839,14.85469
2013,Homebush Bay 132_11kV,06MAY2012,MW,14.83601,14.70521,14.44362,14.44362,14.23808,14.03254,13.82701,13.82701,13.82701,13.82701,13.67753,13.50936,13.50936,13.50936,13.80832,13.49067,13.82701,13.82701,13.82701,13.52805,13.90175,14.27545,14.27545,14.35019,14.61178,14.33151,13.92043,13.88306,14.01386,14.16334,14.29414,14.57441,14.51836,14.74258,15.00417,15.02286,15.02286,15.22839,15.39656,15.34050,15.69552,15.69552,15.54604,15.73289,15.78895,15.73289,15.80763,15.91974,15.77026,15.69552,15.65815,15.62078,15.62078,15.47130,15.41524,15.43393,15.34050,15.22839,15.34050,15.35919,15.52736,15.43393,15.47130,15.39656,15.54604,15.84500,16.05054,16.05054,16.40556,17.32113,18.23670,18.44224,18.46092,18.44224,18.44224,18.44224,18.38618,18.01248,17.84431,17.76957,17.88168,17.52667,17.58272,17.41456,17.47061,17.05954,16.61109,16.49898,16.42424,16.08791,15.90106,15.71421,15.58341,15.24708,15.20971,14.85469
2013,Homebush Bay 132_11kV,07MAY2012,MW,14.85469,14.48099,14.29414,14.18203,14.18203,14.18203,14.14466,13.84569,13.84569,13.82701,13.86438,13.84569,13.78964,13.73358,13.84569,14.05123,15.06023,15.11628,15.48999,15.65815,16.76058,18.75989,19.41387,19.88099,21.03947,21.65608,22.53429,24.23463,26.10315,26.04709,27.28031,28.94329,29.14883,29.61596,29.89623,29.89623,29.39173,29.05540,28.68170,28.98066,29.80281,29.80281,29.31699,29.72807,29.70938,28.79381,29.13014,29.16751,29.42910,30.00834,29.22357,29.76544,29.33568,29.31699,29.76544,30.30731,29.46647,28.51353,28.70038,28.21457,28.13983,27.65402,27.00003,26.75713,26.94398,28.15851,27.29900,25.41180,25.09415,25.15021,25.54259,25.65470,24.96335,26.21526,27.61664,26.40211,26.00972,25.72945,24.38411,25.44917,24.79519,22.87062,22.19795,22.32875,22.02979,21.28238,20.68446,20.19864,19.88099,19.45124,18.94674,18.68515,18.33013,17.75089,17.52667,17.02217
2013,Homebush Bay 132_11kV,08MAY2012,MW,16.68583,16.20002,15.95711,15.84500,15.67684,15.62078,15.32182,15.35919,15.35919,15.32182,15.26576,15.20971,15.11628,15.15365,15.06023,15.09760,16.27476,16.48030,16.46161,16.87269,18.85331,20.36681,20.34812,20.47892,21.93636,22.57166,24.30937,25.76682,27.37374,28.25194,29.05540,29.55990,30.12045,30.13914,29.67201,30.26994,30.49416,29.89623,30.12045,29.63464,29.70938,30.00834,30.40073,30.75575,30.56890,30.23257,30.40073,30.02703,30.10177,29.22357,28.94329,29.37305,29.29831,28.92460,29.80281,29.46647,28.56959,29.35436,29.80281,28.55090,28.55090,28.68170,27.48585,27.22426,26.64502,28.08377,27.87824,27.14952,25.84156,27.05609,26.71976,27.00003,26.21526,26.08446,24.98204,24.98204,24.62702,24.29069,24.88861,23.35643,23.20695,21.82425,21.76819,21.56266,21.09553,20.83394,20.25470,19.82494,19.46992,19.09622,18.70383,18.27407,17.93774,17.56404,17.11559,16.76058
2013,Homebush Bay 132_11kV,09MAY2012,MW,16.42424,16.01317,15.80763,15.62078,15.45262,15.30313,15.15365,15.20971,15.06023,14.98549,15.06023,14.98549,15.00417,14.72389,14.98549,14.94812,15.95711,16.25608,16.42424,16.79795,18.81594,19.54466,19.54466,19.93705,21.52529,23.37512,24.30937,25.22495,26.94398,28.13983,27.11215,27.93429,28.79381,28.58827,28.79381,28.84986,28.27062,28.86855,28.98066,28.70038,28.56959,28.90592,30.26994,30.23257,29.98966,30.23257,29.87755,29.97097,30.08308,30.17651,30.84917,29.57859,30.41942,30.68101,30.81180,30.73706,31.37236,31.48447,32.06371,32.26925,31.33499,31.89554,31.82080,30.62495,30.71838,28.77512,28.13983,28.12114,27.01872,27.78481,26.73844,27.99035,27.01872,26.10315,26.17789,25.43048,25.59865,24.92598,24.40280,24.32806,23.44986,23.15090,22.96404,22.16058,21.56266,20.79657,20.64709,20.21733,19.76888,19.45124,19.04016,18.75989,18.47961,18.16196,17.86300,17.48930
2013,Homebush Bay 132_11kV,10MAY2012,MW,17.17165,16.68583,16.62978,16.21871,16.12528,16.12528,16.10660,15.84500,15.67684,15.67684,15.50867,15.50867,15.50867,15.47130,15.86369,15.88237,16.61109,16.85400,17.37719,17.71352,19.73151,20.27338,21.03947,20.87131,21.45055,23.00141,24.79519,25.63602,26.36474,27.16820,27.95298,28.45748,28.45748,28.28931,28.71907,29.03672,29.27962,29.82149,29.74675,30.23257,30.62495,30.83049,30.43810,30.86786,30.64364,31.05471,31.70869,32.19451,31.40973,31.37236,31.52184,31.46578,31.85817,31.91423,32.15714,31.72738,31.35367,32.02634,30.13914,31.16682,29.74675,29.85886,29.69070,29.70938,29.80281,29.84018,29.52253,28.70038,28.53222,27.99035,28.47616,27.82218,27.91561,26.85055,26.02841,26.62633,25.43048,24.90730,24.23463,24.53360,24.86993,24.06647,22.49691,21.74951,21.52529,20.10522,19.91836,19.50729,19.28307,18.87200,18.49829,18.14328,17.80694,17.48930,17.07822,16.46161
