year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Maroubra 132_11kV,01MAY2012,MW,27.74154,27.13846,26.83693,26.58860,26.23385,25.68398,25.43566,25.18733,24.58426,24.26498,24.60199,24.95674,24.85032,24.74389,24.30046,23.89249,23.80380,23.87475,24.14082,24.30046,24.79711,25.31150,26.16290,27.13846,28.41557,29.19602,30.77466,32.26462,34.35765,35.10263,36.07819,36.20236,36.09593,36.52163,36.37973,36.25557,36.92960,37.28435,36.92960,37.39077,37.19566,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,36.96507,37.01828,37.40851,37.39077,37.00055,37.16019,37.14245,36.04272,36.29104,36.45068,36.39747,36.85865,36.98281,36.84091,37.56815,37.67457,38.73883,39.05810,39.99819,39.21774,39.25322,39.30643,39.14679,38.79204,37.95838,37.63910,36.85865,35.72344,35.65249,35.54607,35.01394,34.00290,34.16254,33.38209,32.76127,32.72580,31.73249,31.32453,30.66824,30.01195,29.30245,28.84127,28.45104,27.83023
2013,Maroubra 132_11kV,02MAY2012,MW,27.31584,26.97883,26.46444,26.78371,26.48218,26.07421,25.63077,25.15186,24.79711,24.61973,24.38914,24.12308,24.21177,23.75059,24.14082,24.10534,24.15855,24.51331,23.94570,24.42462,24.90353,25.71946,26.21611,27.44000,28.46878,29.39113,30.06516,31.60833,33.63041,34.12706,34.85430,35.01394,35.01394,36.18462,36.13141,36.02498,36.09593,36.52163,36.96507,36.98281,37.40851,37.55041,37.23114,38.11801,37.28435,37.24887,37.65684,37.05376,37.19566,37.24887,37.46172,37.33756,38.25991,37.86969,37.44399,38.18896,38.41955,38.20670,36.84091,37.07150,36.82317,37.19566,37.12471,36.52163,37.39077,37.44399,38.17123,38.88073,39.90951,39.32417,39.60797,38.59693,39.69666,39.57249,38.75657,39.23548,37.97611,37.46172,37.17792,36.73448,36.22009,35.65249,34.94299,34.37539,33.73684,33.55946,32.92091,32.67258,32.53068,31.41322,31.32453,30.84561,30.33123,29.55077,29.16055,28.07856
2013,Maroubra 132_11kV,03MAY2012,MW,27.97213,27.47548,26.74824,26.76598,26.53539,25.95005,25.79041,25.86136,25.22281,25.32923,25.04543,24.99222,24.44236,24.47783,24.88579,25.04543,24.95674,24.85032,24.79711,24.72616,25.59530,26.05647,26.80145,27.49322,28.57521,29.10733,30.15385,31.12942,32.56616,33.77231,34.02064,34.74788,35.84761,35.63476,35.90082,36.09593,36.45068,36.36200,36.25557,36.13141,,,37.40851,37.56815,36.75222,37.24887,37.17792,37.53267,37.30209,36.11367,35.72344,36.04272,36.52163,36.48616,36.80543,37.30209,37.21340,37.07150,37.28435,36.36200,36.41521,36.68127,36.34426,36.91186,36.73448,36.82317,36.80543,37.44399,37.95838,39.23548,41.20435,40.51258,40.95602,40.15783,40.12236,39.89177,39.44833,39.00489,39.12905,38.25991,37.53267,37.24887,37.05376,35.95403,34.74788,34.03838,33.55946,32.38878,32.19367,30.84561,31.12942,30.10064,29.33792,29.35566,28.89448,28.39783
2013,Maroubra 132_11kV,04MAY2012,MW,28.45104,27.61738,26.85466,26.67729,26.16290,25.84362,25.59530,24.90353,24.30046,24.05213,24.15855,24.74389,24.42462,24.44236,24.83258,24.31819,24.22951,24.31819,24.92127,25.06317,25.52435,26.05647,26.65955,26.83693,28.30914,29.32018,30.65050,32.28236,33.73684,34.81883,35.47512,34.92525,35.90082,35.33322,35.74118,36.20236,36.27331,36.25557,36.64580,36.16688,35.74118,35.90082,35.68797,35.58154,35.45738,35.59928,36.09593,35.86534,36.04272,35.49285,35.58154,35.43964,35.31548,35.28000,34.53503,34.32218,34.60598,34.44634,34.97847,34.96073,35.12037,35.52833,35.31548,35.06715,34.48181,34.92525,34.58824,34.37539,35.58154,36.84091,36.89412,36.84091,36.32652,35.90082,36.41521,36.34426,35.26227,35.12037,34.28670,33.79005,32.72580,32.67258,32.10498,31.89213,31.50190,31.43095,30.95204,30.33123,30.34896,30.22480,29.42661,28.53973,28.20272,28.22046,27.72380,26.92561
2013,Maroubra 132_11kV,05MAY2012,MW,26.96109,26.28706,25.41792,25.52435,25.38245,25.24055,24.44236,24.72616,24.28272,23.67964,23.64417,23.52000,23.60869,23.25394,23.62643,22.98788,23.48453,23.48453,23.14751,23.62643,23.66190,23.76833,23.67964,24.38914,25.06317,25.04543,26.07421,26.97883,28.29141,28.62842,29.40887,30.65050,31.34227,31.57285,32.10498,32.30009,33.63041,33.47077,34.19801,35.28000,34.88978,34.96073,34.81883,34.60598,34.78335,34.00290,34.16254,34.49955,34.33991,34.33991,34.37539,34.41086,34.12706,34.00290,33.82552,34.09159,33.96742,33.39982,32.99186,33.55946,33.18697,33.25792,33.64815,33.50625,33.09828,33.82552,33.93195,34.25123,34.74788,35.20905,35.36869,34.69466,34.49955,34.10933,33.22245,32.58390,32.26462,31.73249,31.80344,31.23584,30.96978,30.52634,30.20706,30.06516,29.71041,29.42661,29.21376,28.66389,28.14951,27.83023,27.70607,27.28037,27.06751,26.58860,26.49991,25.82589
2013,Maroubra 132_11kV,06MAY2012,MW,25.47113,25.18733,24.70842,24.69068,23.89249,23.67964,23.59095,23.48453,23.02335,23.00561,22.65086,22.84598,22.13647,22.03005,21.92362,22.27837,22.24290,22.29611,22.50896,22.82824,23.30715,23.30715,23.71512,24.44236,25.04543,24.60199,25.63077,26.34027,26.42896,26.69503,28.02534,29.07186,29.19602,30.22480,30.50860,31.43095,31.64380,31.71475,31.90987,32.03403,32.70806,32.83222,33.50625,33.15150,32.51294,32.70806,32.53068,32.60163,32.84996,32.42426,32.10498,31.87439,31.89213,31.34227,30.93430,31.16489,31.23584,30.79240,30.79240,30.86335,31.37774,31.50190,31.11168,31.12942,30.96978,31.32453,32.14046,32.70806,32.93865,33.86100,34.88978,34.85430,35.06715,35.61702,35.08489,34.41086,33.77231,33.66589,33.09828,32.58390,32.10498,31.75023,31.85666,31.48417,31.07620,30.84561,30.22480,29.47982,29.24923,28.75258,28.34462,27.51095,27.24489,26.81919,26.58860,26.18064
2013,Maroubra 132_11kV,07MAY2012,MW,25.95005,25.57756,25.34697,24.74389,24.47783,24.15855,24.06987,23.75059,23.48453,23.28941,23.14751,22.98788,23.32489,23.34263,23.27168,23.52000,23.73285,23.12978,23.44905,23.98118,24.28272,24.60199,25.40018,26.44670,28.66389,29.42661,30.89883,31.92761,33.73684,34.37539,35.06715,35.29774,35.70571,35.29774,32.40652,33.08055,32.72580,32.84996,33.25792,33.41756,33.39982,33.98516,33.61267,33.36435,33.47077,32.93865,33.24018,33.52399,33.73684,33.48851,32.90317,33.02733,32.61937,33.18697,33.04507,32.90317,33.15150,32.45973,31.89213,32.37104,32.28236,32.12272,32.72580,33.25792,35.10263,36.48616,36.85865,36.82317,37.79874,38.77430,39.55476,39.04037,39.60797,40.22878,39.32417,39.37738,38.33086,37.67457,37.33756,36.71675,36.18462,35.08489,35.56381,34.51729,34.41086,34.00290,33.36435,32.54842,32.45973,31.71475,30.47313,30.04742,28.94770,28.46878,27.91892,27.12073
2013,Maroubra 132_11kV,08MAY2012,MW,26.28706,26.16290,25.55982,25.00996,25.09865,25.00996,24.79711,24.31819,23.48453,23.67964,23.32489,23.14751,23.02335,22.59765,22.61539,22.66860,23.07656,22.88145,22.95240,23.44905,24.12308,23.73285,24.79711,25.40018,27.63512,28.84127,29.99421,31.87439,33.66589,34.46408,35.56381,35.97177,36.34426,35.68797,35.40417,36.18462,35.74118,36.41521,35.95403,35.84761,36.48616,36.09593,36.41521,36.02498,36.11367,36.25557,36.52163,35.70571,36.07819,35.13810,35.54607,35.06715,35.59928,35.49285,35.20905,35.04942,35.45738,35.13810,34.99620,34.46408,34.19801,34.33991,34.53503,35.12037,35.12037,35.43964,36.27331,36.76996,37.23114,38.47276,39.04037,38.50824,39.14679,38.27765,38.17123,38.52598,37.30209,37.07150,36.59258,36.27331,35.74118,35.01394,34.57050,34.21575,33.93195,32.93865,32.40652,31.90987,31.28905,30.61503,29.95874,29.49756,28.92996,28.57521,27.83023,27.56417
2013,Maroubra 132_11kV,09MAY2012,MW,26.65955,25.98552,25.08091,24.86806,24.63747,24.61973,24.24724,24.03439,23.59095,23.25394,22.79276,22.61539,22.52670,22.06552,21.99457,22.38480,22.56217,22.93466,22.91693,23.71512,23.75059,24.46009,24.76163,26.18064,27.61738,28.29141,29.79910,30.47313,32.67258,34.28670,34.37539,34.33991,34.64145,35.28000,35.45738,35.15584,36.07819,35.68797,35.86534,36.02498,34.12706,34.69466,35.29774,37.46172,36.84091,36.69901,36.55711,36.69901,37.01828,37.53267,37.21340,37.53267,38.24218,37.62136,38.13575,37.88743,37.81648,37.39077,37.46172,37.81648,37.63910,37.01828,36.91186,37.07150,36.89412,36.53937,37.08924,37.21340,38.20670,38.82752,39.25322,39.74987,39.25322,38.56145,38.77430,38.24218,37.79874,36.91186,37.01828,36.59258,35.74118,35.58154,35.36869,34.99620,34.53503,33.57720,33.71910,32.40652,31.75023,31.12942,30.89883,30.36670,29.69267,29.17828,28.50426,27.47548
2013,Maroubra 132_11kV,10MAY2012,MW,27.58190,27.12073,26.67729,26.39349,26.21611,25.68398,25.59530,25.24055,24.38914,23.89249,23.92797,23.71512,23.87475,23.50227,23.71512,24.19403,23.99892,23.73285,24.14082,24.53104,25.25828,25.09865,25.87910,26.99656,28.09629,29.58625,31.00525,32.12272,34.14480,34.51729,35.49285,35.40417,36.34426,36.91186,36.85865,37.19566,37.71005,38.10028,38.11801,37.21340,37.14245,37.72779,37.63910,37.55041,37.49720,38.17123,37.24887,36.89412,36.59258,37.63910,37.31982,36.69901,37.23114,37.67457,37.40851,36.92960,36.84091,37.19566,37.67457,36.82317,36.66353,37.37304,36.84091,36.82317,36.91186,36.52163,37.12471,37.56815,39.23548,40.24652,40.54806,40.17557,40.90281,41.13340,41.23982,41.18661,40.74317,39.57249,39.57249,38.91620,38.10028,37.51494,37.24887,36.16688,35.13810,34.51729,33.54172,32.56616,32.51294,31.34227,31.23584,30.27801,29.51530,29.23150,28.38009,27.83023
