year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Mt Thorley 66_11kV,01MAY2012,MW,3.67298,3.77927,3.67878,3.61689,3.48335,3.47936,3.45230,3.34311,3.40817,3.17964,2.91691,3.02610,3.17750,3.27551,3.45968,3.51806,3.21199,2.90848,3.17222,3.16134,3.18100,3.23058,3.66763,3.81251,4.11964,4.45370,4.48066,4.60560,4.81518,5.01335,5.10685,5.54217,5.25335,5.16122,5.15516,5.06513,4.86598,4.74319,4.67656,4.59841,4.61156,4.37135,4.50308,4.78359,5.22049,5.28459,5.27970,4.99787,4.62043,4.52461,4.85749,4.90734,4.96239,4.68273,4.65405,4.67602,4.71231,4.73399,4.73080,4.72398,5.33730,5.32467,5.12586,4.68719,4.16789,4.10465,3.97143,3.72495,3.61262,3.61119,3.85330,3.95633,3.91872,3.84435,3.86305,3.79460,3.73140,3.75209,3.70923,3.97724,4.08537,3.78720,4.31496,4.56547,4.42042,3.91178,4.00907,3.50013,3.41275,3.45454,3.36168,3.49728,3.58752,3.52853,3.58937,3.97637
2013,Mt Thorley 66_11kV,02MAY2012,MW,3.76872,3.70559,3.65807,3.37822,3.28448,3.19514,3.09912,3.01124,3.00828,3.10460,3.65449,3.77929,3.63489,3.54937,3.54855,2.95315,2.85541,3.18054,3.22284,3.35442,3.41228,3.52370,3.75992,3.91764,4.05387,4.30941,4.15364,4.20386,4.66177,4.77921,4.93660,4.86917,4.77603,4.73993,4.82088,4.71784,4.82967,4.62195,4.55566,5.16770,5.42688,5.35558,5.02121,4.68377,4.60256,4.78616,5.11206,4.87516,5.14160,5.19684,5.10296,5.05098,5.15300,5.00419,4.89376,5.23389,5.54690,5.25818,4.73304,4.72416,5.10517,5.18790,5.18738,5.11521,4.87673,4.39573,4.00784,3.82262,3.85314,3.82826,4.20127,4.24469,4.49248,4.69096,4.24821,3.95984,3.95957,3.99567,3.89348,3.50201,3.40300,3.38963,3.41118,3.37448,3.22978,3.20537,3.37460,3.33764,3.24907,3.20803,3.18707,3.60085,4.00961,3.83519,3.81476,3.91924
2013,Mt Thorley 66_11kV,03MAY2012,MW,3.75091,3.68320,3.67567,3.63611,3.18028,3.00615,2.86560,2.83516,2.77369,2.73568,2.70908,2.66037,2.55802,2.54672,2.52646,2.43155,2.48079,2.52936,2.52646,2.63841,2.70854,2.90562,3.05691,3.38774,3.57680,3.83617,3.97253,4.22499,4.33414,4.48230,4.79581,5.06867,5.11693,5.06356,5.02916,5.14953,4.96240,4.84526,5.03085,4.95858,5.00832,4.95413,4.83317,5.38884,5.50750,5.28504,5.13088,4.99715,4.80899,4.71412,4.65661,4.64145,4.96425,5.00539,5.20497,5.14179,5.22301,5.07843,5.19953,5.11933,4.92813,4.82935,4.56817,4.37634,4.16255,4.33225,4.18703,4.02492,3.97963,4.07754,4.22449,4.10986,3.85574,3.95173,3.96915,3.67562,3.58565,3.57547,3.54927,3.49574,3.48551,3.57002,3.58312,3.57313,3.47712,3.44195,3.60284,3.55765,3.48020,3.46698,3.43416,3.58411,3.70938,3.59958,3.50940,3.74767
2013,Mt Thorley 66_11kV,04MAY2012,MW,3.68997,3.54224,3.44918,3.33082,3.21402,3.10555,3.02886,3.03513,2.93900,2.89727,2.90570,2.86243,2.87755,2.86376,2.79457,2.79521,2.77391,2.83858,3.10413,2.99273,3.03749,3.18055,3.37692,3.61658,3.83225,3.84940,3.98283,4.07901,4.11926,4.37914,4.75335,4.74885,4.78773,4.65711,4.59109,4.62975,4.49519,4.67691,4.67645,4.62075,4.81324,5.03400,5.06852,5.05904,5.02596,4.95625,5.10602,5.22264,4.97869,5.03026,5.25750,5.01141,4.92474,4.78478,4.64532,4.68636,4.67861,4.67524,4.84981,4.93126,4.97127,4.85232,4.48589,4.31619,4.22746,4.09430,3.73533,3.62848,3.68419,4.22273,4.41376,4.40520,4.36324,4.32144,4.39313,4.23314,4.16035,4.05091,3.79916,3.73830,3.56794,3.55179,3.65137,3.57204,3.53432,3.70786,3.62310,3.69045,3.47069,3.36061,3.35744,3.30376,3.52275,3.77936,3.72150,3.96575
2013,Mt Thorley 66_11kV,05MAY2012,MW,3.77244,3.66279,3.45133,3.39323,3.48561,3.21168,3.12238,2.93824,3.30641,3.34448,3.34289,3.18446,3.13588,3.02621,3.01364,3.07955,3.02937,2.93484,2.89079,2.89309,3.22944,3.53009,3.66230,3.61196,3.48325,3.18140,3.33077,3.30324,3.38960,3.59992,3.63333,3.76609,4.06256,4.19781,4.05805,3.96774,3.94403,3.86243,4.00812,4.33351,4.44813,4.53017,4.37859,4.01310,3.58163,3.56491,3.42370,3.62176,3.75522,3.75338,3.79329,3.80606,3.80139,3.61976,3.58231,3.01616,3.00525,2.87767,2.89399,2.98755,3.00435,3.03821,3.19988,3.26774,3.09253,3.10040,3.10303,3.16806,3.36146,3.76829,3.94509,3.81677,3.73926,3.85916,3.83631,3.76637,4.10469,4.32550,4.39482,4.38613,3.91584,3.54111,3.59324,3.70303,3.64950,3.75840,4.05757,3.74764,3.52112,3.56811,3.46982,3.26365,3.29092,2.89772,2.81971,2.80201
2013,Mt Thorley 66_11kV,06MAY2012,MW,2.79489,3.13627,3.09449,2.99300,3.01118,3.07596,2.93390,2.97435,2.89734,2.61784,2.62116,2.52491,2.92158,3.16535,3.13146,3.08051,2.98172,2.94219,2.83149,2.91017,2.82504,2.72422,2.64555,2.76255,3.05356,3.10180,3.10026,3.18259,3.18817,3.50900,3.49847,3.55823,3.80649,3.81164,3.81530,3.82593,3.67234,3.69131,3.57758,3.51503,3.32679,3.31370,3.31123,3.31776,3.42258,3.36414,3.31254,3.23396,3.43164,3.30815,3.06007,3.17544,3.45137,3.44660,3.34369,3.37820,3.01841,3.14821,3.10263,2.98104,3.22037,3.12972,2.88439,3.05981,3.01528,2.95770,3.38025,3.43910,3.53933,3.77156,4.01740,4.11004,4.12575,3.90247,3.96834,3.93049,3.98959,3.91058,3.85558,3.91122,3.91810,3.82037,3.63787,3.28521,3.24171,3.14699,3.23558,3.22195,3.46339,3.36867,3.21653,3.29354,3.29450,3.20397,3.14460,3.13908
2013,Mt Thorley 66_11kV,07MAY2012,MW,3.02815,3.00960,2.96306,2.75819,2.77886,2.77664,2.75244,2.70767,2.67168,2.69327,2.64779,2.63667,2.70578,2.66065,2.65434,2.67112,2.62824,2.69011,2.79104,2.87969,3.01840,3.11125,3.34109,3.56599,3.96934,4.27287,4.30500,4.50581,4.86565,4.85134,5.19413,5.41708,5.41008,5.18679,5.43570,5.20788,4.99069,5.19606,5.18238,5.23179,5.14049,5.30792,5.17611,5.15024,5.02229,4.89687,4.63717,4.58195,4.59061,4.68002,4.61345,4.52460,4.54625,4.63158,4.62117,4.59878,4.53972,4.68128,4.85007,4.70722,4.51013,4.33263,4.33007,4.26747,4.19429,4.02492,4.00046,4.13635,4.32798,4.26293,4.40582,4.45119,4.48398,4.47258,4.40889,4.49981,4.32895,4.05468,4.17354,3.94557,3.90915,3.89562,3.86068,3.78911,3.78127,3.67765,3.69567,3.65486,3.70085,3.55218,3.45370,3.55073,3.85537,3.89799,3.96130,4.19096
2013,Mt Thorley 66_11kV,08MAY2012,MW,4.08149,3.85786,3.82359,3.76116,3.54546,3.38738,3.34227,3.08103,3.28806,3.33803,3.27677,3.24901,3.22904,3.21258,3.05600,3.21624,3.20491,3.11345,3.06528,3.14924,3.33817,3.48423,3.61013,3.85217,4.20640,4.36891,4.41712,4.60239,4.81776,4.83931,5.09592,5.16914,5.07073,5.15712,5.03167,4.81358,4.68170,4.63217,4.48769,4.48927,4.61438,4.44300,4.44570,4.39276,4.36296,4.33862,4.33548,4.33306,4.32962,4.37995,4.28788,4.32189,4.34746,4.40919,4.37856,4.33530,4.28965,4.29112,4.25193,4.25314,4.40443,4.37936,4.07176,3.89210,3.83274,3.74853,3.61301,3.61007,3.66741,3.67724,3.82742,3.87811,3.95094,3.93109,3.93439,3.86687,3.88462,3.88353,3.78723,3.66277,3.67315,3.68979,3.62694,3.62980,3.61793,3.51570,3.58629,3.58110,3.53929,3.48670,3.56034,3.70333,3.75245,3.65997,3.74274,4.24912
2013,Mt Thorley 66_11kV,09MAY2012,MW,4.31725,4.52825,4.38664,4.08264,3.87912,3.44685,3.65472,3.60026,3.29258,3.53783,3.51777,3.50737,3.50463,3.54263,3.45382,3.38414,3.26818,2.88311,2.90462,3.03471,3.19796,3.37664,3.61382,3.83270,4.08496,4.21475,4.29293,4.49872,4.94457,5.35966,5.53595,5.39358,5.42603,5.56195,5.56736,5.10761,4.82999,4.99661,4.94977,5.15729,5.31970,5.25280,5.04514,4.83701,4.93107,4.76249,4.87550,4.68868,4.59560,4.49981,4.51168,4.66412,4.97788,4.81454,5.01048,4.83083,4.99021,4.95897,5.04873,4.91963,4.89785,4.79537,4.60980,4.45206,4.71774,4.75716,4.72607,4.39777,3.86129,3.70446,3.93306,4.01341,4.11511,3.95506,4.01423,3.97390,3.83660,3.73647,3.71755,3.79016,3.74730,3.79079,3.75790,3.63256,3.48080,3.39747,3.71257,3.70088,3.66502,3.72190,3.53148,3.52133,3.66461,3.58950,3.69377,3.78741
2013,Mt Thorley 66_11kV,10MAY2012,MW,3.66486,3.54238,3.63478,3.59092,3.59239,3.51170,3.50100,3.43635,3.19715,3.43465,3.14098,2.89241,2.89660,2.96839,3.00739,2.88767,2.93864,3.21790,3.24627,3.03231,3.11317,3.45975,3.58840,3.86380,4.30551,4.55002,4.42053,4.55610,4.76307,4.98886,5.20567,5.18763,5.16265,5.13126,4.95756,4.69598,4.86362,4.79845,4.77392,4.62489,4.80250,4.73231,4.82706,4.86338,4.81538,4.83161,5.07163,5.11254,5.00543,4.65719,4.66518,5.11265,5.27238,5.00145,5.18977,5.63421,5.63058,5.14512,4.92982,4.92573,4.84135,4.43673,4.30174,4.10165,4.04546,3.85220,3.74384,3.64035,3.60051,3.64185,3.87726,3.96897,3.94536,3.90279,3.95721,3.91401,3.88031,3.77705,3.77653,3.79561,3.73744,3.72740,3.62662,3.57347,3.56976,3.54924,3.62823,3.56721,3.60770,3.59460,3.55377,3.63714,3.76999,3.62974,3.73033,3.80841
