year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Raymond Terr NEW 33_11kV,01MAY2012,MW,11.74469,11.13608,10.96646,11.50168,11.10277,10.18185,9.88891,10.26138,9.60388,8.83321,8.28442,7.63538,7.15056,6.70601,6.38640,6.36858,6.22603,6.21083,6.44682,6.65512,6.91144,7.18336,7.77335,8.61133,9.35060,10.34544,11.19659,10.97801,11.37259,11.93046,12.29976,12.15562,12.05575,11.98636,11.60738,11.21603,10.92056,11.02599,11.05615,11.00860,11.00775,10.68791,10.77032,10.69323,10.72337,10.62096,10.63681,10.57798,10.44567,10.29251,10.24223,10.35100,10.63902,10.60764,10.40073,10.49181,10.59709,10.28770,10.22750,10.14675,9.84633,9.63269,9.65608,9.72683,9.87145,9.94774,9.88909,10.19646,10.36536,10.98798,11.82282,11.89539,11.62410,11.58136,11.28174,11.12172,11.00141,10.82070,10.70152,10.35137,10.13315,9.96836,9.92322,9.63835,9.50000,9.41891,9.61409,9.28849,10.90701,10.72728,10.43916,9.83666,10.54634,10.20076,10.51947,11.17447
2013,Raymond Terr NEW 33_11kV,02MAY2012,MW,11.74353,11.02014,10.83098,11.29615,10.84545,10.12363,9.64567,10.12342,9.41811,8.76546,8.14131,7.53118,6.93634,6.65231,6.39841,6.24604,6.32081,6.23057,6.45710,6.68494,6.96704,7.27846,7.69944,8.58536,9.64588,10.04058,10.92907,10.80692,10.91832,11.52490,11.79849,12.05536,12.08989,11.84930,11.68601,11.60009,11.41071,11.43943,11.47360,11.20930,10.84180,10.97277,11.01974,11.10109,11.03981,11.03094,10.63696,10.66803,10.44333,10.33101,10.51511,10.78480,10.70271,10.72774,10.57397,10.69889,10.71669,10.80042,10.73784,10.36396,9.96722,9.55559,9.39301,9.49052,9.43944,9.59652,9.69663,9.83309,10.04711,10.72272,11.16914,11.12990,11.07118,11.26266,11.20015,10.84672,10.74347,10.74284,10.53866,10.22808,9.91095,9.75038,9.54238,9.46041,9.20983,8.82978,8.89060,8.60808,10.52807,10.32277,9.82453,9.22677,10.02489,9.61157,10.17745,10.94801
2013,Raymond Terr NEW 33_11kV,03MAY2012,MW,11.18778,10.45557,10.38823,10.81440,10.47188,9.85756,9.40595,9.87082,9.05026,8.43095,7.77755,7.25462,6.94197,6.61994,6.35199,6.11867,6.00657,6.01170,6.13844,6.29975,6.55254,6.99767,7.30916,7.85963,8.92570,9.53219,10.43651,10.38314,10.56626,10.85811,11.22861,11.66253,11.77931,11.84517,11.53472,11.30587,11.08209,11.13333,11.39128,11.43370,11.32759,11.25665,11.43465,11.48512,11.31974,11.15330,11.24462,11.21379,10.98088,10.72200,10.64008,10.62288,10.75425,10.69047,10.67531,10.60810,10.40401,10.27412,10.30365,10.14301,9.83466,9.52427,9.44889,9.43492,9.45988,9.70378,9.75622,9.88329,10.25828,11.02690,11.37578,11.41041,11.27536,11.10256,10.76415,10.54188,10.48272,10.41714,10.17972,9.90572,9.80885,9.62911,9.52066,9.42715,9.27288,8.95342,9.04391,8.96777,10.75381,10.71018,10.13600,9.52651,10.17557,9.65532,10.16273,10.99317
2013,Raymond Terr NEW 33_11kV,04MAY2012,MW,11.39994,10.67139,10.64672,11.19125,10.73719,9.93643,9.50825,9.86995,9.13697,8.54172,7.87545,7.25082,6.81691,6.42786,6.25480,6.20732,6.14802,6.13505,6.21687,6.49531,7.02446,7.35373,7.64794,8.42463,9.43126,9.97728,10.70118,10.65866,10.84581,11.18066,11.44945,11.94207,11.87525,11.82388,11.50197,11.20027,10.72702,10.60411,10.70478,10.65876,10.66007,10.70317,10.72472,10.81960,10.81089,10.54197,10.41986,10.44461,10.47936,10.49119,10.43713,10.35442,10.38013,10.25051,10.01242,9.71446,9.52719,9.51526,9.15749,9.08812,9.01119,8.86676,8.54534,8.62387,8.61182,8.73841,8.84727,9.12802,9.56368,10.08373,10.77632,10.94846,10.86278,10.74851,10.67224,10.43429,10.15071,10.12060,9.96925,9.66862,9.70484,9.67876,9.64580,9.34140,9.20067,8.87989,8.98697,8.85973,10.44029,10.21006,9.73627,9.18296,9.94953,9.56087,10.09854,10.94170
2013,Raymond Terr NEW 33_11kV,05MAY2012,MW,11.03744,10.60620,10.70354,11.08451,10.66232,9.99910,9.21181,8.44052,9.00011,8.57302,7.99420,7.40185,6.89590,6.59914,6.21428,6.04560,5.85205,5.88720,5.90301,5.94207,6.04184,6.11201,6.26164,6.58811,6.82525,7.10401,7.49087,7.98163,8.74008,9.40594,9.62375,10.15036,10.40363,10.46246,10.88721,11.21325,11.26038,11.37105,11.55056,11.32895,11.04296,11.07393,10.73159,10.62421,10.30548,10.11102,9.68655,9.28715,8.94703,8.43308,8.36867,8.37579,8.31334,8.11576,8.24563,8.31600,7.98213,7.75597,7.89007,7.90649,7.82044,7.66206,7.57949,7.56415,7.73580,7.92360,8.09671,8.02028,8.72081,9.35386,10.06512,10.23856,10.31672,9.92860,9.92671,9.58491,9.50058,9.48942,9.25882,8.92094,8.76856,8.59651,8.54014,8.34919,8.26839,8.08628,9.82131,9.27919,8.52510,8.04783,8.42904,8.24171,9.87601,9.51523,8.51721,8.82641
2013,Raymond Terr NEW 33_11kV,06MAY2012,MW,9.14980,8.15281,8.38697,9.51804,8.51917,7.58765,7.00998,6.45363,6.87319,6.54096,6.22294,5.96200,5.88629,5.76461,5.58520,5.59263,5.61025,5.53707,5.35534,5.51456,5.55465,5.68243,5.74472,5.83037,6.01550,6.18601,6.47622,6.68196,7.18798,7.51924,8.04399,8.24245,8.50873,8.70578,9.08653,9.13983,9.01437,9.25970,9.37401,9.16886,8.90792,8.73983,8.73135,8.60933,8.36864,8.17196,7.70866,7.64823,7.50100,7.36270,7.49579,7.39055,7.50622,7.37496,7.23173,7.20863,7.16976,7.00961,7.14475,7.26604,7.27682,7.47290,7.52906,7.70687,7.95311,8.22238,8.50810,8.54347,9.29843,10.19069,11.06754,11.21354,11.42873,11.34974,11.16341,10.91500,10.70521,10.62683,10.40362,10.33916,10.20136,10.03309,9.96245,9.65499,9.39722,9.17170,10.66388,10.08804,9.45599,9.05007,9.24308,8.85495,10.44053,10.12458,9.07692,9.23052
2013,Raymond Terr NEW 33_11kV,07MAY2012,MW,9.18708,8.62087,8.77731,9.83242,8.93210,8.18786,7.94107,7.99477,7.54329,7.11799,6.80570,6.58021,6.41601,6.30953,6.17377,6.26863,6.35678,6.43506,6.56383,6.91530,7.38158,7.60702,7.93058,8.68769,9.84146,11.11704,12.02606,11.64344,11.92244,12.48004,12.84708,13.05288,13.24808,13.10632,13.18199,12.81617,12.61599,12.37113,12.48735,12.47763,12.37482,12.37292,12.40089,12.26785,12.15634,12.24881,12.08292,12.03668,12.09023,11.85866,11.37105,11.06692,10.91236,11.08276,11.12945,10.93579,10.97318,11.11196,10.94953,10.88243,10.68458,10.39805,10.37650,10.48722,10.66133,10.86627,11.04690,11.31745,11.95875,12.72000,13.33648,13.40092,13.32958,13.02784,12.82041,12.63562,12.47315,12.62290,12.37361,12.14465,11.86213,11.79462,11.63134,11.37106,11.13820,10.89076,10.90592,10.67473,12.62859,12.21116,11.46489,10.77255,11.30392,10.67294,11.19464,11.95535
2013,Raymond Terr NEW 33_11kV,08MAY2012,MW,12.43072,11.96467,11.68198,12.10188,11.61386,10.83950,10.67450,11.13758,10.47191,9.70496,9.06079,8.33844,7.82884,7.49847,7.24323,7.07624,6.90579,6.86064,6.81776,7.28139,7.77544,8.14963,8.50469,9.28844,10.37048,11.47911,12.65830,12.47808,12.81416,13.26706,13.28460,13.41207,13.54698,13.38349,13.00450,12.41329,11.75022,11.74442,11.73666,11.52232,11.38921,11.50365,11.64136,11.49036,11.53791,11.24872,11.00311,10.78536,10.80253,10.60054,10.68172,10.70209,10.65913,10.80424,10.82023,10.77737,10.73648,10.60117,10.57828,10.26059,9.77088,9.39843,9.48392,9.50945,9.60886,9.62770,9.76892,10.01948,10.44245,11.50038,12.20881,12.22832,12.19853,12.17568,11.93799,11.77416,11.68453,11.81509,11.70723,11.47555,11.24870,11.18029,11.02371,10.74455,10.44486,10.28408,10.37587,10.08586,11.76433,11.49704,10.99085,10.23127,11.00714,10.36018,10.78398,11.62008
2013,Raymond Terr NEW 33_11kV,09MAY2012,MW,11.98342,11.36518,11.38884,11.84726,11.37426,10.72116,10.31371,10.61845,9.91278,9.11712,8.44817,7.95923,7.49229,7.20676,6.89997,6.82218,6.81756,6.75526,7.09113,7.37827,7.66802,8.13958,8.37373,9.12977,10.48232,11.21150,12.46398,12.26759,12.58762,13.32454,13.35313,13.44245,13.37295,13.02525,12.72928,12.42388,11.72288,11.85469,11.63046,11.59601,11.33935,11.07785,10.89511,10.86168,10.86474,10.73294,10.85970,10.98268,10.79678,10.75415,10.79236,10.67939,10.83124,10.81990,10.79152,10.80398,10.80805,10.64354,10.57587,10.42987,10.10741,9.77829,9.41380,9.49543,9.51481,9.65417,9.62655,9.79490,10.39280,11.29658,11.77578,11.62752,11.68920,11.77272,11.62022,11.48693,11.32106,11.37378,11.07359,10.69363,10.39737,10.25169,10.34731,10.24440,9.98658,9.80187,9.85530,9.65196,11.48095,11.23088,10.60347,10.05435,10.68404,10.43514,10.79311,11.59575
2013,Raymond Terr NEW 33_11kV,10MAY2012,MW,12.04590,11.60834,11.54321,11.78166,11.36439,10.73723,10.33178,10.73284,10.03656,9.26934,8.57992,8.07983,7.75354,7.23856,6.99388,6.85110,6.77043,6.85112,7.03258,7.22040,7.58908,7.98548,8.39915,9.09402,10.10474,10.77145,11.67793,11.66348,11.90600,12.32597,12.48283,12.93880,13.18980,12.99797,12.60181,12.25728,11.76840,11.57984,11.49982,11.37433,11.17470,11.04239,10.94281,10.79823,10.92525,11.01281,10.85449,10.84225,10.43229,10.54424,10.74278,10.77037,10.88596,11.26293,11.41976,11.39833,11.29053,11.23597,11.39153,11.17663,10.70420,9.92400,9.74198,9.72188,9.50111,9.62947,9.60908,9.81815,10.28814,10.82012,11.36271,11.41223,11.20951,11.00197,10.66700,10.47820,10.33263,10.48358,10.29978,10.14923,9.99381,9.96917,9.92424,9.74215,9.57664,9.13777,9.22877,9.18524,10.87304,10.85242,10.40369,9.97524,10.61354,10.16390,10.55186,11.28907
