year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,St Peters 132_11kV,01MAY2012,MW,29.91658,29.54951,28.76030,28.42993,28.41158,28.02615,27.65907,27.51224,27.45718,27.03505,26.75974,26.53950,26.61291,26.57620,26.70468,26.68633,27.14517,26.90657,27.18188,27.64072,27.95273,28.79701,29.60457,30.90769,32.41269,33.64239,35.05563,36.83594,39.27699,41.97499,43.29645,43.86542,44.74640,45.27866,45.20524,45.29701,45.64573,45.86598,46.10458,46.71025,46.45330,47.02226,47.40769,47.75641,47.92160,48.03172,48.06843,48.34373,48.61904,48.12349,47.95830,48.58233,49.22471,49.07788,49.22471,49.20636,49.33483,49.73861,49.59178,49.18800,49.02282,48.32538,47.77477,46.93049,46.49000,46.49000,46.21470,45.48055,45.40713,45.68244,46.50836,46.52671,45.97610,45.42549,44.92994,45.26030,44.43439,43.22304,43.49835,42.96609,42.10346,41.64462,41.33261,40.91047,39.88266,39.22193,38.74473,38.17576,37.38655,36.48722,35.45941,34.59679,33.84428,32.81647,32.13739,31.42159
2013,St Peters 132_11kV,02MAY2012,MW,30.70579,30.04506,29.03560,28.66853,28.46664,28.28310,27.67743,27.45718,27.23694,27.07176,26.77810,26.81480,26.85151,26.88822,26.86986,26.79645,27.05340,27.29200,27.21859,27.34706,27.89767,28.70524,29.69634,30.76086,32.66964,33.89934,35.40435,37.20302,39.40546,41.53450,42.94773,43.71859,45.60903,45.81092,45.55396,45.44384,45.97610,46.43494,46.78366,47.71970,48.10513,48.50891,48.98611,49.02282,49.59178,49.40825,49.22471,49.53672,49.51837,49.15130,48.98611,49.11459,49.51837,49.55508,49.77532,50.08734,50.63795,50.34429,50.27087,49.86709,49.27977,49.13294,48.25196,47.92160,47.66464,47.29757,47.18745,47.16909,47.29757,47.82983,47.71970,47.40769,46.41659,45.82927,45.49890,45.66409,44.59957,43.73694,43.22304,42.69078,42.70914,41.93828,41.77309,40.94718,40.28644,39.44217,38.57955,38.02893,37.12960,36.15685,34.83538,33.71581,33.01836,32.35763,31.60513,30.90769
2013,St Peters 132_11kV,03MAY2012,MW,30.41213,29.73305,29.14573,28.72359,28.46664,28.06286,27.65907,27.27365,27.10846,27.09011,27.01669,26.96163,26.88822,27.10846,27.12682,26.97999,27.49389,27.45718,27.65907,27.80590,28.41158,28.96219,29.78811,30.94439,32.96330,34.30313,35.67966,37.27643,39.60735,42.28700,43.62682,44.59957,45.66409,46.12293,46.17799,46.69190,47.55452,47.55452,47.68300,48.23361,48.36208,48.65574,49.16965,49.26142,49.51837,49.59178,49.73861,49.55508,49.33483,49.51837,49.61014,49.26142,50.06898,50.27087,49.88544,49.94051,50.08734,49.88544,49.79368,49.73861,49.35319,48.85764,48.72916,47.77477,47.05897,46.96720,47.04062,46.41659,46.39824,46.49000,46.82037,46.76531,45.82927,45.51726,45.40713,44.76475,43.68188,43.16798,42.81926,42.32371,41.69968,41.35096,40.92882,40.52504,39.71748,38.81814,38.19412,37.36820,36.61570,35.99167,34.96386,34.04617,33.25696,32.41269,31.75196,31.16464
2013,St Peters 132_11kV,04MAY2012,MW,30.52226,29.89823,29.16408,28.88877,28.57676,28.04450,27.82426,27.31035,27.16352,27.05340,26.85151,26.81480,26.99834,26.96163,26.64962,26.70468,27.07176,27.14517,27.38377,27.58566,28.06286,28.59512,29.65963,30.88933,32.85318,34.11959,35.64295,37.47832,39.57065,41.66297,43.11292,43.86542,44.67298,45.44384,45.37043,44.94829,45.20524,45.55396,46.15964,46.43494,46.78366,46.76531,46.94885,47.33428,47.53617,47.42604,47.31592,47.11403,47.51781,47.33428,47.04062,47.11403,47.31592,47.59123,47.82983,47.60958,47.31592,47.26086,47.07732,46.80202,46.30647,45.68244,45.18689,45.26030,44.80146,44.92994,44.58122,44.56286,44.30591,44.23250,45.07677,44.85652,44.03060,43.55341,43.14962,42.70914,41.84651,41.24084,40.78199,40.54339,40.04784,39.51559,38.98333,38.76308,37.95552,37.16631,36.78088,36.37710,35.78978,35.22081,34.67020,34.04617,33.33038,32.50446,31.69690,31.05452
2013,St Peters 132_11kV,05MAY2012,MW,30.55896,30.02671,29.43939,28.87042,28.61347,28.31981,27.65907,27.05340,26.85151,26.61291,26.50279,26.24584,26.09901,26.06230,25.49333,25.58510,25.58510,25.80535,25.75029,25.82370,25.80535,26.00724,26.57620,26.90657,27.87932,28.22804,28.48499,28.76030,29.09067,29.69634,30.39378,30.76086,31.84373,32.59623,33.27532,33.77087,34.68855,34.52337,34.78032,35.23917,35.56953,35.73472,35.77142,36.13850,34.22971,34.39489,34.24806,34.06453,34.33983,34.08288,34.08288,34.08288,34.08288,34.08288,34.96386,34.90880,34.52337,34.26642,33.99111,33.93605,33.71581,34.08288,34.15630,34.10123,33.77087,33.78922,34.21136,34.68855,35.11069,36.34039,37.27643,37.45997,37.75363,37.57009,37.66186,37.18466,36.65240,36.61570,36.06508,35.40435,35.05563,34.68855,34.48666,34.02782,33.73416,33.29367,32.92660,32.57788,32.48611,32.08232,31.51336,30.77921,30.37543,29.78811,29.32926,28.81536
2013,St Peters 132_11kV,06MAY2012,MW,28.77865,28.20969,27.43883,27.05340,26.66797,26.39267,26.00724,25.38321,25.38321,24.79589,24.61236,24.68577,24.50223,24.50223,24.20857,24.06174,23.89656,23.89656,23.89656,24.11680,24.11680,24.22693,24.41046,24.57565,24.75919,24.92437,24.83260,24.79589,25.69523,25.91547,26.57620,27.14517,27.80590,28.42993,28.88877,29.67799,30.33872,30.68744,30.96275,31.43994,32.04562,32.43105,32.46775,32.72470,32.77977,32.59623,32.79812,32.76141,32.61458,32.26586,32.08232,32.00891,32.59623,32.35763,32.22915,32.13739,32.22915,32.19245,32.22915,32.54117,32.30257,32.48611,32.39434,32.70635,32.98166,32.83483,33.27532,33.84428,34.46831,35.93661,37.73527,38.21247,38.90991,39.02004,38.87321,39.02004,38.21247,38.12070,37.91881,37.22137,37.11125,36.48722,36.37710,35.60624,35.23917,34.56008,33.97276,33.29367,32.76141,32.10068,30.94439,30.33872,29.58622,29.05396,28.44829,27.64072
2013,St Peters 132_11kV,07MAY2012,MW,27.54895,27.12682,26.66797,26.26419,26.06230,25.73193,25.27309,25.19967,24.86931,24.70412,24.44717,24.48388,24.64906,24.39211,24.28199,24.53894,24.72248,24.88766,24.88766,25.16297,25.76864,26.44773,27.18188,27.98944,30.50390,31.97220,33.78922,36.39545,39.00168,41.31425,42.89267,43.77365,44.70969,44.92994,45.18689,45.48055,45.51726,45.95775,46.60013,47.04062,47.02226,47.66464,47.75641,47.82983,48.12349,48.08678,47.92160,47.95830,47.86653,47.42604,47.73806,47.55452,47.75641,47.71970,48.23361,48.17855,48.36208,48.25196,47.90324,47.77477,46.91214,46.82037,46.72860,45.75585,45.71915,45.38878,45.26030,45.57232,45.62738,45.95775,46.41659,46.56342,46.58177,46.54507,46.12293,45.93939,45.37043,44.76475,44.26920,43.86542,43.36987,42.54395,42.14017,41.91992,41.03895,40.65352,39.58900,38.68967,38.12070,37.20302,35.99167,34.63349,33.75251,32.61458,32.04562,30.63238
2013,St Peters 132_11kV,08MAY2012,MW,30.10012,29.54951,28.94384,28.59512,28.24639,28.02615,27.56731,27.23694,27.14517,26.96163,26.74139,26.72303,26.75974,26.55785,26.63127,26.55785,26.90657,27.07176,27.36542,27.56731,28.08121,28.55841,29.67799,30.65073,32.59623,34.04617,35.71636,37.95552,40.52504,43.00280,44.34262,45.20524,46.10458,46.10458,45.73750,45.79256,45.84762,46.71025,46.69190,46.83873,46.21470,44.72805,44.25085,44.06731,44.21414,44.98500,45.22360,44.61792,44.36097,44.30591,44.21414,44.36097,44.70969,44.81981,44.94829,45.68244,48.34373,48.32538,48.05007,47.64629,47.35263,47.16909,46.85708,46.45330,46.49000,46.12293,46.01281,45.70079,45.46220,45.73750,46.60013,46.69190,45.92104,45.84762,45.53561,45.40713,45.00335,44.21414,43.71859,43.16798,42.94773,42.89267,42.43383,41.90157,41.16742,40.41492,39.64406,38.52448,37.58844,36.52393,35.58789,34.28477,33.51392,32.30257,31.58677,31.05452
2013,St Peters 132_11kV,09MAY2012,MW,30.59567,30.00835,29.43939,29.21914,28.83371,28.26475,28.00780,27.47554,27.40212,27.25529,26.96163,26.99834,26.83316,26.77810,26.97999,27.07176,27.12682,27.18188,27.47554,27.53060,28.20969,28.98054,29.75140,30.54061,32.52281,34.22971,35.78978,37.88210,40.02949,42.30535,44.03060,44.61792,45.22360,45.53561,45.48055,46.12293,46.08622,45.77421,46.74696,46.98555,46.87543,47.73806,48.60068,48.65574,48.76587,49.66520,49.68355,49.33483,49.04117,48.82093,49.05953,49.35319,49.38989,49.62849,49.66520,50.17910,50.63795,50.32593,50.17910,49.99557,49.50002,49.04117,48.91270,48.74751,48.49056,48.10513,48.16019,47.81147,47.44440,47.82983,48.01336,47.86653,46.43494,45.97610,46.03116,46.01281,45.22360,44.10402,43.86542,43.14962,42.83761,42.50724,42.21358,41.66297,41.14907,40.45163,39.58900,39.27699,38.46942,37.34985,36.13850,34.89045,33.86264,33.12849,32.13739,31.29311
2013,St Peters 132_11kV,10MAY2012,MW,30.66909,30.30201,29.60457,29.14573,28.94384,28.66853,28.28310,27.95273,27.75084,27.56731,27.23694,27.21859,26.94328,26.85151,27.05340,27.10846,27.27365,27.49389,27.32871,27.67743,28.11792,28.85207,29.73305,30.66909,32.88989,34.32148,35.78978,37.60680,40.10291,42.48889,43.49835,43.79201,45.18689,45.57232,45.33372,45.59067,46.25141,46.36153,46.82037,47.35263,47.99501,48.45385,49.35319,49.70191,49.48166,49.92215,49.99557,49.75697,50.34429,50.50947,50.61959,50.65630,51.28033,51.44551,51.64740,51.44551,51.33539,51.29868,51.00502,50.71136,50.36264,49.66520,49.20636,48.65574,48.28867,47.90324,47.29757,47.46275,47.24251,47.55452,47.88489,47.92160,46.76531,46.03116,45.29701,45.24195,44.21414,43.90213,43.47999,42.74584,42.43383,42.45218,41.93828,41.27754,40.30480,39.64406,38.79979,38.19412,37.29478,36.41381,35.40435,34.44996,33.55062,32.77977,32.04562,31.40324
