year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Thornton 33_11kV,01MAY2012,MW,11.41305,11.37652,10.97478,10.22609,9.69652,9.00261,8.52783,8.27218,7.72435,7.04870,6.81131,6.39131,6.17218,6.13565,6.13565,6.02609,6.09913,6.13565,6.30000,6.48261,6.81131,7.17652,7.66957,8.27218,8.91131,9.60522,10.39044,10.42696,10.50000,10.64609,10.90174,10.88348,10.77392,10.55478,10.50000,10.40870,9.97044,9.53218,9.66000,9.44087,9.29478,9.00261,9.00261,9.00261,9.05739,9.02087,9.18522,9.00261,9.22174,9.20348,9.20348,9.18522,9.56870,9.31305,9.45913,9.36783,9.42261,9.31305,9.34957,9.20348,9.22174,9.47739,9.22174,9.45913,9.60522,9.73305,9.73305,9.91565,10.08000,10.59131,11.19392,11.79652,11.96087,11.94261,11.70522,11.57739,11.35826,10.97478,10.60957,10.48174,10.39044,10.22609,9.93391,9.69652,9.33131,9.34957,9.58696,9.56870,10.02522,9.53218,9.20348,8.63739,9.84261,10.28087,9.78783,9.60522
2013,Thornton 33_11kV,02MAY2012,MW,10.99305,11.15739,10.42696,9.76957,9.09391,8.40000,7.92522,7.85218,7.43218,6.84783,6.57391,6.28174,6.13565,5.97131,5.91652,5.91652,5.69739,5.82522,5.95304,6.31826,6.68348,6.93913,7.17652,7.77913,8.41826,9.22174,9.51391,9.69652,10.04348,10.26261,10.66435,10.84696,10.90174,10.70087,10.51826,10.31739,10.20783,9.87913,9.84261,9.82435,9.62348,9.27652,8.96609,8.91131,9.03913,9.07565,9.22174,9.11218,9.25826,8.89305,9.03913,9.09391,9.09391,9.11218,9.31305,9.29478,9.42261,9.25826,9.33131,9.22174,9.31305,9.36783,9.64174,9.62348,9.60522,9.53218,9.64174,9.78783,10.26261,10.93826,11.46783,11.70522,11.79652,11.86957,11.44957,11.02957,10.48174,10.35391,10.20783,10.11652,9.97044,9.76957,9.53218,9.47739,9.11218,9.18522,9.34957,9.20348,9.84261,9.49565,8.83826,8.21739,9.71478,10.15305,9.71478,9.55044
2013,Thornton 33_11kV,03MAY2012,MW,10.79218,10.88348,10.35391,9.64174,9.03913,8.36348,7.81565,7.74261,7.14000,6.73826,6.35478,6.13565,6.06261,5.71565,5.60609,5.73391,5.66087,5.73391,5.88000,5.95304,6.33652,6.92087,7.01218,7.30435,7.81565,8.58261,9.16696,9.64174,9.69652,10.15305,10.51826,10.55478,10.59131,10.44522,10.17131,10.15305,10.09826,10.20783,9.86087,10.00696,9.98870,9.89739,10.08000,10.26261,10.22609,9.75131,9.66000,9.64174,9.78783,9.89739,9.71478,9.44087,9.47739,9.60522,9.84261,9.49565,9.62348,9.33131,9.47739,9.73305,9.47739,9.49565,9.42261,9.44087,9.69652,9.75131,9.80609,9.89739,10.00696,10.40870,11.12087,11.46783,11.52261,11.46783,11.26696,11.02957,10.82870,10.57305,10.48174,10.35391,10.04348,9.78783,9.76957,9.73305,9.51391,9.31305,9.71478,9.58696,10.06174,9.64174,9.27652,8.94783,10.44522,10.66435,10.20783,9.97044
2013,Thornton 33_11kV,04MAY2012,MW,11.12087,11.34000,10.64609,9.89739,9.20348,8.45478,8.05304,7.81565,7.26783,6.72000,6.50087,6.24522,6.19044,5.91652,5.78870,5.78870,5.93478,6.13565,6.04435,6.24522,6.62870,6.79304,7.14000,7.52348,8.23565,8.89305,9.42261,9.76957,9.75131,10.37218,10.53652,10.81044,10.77392,10.35391,10.28087,10.04348,9.69652,9.75131,9.82435,9.56870,9.58696,9.18522,9.02087,9.03913,9.13044,8.91131,9.11218,8.98435,8.89305,9.11218,8.98435,8.91131,9.07565,9.09391,9.11218,9.07565,9.05739,8.85652,8.85652,8.72870,8.72870,8.72870,8.65565,8.76522,8.87478,8.89305,9.07565,9.27652,9.62348,10.13478,10.70087,11.12087,11.23044,11.06609,10.71913,10.73739,10.44522,10.06174,9.67826,9.64174,9.49565,9.24000,9.36783,9.16696,9.02087,9.24000,9.53218,9.20348,9.44087,9.29478,9.00261,8.56435,10.17131,10.42696,10.08000,9.66000
2013,Thornton 33_11kV,05MAY2012,MW,10.44522,9.98870,9.67826,9.95218,9.55044,8.85652,8.07131,7.50522,7.63304,7.26783,6.75652,6.33652,6.09913,5.88000,5.73391,5.56957,5.56957,5.56957,5.56957,5.56957,5.69739,5.86174,6.13565,6.15391,6.50087,6.81131,6.99391,7.35913,7.76087,8.25391,8.72870,9.33131,9.80609,10.13478,10.31739,10.37218,10.39044,10.28087,10.08000,10.08000,9.89739,9.82435,9.67826,9.64174,9.53218,9.20348,8.76522,8.69218,8.36348,8.10783,7.96174,7.81565,7.48696,7.41391,7.63304,7.74261,7.87044,7.79739,8.05304,7.76087,7.87044,8.07131,7.85218,8.07131,8.14435,8.27218,8.50957,8.72870,9.42261,10.15305,10.84696,11.21218,11.59565,11.46783,11.19392,10.88348,10.59131,10.37218,10.17131,9.89739,9.62348,9.55044,9.38609,9.24000,9.16696,8.85652,9.45913,9.29478,9.05739,8.45478,8.29044,8.19913,8.49131,8.34522,8.27218,8.30870
2013,Thornton 33_11kV,06MAY2012,MW,7.70609,7.17652,7.04870,7.68783,7.12174,6.66522,6.30000,6.13565,6.06261,5.93478,5.71565,5.44174,5.44174,5.44174,5.36870,5.22261,5.22261,5.22261,5.22261,5.42348,5.44174,5.46000,5.69739,5.69739,5.82522,6.08087,6.24522,6.50087,6.72000,7.14000,7.77913,8.10783,8.23565,8.43652,8.65565,9.07565,8.98435,9.18522,9.00261,9.05739,9.00261,8.76522,8.47305,8.08957,7.88870,7.88870,7.65131,7.30435,7.37739,7.23131,7.10348,7.08522,7.10348,6.95739,6.92087,7.01218,6.97565,6.79304,7.03044,7.12174,7.32261,7.32261,7.48696,7.63304,7.99826,8.47305,8.58261,8.78348,9.42261,10.55478,11.70522,12.16174,12.45392,12.43565,12.39913,11.92435,11.57739,11.30348,11.30348,11.30348,11.01131,10.64609,10.64609,10.20783,9.84261,9.47739,9.87913,9.78783,9.27652,8.72870,8.41826,8.01652,8.36348,8.16261,8.41826,8.30870
2013,Thornton 33_11kV,07MAY2012,MW,7.72435,7.24957,7.14000,7.61478,7.15826,6.70174,6.57391,6.59218,6.06261,5.66087,5.56957,5.53304,5.49652,5.60609,5.60609,5.47826,5.69739,5.88000,5.91652,6.08087,6.48261,6.88435,7.37739,7.90696,8.61913,9.51391,10.11652,10.28087,10.79218,11.34000,11.61392,11.88783,12.01565,11.66870,11.68696,11.48609,11.15739,11.34000,11.35826,11.23044,11.15739,10.92000,10.92000,10.95652,11.01131,10.92000,10.93826,10.75565,10.75565,10.13478,9.93391,9.55044,9.67826,9.33131,9.49565,9.40435,9.07565,9.02087,9.18522,9.18522,9.45913,9.51391,9.40435,9.78783,10.06174,10.35391,10.62783,11.17565,11.66870,12.36261,13.38522,14.00609,13.93305,13.98783,13.56783,13.14783,12.94696,12.85565,12.47218,12.12522,11.86957,11.66870,11.15739,10.97478,10.59131,10.48174,10.86522,10.70087,10.81044,10.57305,9.80609,9.36783,10.84696,11.17565,10.50000,10.59131
2013,Thornton 33_11kV,08MAY2012,MW,11.94261,11.85131,11.32174,10.70087,9.91565,9.42261,8.74696,8.63739,8.07131,7.46870,7.03044,6.77478,6.40957,6.35478,6.33652,6.09913,6.09913,6.19044,6.50087,6.68348,7.15826,7.50522,7.88870,8.49131,9.51391,10.48174,11.04783,11.65044,11.76000,12.28957,12.36261,12.23478,12.27131,11.97913,11.65044,11.28522,10.88348,10.81044,10.53652,10.26261,9.97044,9.75131,9.66000,9.38609,9.31305,9.27652,9.34957,9.45913,9.49565,9.29478,9.13044,9.09391,8.91131,9.16696,9.16696,9.11218,9.09391,9.07565,,8.43652,9.07565,9.09391,9.16696,9.31305,9.38609,9.47739,9.60522,9.87913,10.53652,11.13913,11.96087,12.23478,12.25305,12.45392,12.45392,12.30783,12.23478,12.05218,11.61392,11.54087,11.24870,10.95652,10.70087,10.57305,10.26261,10.40870,10.59131,10.31739,10.64609,10.18957,9.67826,8.96609,10.44522,10.75565,10.50000,10.33565
2013,Thornton 33_11kV,09MAY2012,MW,11.37652,11.57739,11.04783,10.46348,9.89739,9.18522,8.43652,8.19913,7.81565,7.26783,6.88435,6.37304,6.35478,6.35478,6.15391,6.13565,6.20870,6.15391,6.39131,6.77478,7.01218,7.15826,7.68783,8.54609,9.36783,10.31739,10.77392,11.02957,11.57739,11.97913,12.41739,12.41739,12.38087,11.88783,11.44957,11.15739,10.73739,10.44522,10.31739,9.98870,9.69652,9.11218,9.40435,9.38609,9.29478,9.16696,9.05739,9.22174,9.24000,9.27652,9.27652,9.20348,8.96609,8.98435,9.11218,9.40435,9.25826,9.36783,9.34957,9.13044,9.20348,9.29478,9.31305,9.40435,9.66000,9.69652,9.67826,9.97044,10.37218,10.77392,11.61392,11.96087,12.16174,11.92435,11.83305,11.50435,11.13913,10.99305,10.64609,10.55478,10.26261,10.20783,9.98870,9.82435,9.67826,9.67826,9.98870,9.80609,10.02522,9.73305,9.20348,8.43652,9.87913,10.15305,9.71478,9.69652
2013,Thornton 33_11kV,10MAY2012,MW,10.79218,10.93826,10.44522,9.75131,9.24000,8.56435,8.05304,7.88870,7.35913,7.01218,6.48261,6.26348,6.09913,6.09913,6.09913,5.97131,5.88000,5.88000,6.09913,6.26348,6.72000,6.99391,7.43218,7.94348,8.67391,9.47739,10.04348,10.40870,10.28087,10.60957,11.04783,11.04783,10.53652,10.04348,9.82435,9.71478,9.51391,9.14870,9.16696,8.80174,8.94783,8.78348,8.60087,8.67391,8.67391,8.67391,8.67391,8.60087,8.56435,8.63739,8.69218,8.60087,8.82000,8.83826,8.72870,8.76522,8.80174,8.74696,8.98435,9.11218,9.03913,8.87478,9.07565,9.53218,9.51391,8.91131,9.56870,9.47739,9.80609,10.48174,10.90174,11.19392,11.10261,11.02957,10.77392,10.39044,10.28087,10.08000,9.93391,9.69652,9.49565,9.33131,9.20348,9.20348,9.00261,9.11218,9.29478,9.16696,9.42261,9.36783,8.83826,8.27218,9.97044,10.26261,9.73305,9.62348
