year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Umina 66_11kV,01MAY2012,MW,12.15252,15.90264,13.67379,11.74567,10.91427,14.06296,13.35539,11.72798,10.13594,9.12766,8.10168,7.58869,7.27028,6.66885,6.82805,6.66885,6.33275,7.04032,7.27028,7.48256,7.44718,8.17244,8.63236,9.35762,10.54280,10.98503,11.90487,10.02981,10.34821,10.66662,10.75507,10.73738,11.05578,10.84351,10.36590,9.92367,9.35762,9.74678,9.44606,9.58758,9.30455,8.98614,8.98614,9.14535,9.35762,9.35762,9.19841,9.21610,9.56989,9.21610,8.79156,8.65005,9.26917,8.77387,8.59698,8.43777,8.43777,8.68542,8.75618,8.73849,9.19841,9.03921,9.44606,9.90598,10.11825,10.59586,11.44495,11.32112,12.27634,13.51459,14.25754,14.91204,14.77053,14.82360,14.31061,14.22216,13.79762,13.26694,13.00160,13.00160,13.79762,12.91316,13.70917,12.45324,13.09005,11.95794,11.30343,10.70200,11.37419,14.80591,14.32830,12.08176,15.30121,13.24925,15.33658,13.51459
2013,Umina 66_11kV,02MAY2012,MW,12.36479,15.63730,13.24925,11.69260,10.45435,13.63842,12.73626,11.25037,9.94136,9.03921,8.20781,7.41180,7.00495,6.73961,6.70423,6.50965,6.65116,6.96957,6.98726,7.48256,7.62407,8.26088,8.61467,9.42837,10.27746,11.21499,11.94025,9.58758,10.54280,10.84351,11.02041,11.10885,10.64893,10.54280,10.10057,10.17132,9.72909,9.81754,9.21610,9.35762,9.19841,9.46375,8.82694,8.91538,9.18072,8.95076,8.89770,8.82694,8.88001,9.23379,8.70311,8.93307,8.82694,8.98614,8.93307,9.14535,8.77387,8.80925,9.03921,9.26917,9.28686,9.37531,9.56989,9.81754,10.31284,10.80814,11.16192,11.25037,12.64782,13.88607,14.77053,14.64670,14.71746,14.69977,14.11603,14.18678,13.37308,13.10774,12.52399,12.48861,13.39077,12.18790,12.86009,11.71029,12.01100,11.12654,10.48973,9.87060,10.56049,14.25754,13.67379,12.17021,14.66439,12.93085,14.96511,13.26694
2013,Umina 66_11kV,03MAY2012,MW,11.97563,15.15969,12.98391,11.17961,10.29515,13.63842,12.48861,10.73738,9.41068,8.40240,7.76558,7.51793,6.86343,6.65116,6.56271,6.82805,6.45658,6.75730,7.12877,7.44718,7.58869,7.88941,8.10168,8.88001,9.99443,10.68431,11.33881,9.87060,9.81754,10.10057,10.43666,10.18901,10.31284,10.01212,9.90598,9.95905,9.64064,9.83523,9.67602,9.39299,9.10997,8.96845,9.09228,9.02152,9.23379,8.73849,8.98614,9.16303,9.32224,8.96845,9.12766,,8.95076,9.03921,8.95076,8.68542,8.91538,9.05690,8.96845,9.05690,8.96845,9.05690,9.28686,9.67602,9.88829,10.40128,11.00272,10.79045,12.01100,13.09005,13.95682,13.99220,14.27523,14.20447,13.83300,13.37308,13.32001,13.12543,12.94854,12.89547,13.65611,13.01929,13.47921,12.18790,12.94854,11.69260,11.30343,11.02041,11.14423,14.80591,14.11603,12.31172,15.26583,13.28463,15.40734,13.56766
2013,Umina 66_11kV,04MAY2012,MW,11.88718,15.51348,13.28463,11.25037,10.59586,13.65611,12.55937,11.07347,9.97674,8.77387,8.50853,7.25259,7.12877,6.96957,6.79267,6.36813,6.33275,6.81036,7.28797,7.64176,7.78327,7.92479,8.49084,9.26917,10.17132,11.35650,11.72798,9.99443,10.79045,10.94965,11.07347,11.44495,11.63953,11.23268,10.73738,10.48973,10.52511,10.43666,9.94136,9.83523,9.46375,9.28686,9.19841,9.10997,9.00383,9.07459,8.98614,8.82694,9.09228,9.07459,8.86232,8.72080,8.88001,9.14535,8.89770,8.77387,8.86232,8.68542,8.79156,8.91538,8.73849,9.35762,9.53451,9.90598,10.31284,10.59586,11.28575,11.51571,12.27634,13.40846,14.16909,14.46981,14.71746,14.43443,14.50519,14.41674,13.86838,13.79762,13.49690,13.10774,14.68208,13.47921,14.36368,12.84240,13.62073,12.84240,12.15252,11.16192,11.86949,15.70806,15.10662,13.53228,16.46870,14.08065,16.34487,14.43443
2013,Umina 66_11kV,05MAY2012,MW,13.12543,16.52176,14.52288,12.59475,11.21499,14.62901,13.26694,11.76336,10.27746,9.32224,8.31395,7.71252,7.41180,7.09339,7.14646,6.86343,6.58040,6.93419,7.05801,6.77498,6.95188,7.18184,7.30566,7.81865,8.03092,8.79156,9.39299,8.68542,9.23379,10.02981,10.47204,10.48973,11.05578,11.00272,11.46264,11.67491,11.30343,11.09116,10.79045,10.68431,10.56049,10.61355,10.54280,10.10057,10.27746,9.72909,10.25977,9.64064,9.87060,9.83523,9.87060,9.85292,9.44606,9.64064,9.32224,9.51682,9.21610,9.30455,9.39299,9.39299,9.65833,9.90598,10.48973,10.66662,11.19730,11.67491,12.25865,12.20559,13.30232,14.38136,14.98280,15.58423,15.33658,15.05356,14.69977,14.29292,13.88607,13.92144,13.10774,12.68320,14.06296,12.93085,13.70917,12.82471,13.21387,12.27634,12.06407,11.17961,11.86949,15.60192,15.21276,13.62073,16.76941,14.80591,16.82248,14.85897
2013,Umina 66_11kV,06MAY2012,MW,13.67379,16.92862,15.33658,12.94854,11.60415,14.94742,13.62073,12.55937,10.80814,9.53451,8.80925,8.11937,7.62407,7.25259,7.07570,6.82805,6.68654,6.82805,6.88112,7.25259,6.72192,6.84574,7.30566,7.51793,8.15475,8.84463,8.72080,8.38471,9.09228,9.58758,9.99443,10.70200,11.00272,11.51571,11.67491,11.83411,11.40957,11.56877,11.35650,11.26806,11.25037,11.02041,10.75507,10.45435,9.92367,10.29515,9.65833,10.01212,9.53451,9.49913,9.32224,9.58758,9.39299,9.09228,9.33993,9.19841,9.18072,9.39299,9.28686,9.72909,9.74678,9.78216,10.10057,10.57817,11.25037,11.49802,11.95794,12.66551,13.56766,15.05356,15.70806,16.32718,16.27412,16.30949,15.93802,15.46041,14.92973,14.75284,13.99220,13.70917,15.07125,14.27523,14.77053,13.42615,13.72686,13.03698,11.94025,11.23268,11.33881,14.87666,14.39905,12.87778,16.02647,14.16909,16.25643,14.38136
2013,Umina 66_11kV,07MAY2012,MW,13.01929,16.84017,14.66439,12.63013,11.62184,14.89435,13.63842,12.13483,10.79045,9.72909,8.82694,8.24319,7.62407,7.32335,7.09339,6.91650,6.82805,7.21722,7.41180,7.74789,7.94248,8.13706,9.02152,9.42837,10.50742,11.49802,12.54168,10.64893,11.30343,12.15252,12.48861,12.48861,12.29403,12.41786,12.22328,11.92256,11.74567,11.83411,11.83411,11.32112,11.02041,10.89658,11.12654,10.66662,10.63124,10.45435,10.25977,10.47204,9.64064,9.09228,9.18072,9.64064,9.12766,9.21610,9.26917,8.89770,9.21610,9.26917,9.28686,9.35762,9.41068,9.81754,9.95905,10.54280,11.02041,11.63953,12.48861,12.61244,14.34599,15.81419,16.61021,16.69866,17.33547,17.12320,16.85786,16.80479,15.99109,15.42503,15.17738,15.05356,16.25643,15.24814,15.77882,14.45212,15.03587,13.62073,13.07236,12.17021,12.43555,16.18567,15.40734,13.28463,16.46870,14.29292,16.73404,14.64670
2013,Umina 66_11kV,08MAY2012,MW,13.53228,16.84017,14.59364,12.52399,11.58646,14.75284,13.81531,12.02869,10.71969,9.64064,8.84463,8.13706,7.78327,7.39411,7.14646,6.91650,6.88112,7.35873,7.53562,7.83634,8.52622,8.73849,9.42837,10.13594,11.17961,12.50630,13.03698,11.39188,12.09945,12.25865,12.34710,12.20559,12.25865,11.88718,11.53339,11.09116,10.70200,10.27746,9.76447,9.64064,9.30455,9.02152,9.07459,9.03921,9.05690,8.98614,8.66774,8.50853,8.65005,8.66774,8.42009,8.49084,8.59698,8.59698,8.22550,8.38471,8.01323,8.15475,8.49084,8.59698,8.63236,8.84463,10.08288,9.95905,10.11825,10.75507,11.09116,11.65722,12.94854,14.25754,15.21276,15.51348,15.81419,15.97340,15.53117,15.74344,14.94742,14.66439,14.11603,13.79762,15.08894,14.16909,14.78822,13.76224,14.15140,13.09005,12.32941,11.44495,12.15252,15.60192,14.73515,12.64782,16.00878,14.04527,15.99109,14.66439
2013,Umina 66_11kV,09MAY2012,MW,12.93085,16.20336,14.31061,12.24096,11.42726,14.46981,13.47921,12.01100,10.45435,9.19841,8.40240,7.85403,7.57100,7.27028,6.89881,6.93419,6.84574,7.19953,7.35873,7.88941,8.42009,8.20781,8.63236,9.76447,10.84351,11.79873,12.91316,11.10885,11.74567,12.04638,12.11714,12.24096,11.62184,11.33881,11.17961,10.77276,10.34821,10.43666,9.92367,9.48144,9.55220,9.44606,9.25148,9.23379,9.07459,8.89770,8.80925,8.95076,9.32224,8.86232,8.59698,8.80925,8.52622,8.84463,8.75618,8.88001,8.88001,8.98614,8.59698,9.14535,9.25148,9.32224,9.53451,10.06519,10.17132,10.73738,10.96734,11.53339,12.48861,13.62073,14.55826,14.92973,14.92973,15.12431,14.61133,14.32830,13.47921,13.32001,13.14312,12.75395,13.85069,12.93085,13.47921,12.52399,13.19618,12.08176,11.37419,10.52511,11.14423,14.77053,14.08065,12.34710,15.47810,13.63842,15.70806,13.79762
2013,Umina 66_11kV,10MAY2012,MW,12.48861,16.20336,13.79762,11.76336,10.87889,13.90376,12.91316,11.10885,10.02981,8.95076,7.94248,7.80096,7.18184,6.98726,6.70423,6.63347,6.75730,6.82805,7.07570,7.48256,7.73020,8.50853,8.80925,9.41068,10.38359,11.25037,11.81642,10.43666,10.91427,10.86120,11.26806,11.21499,10.93196,10.52511,10.40128,10.15363,9.83523,9.92367,9.83523,9.56989,9.49913,9.37531,9.30455,9.35762,9.07459,9.16303,9.18072,9.30455,9.78216,9.23379,9.41068,8.96845,9.23379,8.95076,9.03921,9.07459,9.28686,9.03921,9.26917,9.18072,9.35762,9.56989,9.55220,10.01212,10.41897,10.66662,10.93196,11.09116,12.20559,13.21387,14.16909,14.23985,14.27523,14.29292,14.00989,13.44383,13.26694,12.63013,12.50630,12.43555,13.05467,12.31172,12.87778,11.88718,12.34710,11.40957,11.23268,10.33053,11.02041,14.61133,13.76224,12.27634,15.42503,13.07236,15.31890,13.60304
