year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Wallalong 33_11kV,01MAY2012,MW,0.97904,0.80341,0.80341,0.80341,0.80341,0.71250,0.62259,0.62259,0.62259,0.62259,0.62259,0.62259,0.57444,0.44751,0.44751,0.44751,0.53821,0.54104,0.54104,0.54704,0.61553,0.61553,0.61553,0.61553,0.61553,0.83406,1.12585,1.12585,1.10462,1.12159,1.12847,1.12847,1.16238,1.21103,1.28792,1.50781,1.48756,1.56940,1.56940,1.55387,1.45583,1.45309,1.54268,1.58774,1.47400,1.41763,1.39113,1.39113,1.39113,1.39113,1.13188,1.33211,1.33968,1.07159,1.05042,1.05042,1.05042,1.05042,1.05042,1.05042,1.05042,1.14558,1.21279,1.21279,1.21279,1.20838,1.30479,1.30422,1.37394,1.44967,1.50561,1.71264,1.79279,1.79279,1.71073,1.01266,0.93957,0.93957,1.18095,1.61463,1.61463,1.61463,1.61463,1.37918,1.10848,1.10848,1.00750,0.79582,0.75382,0.75382,0.75382,0.75382,0.93352,0.96873,0.96873,0.92247
2013,Wallalong 33_11kV,02MAY2012,MW,0.80385,0.80385,0.80385,0.78689,0.63884,0.63884,0.63884,0.63884,0.63884,0.63884,0.63884,0.63884,0.56228,0.47180,0.47180,0.47180,0.49331,0.49384,0.49384,0.49384,0.49384,0.50133,0.63573,0.63573,0.71488,0.92264,1.11696,1.28716,1.28716,1.52091,1.67782,1.74570,1.57989,1.63111,1.63212,1.54557,1.54557,1.49127,1.43606,1.37250,1.42733,1.36795,1.29842,1.20219,1.14530,1.09143,1.23903,1.44334,1.26227,1.41376,1.47132,1.36975,1.29316,1.32223,1.40901,1.41269,1.42403,1.42403,1.42403,1.42403,1.36642,1.42122,1.31746,1.42245,1.41988,1.47022,1.45015,1.45158,1.62222,1.62222,1.62222,1.69788,1.78531,1.78531,1.70909,0.97858,0.96005,0.96005,1.32962,1.53312,1.73636,1.62518,1.51553,1.09939,1.09939,1.09939,0.99523,0.76528,0.76528,0.76528,0.76528,0.76528,0.89662,0.93722,0.93722,0.93722
2013,Wallalong 33_11kV,03MAY2012,MW,0.86223,0.77159,0.77159,0.77159,0.77159,0.77159,0.73439,0.59304,0.59304,0.59304,0.43957,0.42910,0.42910,0.42910,0.42910,0.42910,0.48794,0.49091,0.49091,0.49091,0.49091,0.49091,0.53944,0.59553,0.59553,0.75958,0.85936,1.33359,1.50768,1.65610,1.65610,1.60841,1.62219,1.68877,1.68877,1.68877,1.67962,1.49513,1.49513,1.49513,1.49513,1.52775,1.50664,1.65235,1.65235,1.63682,1.48288,1.48288,1.56316,1.45368,1.60271,1.41762,1.41762,1.41762,1.41182,1.49496,1.48260,1.48260,1.48260,1.48260,1.38779,1.29414,1.26597,1.49809,1.61318,1.62492,1.56027,1.44317,1.29000,1.27453,1.42684,1.44221,1.44221,1.57158,1.43679,1.06393,0.92738,0.96631,1.35703,1.35703,1.35703,1.35703,1.35703,1.35703,1.35703,1.28787,0.86174,0.86174,0.86174,0.86174,0.86174,0.86174,0.86174,0.86174,0.86174,0.86174
2013,Wallalong 33_11kV,04MAY2012,MW,0.86174,0.83316,0.69306,0.69306,0.69306,0.69306,0.69306,0.61980,0.52925,0.52925,0.52925,0.52925,0.52925,0.52925,0.52925,0.52925,0.47538,0.47268,0.47268,0.47268,0.47268,0.47268,0.47268,0.64046,0.72330,0.76748,1.02855,1.22684,1.22684,1.32911,1.47856,1.72728,1.72728,1.72728,1.72728,1.72728,1.72728,1.63621,1.47019,1.39147,1.61421,1.61421,1.61421,1.61421,1.60716,1.61579,1.47146,1.32856,1.28381,1.28381,1.28381,1.28381,1.36449,1.45704,1.40422,1.47533,1.46674,1.31251,1.33812,1.57604,1.39270,1.48407,1.46852,1.55508,1.55508,1.55508,1.55508,1.55508,1.27232,1.16358,1.16358,1.19722,1.32215,1.15105,1.13314,0.98572,0.98572,0.98572,0.98572,0.88383,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.81824,0.96203,0.98576,0.98576,0.98576
2013,Wallalong 33_11kV,05MAY2012,MW,0.98576,0.85806,0.81980,0.81980,0.81980,0.81980,0.72650,0.65271,0.65271,0.65271,0.65271,0.63769,0.48894,0.48894,0.48894,0.48894,0.56682,0.56924,0.56924,0.56924,0.56924,0.56924,0.56924,0.59475,1.02115,1.05796,1.21792,1.22684,1.22684,1.22684,1.39737,1.56172,1.58618,1.58618,1.58618,1.58618,1.58618,1.58618,1.43885,1.41991,1.41991,1.41991,1.41991,1.41991,1.41205,0.94377,0.90549,0.90549,0.90549,0.90549,0.90549,0.81872,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.72901,0.76411,0.91217,0.91217,0.91217,0.91217,1.00767,1.09601,1.09601,1.09601,1.09601,1.09601,1.09601,0.96965,0.92434,0.92434,0.92434,0.92434,0.78202,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960,0.75960
2013,Wallalong 33_11kV,06MAY2012,MW,0.75960,0.66097,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.59290,0.49593,0.49354,0.49354,0.49354,0.49354,0.49354,0.49354,0.49354,0.49354,0.49354,0.49354,0.75968,0.76343,0.76343,0.76343,0.86378,0.92839,0.99480,1.11086,1.11086,1.09758,0.94596,0.94596,0.94596,0.94596,0.94596,0.81232,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.76021,0.80891,0.93382,0.93382,0.93382,0.98661,1.11143,1.11143,1.11143,1.14007,1.24270,1.10848,1.10848,1.10848,1.10848,1.08975,0.93553,0.93553,0.93553,0.93553,0.93553,0.93553,0.93553,0.93553,0.77101,0.76385,0.76385,0.76385,0.76385,0.76385,0.76385
2013,Wallalong 33_11kV,07MAY2012,MW,0.76385,0.76385,0.76385,0.67325,0.60158,0.60158,0.60158,0.60158,0.60158,0.60158,0.45754,0.42699,0.42699,0.42699,0.42699,0.42699,0.42699,0.42699,0.42699,0.42699,0.58543,0.58949,0.58949,0.58949,0.65182,0.76343,1.04342,1.19352,1.19352,1.19352,1.19352,1.19352,1.19352,1.19352,1.22773,1.39317,1.76769,1.77675,1.66353,1.60597,1.71158,1.70308,1.65264,1.71907,1.29516,1.29655,1.57848,1.60096,1.60096,1.60096,1.60096,1.60096,1.60096,1.52436,1.58030,1.51388,1.42652,1.52676,1.60786,1.52523,1.42601,0.85832,0.85832,0.85832,0.95364,1.05219,1.05219,1.05219,0.92677,0.87651,0.98533,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.04043,1.01728,0.87707,0.87707,0.87707,0.87707,0.87707,0.87707,0.87707,0.98635,1.07280,1.06293,0.88561
2013,Wallalong 33_11kV,08MAY2012,MW,0.88561,0.88561,0.88561,0.88561,0.81216,0.72339,0.72339,0.72339,0.72339,0.72339,0.65678,0.55803,0.55803,0.55803,0.55803,0.55803,0.47063,0.46791,0.46791,0.46791,0.46791,0.46791,0.46791,0.64735,0.72123,0.93506,1.12772,1.11445,1.01924,1.13899,1.13899,1.19896,1.14735,1.05895,0.98245,0.95733,0.81181,0.67896,0.74032,0.84362,0.84362,0.84362,0.84362,0.84362,0.84362,0.75322,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.82639,0.74100,0.66200,0.81178,0.83538,0.83538,0.83538,0.94900,1.00943,1.06896,1.17817,1.17817,1.17817,1.17817,1.17817,1.17817,1.17817,1.09553,0.99565,0.99565,0.99565,0.99565,0.89941,0.82828,0.82828,0.82828,0.82828,0.82828,0.82828,0.82828,0.82828,0.82828,0.94868,0.99961,0.99961,0.99961
2013,Wallalong 33_11kV,09MAY2012,MW,0.97818,0.83553,0.83553,0.83553,0.76942,0.66183,0.66183,0.66183,0.66183,0.66183,0.66183,0.61168,0.48307,0.48307,0.48307,0.48307,0.47958,0.47945,0.47945,0.47945,0.60241,0.65581,0.65581,0.65581,0.74331,1.05579,1.07845,1.07845,1.07845,1.16916,1.24091,1.24091,1.21895,1.06520,1.06520,1.05291,0.71917,0.69148,0.72901,0.88174,0.88174,0.88174,0.88174,0.88174,0.89938,0.83794,0.82308,0.82308,0.82308,0.82308,0.82308,0.82308,0.76731,0.70418,0.81360,0.81360,0.81360,0.81360,0.81360,0.81360,0.71263,0.82211,0.82211,0.82211,0.82211,0.82211,0.97605,0.99158,0.99158,1.07432,1.16577,1.16577,1.15715,0.98314,0.98314,0.98314,0.98314,0.98314,0.98314,0.98314,0.98314,0.98314,0.98314,0.89983,0.80978,0.80978,0.80978,0.80978,0.80978,0.80978,0.80978,0.80978,0.96122,0.98970,0.98970,0.98970
2013,Wallalong 33_11kV,10MAY2012,MW,0.89626,0.82235,0.82235,0.82235,0.82235,0.71458,0.65584,0.65584,0.65584,0.65584,0.65584,0.57656,0.48894,0.48894,0.48894,0.48894,0.48894,0.48894,0.48894,0.48894,0.48894,0.57548,0.66496,0.66496,1.05943,1.08121,1.25556,1.30351,1.27441,1.45582,1.29880,1.45629,1.71698,1.66864,1.66864,1.63534,1.47840,1.37710,1.29137,1.48008,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.50300,1.37086,1.33371,1.10840,1.25892,1.25892,1.29304,1.43194,1.43194,1.36536,1.41257,1.41257,1.41257,1.41257,1.41257,1.41257,1.41257,1.50346,1.58036,1.58036,1.71519,1.75686,1.75686,1.72102,1.02510,0.84680,0.84680,0.96351,1.38414,1.38732,1.38732,1.38732,1.38732,1.38732,1.38732,1.17257,0.83912,0.83912,0.83912,0.83912,0.83912,0.83912,0.85407,1.00221,1.00221,0.85049
