year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Wallsend 33_11kV,01MAY2012,MW,0.29342,0.29206,0.29082,0.28908,0.28922,0.29022,0.28995,0.29131,0.29342,0.29415,0.29511,0.29560,0.29424,0.28924,0.28886,0.28885,0.28878,0.28878,0.28839,0.28831,0.28711,0.28623,0.28591,0.28717,0.28488,0.28515,0.28452,0.28977,0.28976,0.29427,0.29532,0.29498,0.29352,0.29364,0.29431,0.29434,0.29410,0.29436,0.29417,0.29502,0.29530,0.29555,0.29526,0.29529,0.29278,0.29057,0.29071,0.29152,0.29107,0.28952,0.28939,0.28958,0.29080,0.29042,0.28961,0.28930,0.28954,0.29030,0.29004,0.28998,0.29090,0.29106,0.28980,0.29041,0.28973,0.28979,0.28898,0.28968,0.28824,0.28655,0.28642,0.28656,0.28671,0.28659,0.28643,0.28734,0.28794,0.28733,0.28796,0.28650,0.28732,0.28775,0.28789,0.28955,0.29178,0.29325,0.29276,0.29276,0.28853,0.28928,0.29025,0.28663,0.28499,0.28604,0.28441,0.28665
2013,Wallsend 33_11kV,02MAY2012,MW,0.28880,0.29148,0.29189,0.29090,0.28932,0.28922,0.29005,0.28984,0.28821,0.28938,0.29063,0.28969,0.29017,0.29193,0.29273,0.29246,0.29291,0.29134,0.29129,0.29081,0.28972,0.29521,0.29142,0.28959,0.28896,0.28817,0.11279,0.11618,0.14293,0.14430,0.14381,0.14358,0.14522,0.14612,0.14620,0.14642,0.14590,0.14663,0.14726,0.14677,0.14719,0.14472,0.14404,0.14240,0.14383,0.14494,0.14727,0.14647,0.14671,0.14837,0.14869,0.14925,0.14900,4.08634,0.28976,0.28985,0.28972,0.29063,0.28933,0.28910,0.28928,0.29164,0.29248,0.29094,0.29035,0.28854,0.28730,0.28593,0.28718,0.28738,0.28712,0.28734,0.28797,0.28880,0.28872,0.28892,0.28692,0.28485,0.28689,0.28901,0.28853,0.29003,0.28936,0.28873,0.29166,0.28928,0.28898,0.28988,0.28915,0.28903,0.28888,0.28819,0.28936,0.28924,0.28915,0.28935
2013,Wallsend 33_11kV,03MAY2012,MW,0.28948,0.28920,0.28838,0.28853,0.28870,0.28971,0.28961,0.28988,0.29070,0.29043,0.29072,0.29028,0.29072,0.29057,0.29100,0.29130,0.28999,0.29140,0.29171,0.29170,0.29078,0.29228,0.29199,0.29157,0.29102,0.29033,0.29042,0.29085,0.29033,0.28878,0.28794,0.28686,0.28560,0.28783,0.28685,0.28470,0.28522,0.28401,0.28495,0.28554,0.28585,0.28630,0.28692,0.28727,0.28788,0.28898,0.28971,0.28885,0.28755,0.28535,0.28604,0.28934,0.29118,0.28717,0.28992,0.28969,0.28902,0.28972,0.28940,0.28961,0.29126,0.29111,0.28697,0.28838,0.28875,0.28613,0.28402,0.28537,0.28599,0.28638,0.28601,0.28405,0.28466,0.28446,0.28560,0.28939,0.29021,0.29505,0.29172,0.29103,0.29184,0.29188,0.29050,0.28959,0.28983,0.28858,0.28731,0.28554,0.28587,0.28574,0.28633,0.28539,0.28536,0.28963,0.29086,0.29196
2013,Wallsend 33_11kV,04MAY2012,MW,0.29112,0.29236,0.29251,0.29206,0.29075,0.29051,0.29229,0.29347,0.29341,0.29469,0.29392,0.29144,0.29171,0.29219,0.28976,0.29030,0.29000,0.29216,0.29711,0.29009,0.28938,0.28555,0.28593,0.28510,0.28537,0.28525,0.28214,0.28247,0.28539,0.28466,0.28473,0.28439,0.28594,0.28538,0.28439,0.28649,0.28642,0.28585,0.28632,0.28633,0.28652,0.28694,0.28648,0.28789,0.28919,0.29136,0.29144,0.29058,0.28959,0.28835,0.28735,0.28705,0.28794,0.28446,0.28280,0.29038,0.29012,0.29102,0.29081,0.29067,0.29088,0.29288,0.29319,0.28985,0.28996,0.28926,0.28997,0.28753,0.28721,0.28714,0.28666,0.28426,0.28431,0.28436,0.28476,0.28485,0.28459,0.28657,0.29200,0.29218,0.29108,0.29173,0.29186,0.29405,0.29336,0.29233,0.29129,0.29066,0.29055,0.29663,0.29627,0.29589,0.29439,0.28888,0.28962,0.28918
2013,Wallsend 33_11kV,05MAY2012,MW,0.28899,0.28980,0.29066,0.29051,0.29099,0.29092,0.29094,0.29080,0.29058,0.29028,0.28998,0.29089,0.29201,0.29198,0.29062,0.29058,0.29216,0.29252,0.29341,0.29339,0.29362,0.28724,0.28733,0.28770,0.28701,0.28601,0.28583,0.28506,0.28469,0.29020,0.29597,0.29639,0.29661,0.29140,0.29108,0.29120,0.29068,0.29044,0.29138,0.29197,0.29194,0.29172,0.29199,0.29186,0.29184,0.29275,0.29223,0.28981,0.29004,0.28953,0.29015,0.29022,0.28939,0.28944,0.28924,0.29093,0.29054,0.28980,0.28754,0.28587,0.28618,0.28738,0.28725,0.28785,0.28821,0.28906,0.28954,0.28963,0.28970,0.28986,0.28936,0.29004,0.28981,0.29053,0.29076,0.29129,0.28991,0.28989,0.29024,0.29073,0.28960,0.28927,0.28950,0.28927,0.29081,0.29020,0.28876,0.28751,0.28860,0.28753,0.28607,0.28665,0.28775,0.28709,0.28627,0.28854
2013,Wallsend 33_11kV,06MAY2012,MW,0.28859,0.28813,0.28865,0.28766,0.28783,0.28717,0.28802,0.28738,0.28785,0.28877,0.28814,0.28768,0.28719,0.28705,0.28743,0.28744,0.28844,0.28813,0.28727,0.28801,0.28766,0.28673,0.28743,0.28665,0.28592,0.28629,0.28524,0.28434,0.28597,0.28430,0.28345,0.28939,0.29000,0.29017,0.29041,0.29184,0.29390,0.29410,0.29394,0.29398,0.29421,0.29568,0.29587,0.29328,0.28994,0.29018,0.29098,0.28938,0.28917,0.28760,0.28375,0.28535,0.28504,0.28358,0.28333,0.28619,0.28547,0.28736,0.28694,0.28664,0.28575,0.28594,0.28573,0.28455,0.28445,0.28505,0.28534,0.28589,0.28761,0.28736,0.28616,0.28586,0.28615,0.28694,0.28616,0.28462,0.28412,0.28308,0.28545,0.29532,0.29629,0.29501,0.29469,0.29310,0.29358,0.29195,0.29092,0.28960,0.28838,0.28733,0.28773,0.28972,0.28870,0.28842,0.28854,0.28932
2013,Wallsend 33_11kV,07MAY2012,MW,0.29019,0.29018,0.28972,0.28860,0.28802,0.28803,0.21448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21768,0.28896,0.28929,0.29119,0.29052,0.29045,0.29024,0.28971,0.28978,0.29118,0.29231,0.29062,0.29119,0.29214,0.29121,0.28595,0.28604,0.28599,0.28561,0.28446,0.28286,0.28833,0.29414,0.29361,0.29350,0.29367,0.29496,0.29357,0.29410,0.29450,0.29460,0.29526,0.29564,0.29715,0.29743,0.29269,0.29154,0.29301,0.29083,0.28521,0.28492,0.28607,0.28839,0.29226,0.29539,0.29310,0.29049,0.29202,0.29225,0.29034
2013,Wallsend 33_11kV,08MAY2012,MW,0.28783,0.28864,0.28900,0.28987,0.28966,0.29042,0.29124,0.29247,0.29180,0.29155,0.29204,0.29150,0.29057,0.28612,0.28500,0.28604,0.28652,0.28622,0.28525,0.28344,0.28736,0.29010,0.28965,0.29054,0.28967,0.29346,0.29519,0.28901,0.28638,0.28524,0.28985,0.29091,0.29092,0.29203,0.29179,0.29216,0.29140,0.29198,0.29296,0.29361,0.29473,0.29442,0.29466,0.29504,0.29394,0.29397,0.29422,0.29499,0.29460,0.29468,0.29438,0.29474,0.29559,0.29578,0.29590,0.29557,0.29520,0.29441,0.29492,0.29490,0.29507,0.29561,0.29558,0.29668,0.29670,0.29613,0.29589,0.29461,0.29401,0.29167,0.29045,0.29081,0.29094,0.29114,0.29104,0.29170,0.29155,0.29200,0.29215,0.29231,0.29238,0.29240,0.29242,0.29390,0.29516,0.29528,0.29440,0.29560,0.29425,0.29515,0.29476,0.29102,0.28817,0.28981,0.29002,0.29104
2013,Wallsend 33_11kV,09MAY2012,MW,0.28992,0.29029,0.29107,0.28957,0.28991,0.29151,0.29054,0.29089,0.29153,0.29103,0.28989,0.28995,0.28926,0.28979,0.29003,0.28912,0.28896,0.28697,0.28604,0.28694,0.28718,0.29005,0.29090,0.28959,0.28882,0.28812,0.28682,0.28708,0.29031,0.29025,0.28942,0.28936,0.29132,0.29589,0.29756,0.29721,0.29748,0.29699,0.29607,0.29589,0.29606,0.29589,0.29567,0.29612,0.29520,0.29516,0.29571,0.29278,0.28864,0.28944,0.28766,0.28767,0.28779,0.28644,0.28713,0.28620,0.28691,0.28771,0.28660,0.28848,0.29081,0.29235,0.29302,0.29203,0.29186,0.29244,0.29166,0.29068,0.28921,0.28827,0.28826,0.29012,0.29044,0.29065,0.28893,0.28789,0.28860,0.28842,0.28919,0.29016,0.29006,0.28984,0.29123,0.29241,0.29269,0.28766,0.28585,0.28588,0.28619,0.28654,0.28689,0.28851,0.28911,0.28914,0.28844,0.28995
2013,Wallsend 33_11kV,10MAY2012,MW,0.29003,0.29108,0.28979,0.28724,0.28740,0.28809,0.28810,0.28789,0.28843,0.29058,0.29148,0.29265,0.29315,0.29289,0.29292,0.28619,0.28461,0.28526,0.28418,0.28313,0.28231,0.28578,0.28502,0.28531,0.29105,0.28462,0.28410,0.28699,0.28784,0.28738,0.28628,0.28476,0.28588,0.28523,0.28409,0.28389,0.28340,0.28343,0.28360,0.28390,0.28438,0.28449,0.28397,0.28421,0.28431,0.28485,0.28521,0.28503,0.28505,0.28551,0.28422,0.28396,0.28431,0.28460,0.28500,0.28523,0.28469,0.28423,0.28397,0.28415,0.28351,0.28625,0.28816,0.28767,0.28673,0.28623,0.28518,0.28434,0.28264,0.28317,0.28310,0.28716,0.29047,0.29089,0.28937,0.29012,0.29130,0.29198,0.29255,0.29329,0.29287,0.29378,0.29373,0.29426,0.29535,0.29568,0.29515,0.29583,0.29446,0.29413,0.29346,0.29561,0.29582,0.29637,0.29580,0.29611
