year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2013,Wamberal 132_11kV,1-May-12,MW,6.37631,7.49223,6.91196,6.34713,5.88667,5.70582,6.23384,5.78344,5.26171,4.68579,4.42423,4.12235,3.89541,3.60093,3.52254,3.51851,3.39277,3.45118,3.57053,3.67295,3.78232,3.92699,4.11535,4.3497,4.61885,5.086,5.88724,6.02333,5.5571,5.92019,5.97818,5.85843,5.65281,5.29612,5.11253,5.01496,4.83531,4.51717,4.50117,4.4088,4.37776,4.26968,4.08483,4.03405,3.9207,3.851,3.88386,3.87675,3.88675,3.93928,3.88386,3.82671,3.81828,3.86177,3.81299,3.81608,3.80339,3.85929,3.90959,3.87735,3.80587,3.85814,3.98892,4.18343,4.55901,4.73048,4.86512,5.15559,5.49182,6.34282,6.99856,7.45862,7.5633,7.73286,7.50686,7.48065,7.39012,7.17409,6.90819,6.60388,7.32893,6.91874,7.09521,6.58256,6.88293,6.52055,6.12639,5.79625,5.88253,6.74078,7.15654,6.52826,7.19192,6.64812,7.35659,6.63715
2013,Wamberal 132_11kV,2-May-12,MW,6.27311,7.44736,6.90808,6.11836,5.56876,5.63692,6.11047,5.61574,5.12762,4.75792,4.31143,3.99143,3.87195,3.60745,3.52377,3.41494,3.46924,3.44661,3.44661,3.57213,3.77012,3.78098,4.02453,4.21975,4.54758,5.02633,5.51583,5.97889,5.3449,5.65138,5.61528,5.60522,5.48774,5.5569,5.36391,4.54907,4.43558,4.24227,4.16022,4.0235,3.98823,3.95154,3.92782,3.82768,3.85826,3.76823,3.68233,3.67078,3.6985,3.72954,3.64706,3.74891,3.62665,3.62665,3.66329,3.6254,3.67335,3.78044,3.75303,3.75092,3.75526,3.82453,4.0149,4.85389,4.63212,4.59193,4.92259,5.13233,5.42809,6.2447,6.98395,7.39215,7.63281,7.73861,7.61603,7.51155,7.42953,7.00953,6.71817,6.59268,7.1482,6.67745,6.81777,6.47071,6.76464,6.25762,5.90667,5.50428,5.71531,6.6791,6.91965,6.37903,7.13274,6.58614,7.13716,6.5633
2013,Wamberal 132_11kV,3-May-12,MW,6.16891,7.33942,6.81331,6.13702,5.59168,5.4621,6.10284,5.5723,5.06611,4.60702,4.25796,4.00138,3.82759,3.65238,3.45347,3.44661,3.44661,3.32858,3.4106,3.56038,3.70382,3.73182,3.91999,4.14356,4.3711,4.61743,5.30955,5.73029,5.20429,5.49137,5.5132,5.43484,5.43089,5.26396,5.0015,4.82597,4.72585,4.626,4.73729,4.70339,4.51954,4.47545,4.39017,4.28834,4.16462,4.01761,4.11375,4.10241,4.18034,4.21295,3.98663,4.08252,4.13504,4.02139,3.96103,4.15582,4.19252,4.20092,4.26282,4.03905,4.06797,4.10718,4.27799,4.39828,4.44155,4.49651,4.73906,5.04065,5.34176,6.06197,6.8324,7.29784,7.34902,7.43313,7.52006,7.39206,7.24862,7.01056,6.84589,6.65521,7.33159,6.91545,7.02396,6.83957,7.20161,6.64252,6.25476,5.97809,6.00153,6.89382,7.38597,6.73626,7.40523,6.92568,7.49189,6.77696
2013,Wamberal 132_11kV,4-May-12,MW,6.3549,7.56105,6.92374,6.02939,5.61666,5.4397,6.04854,5.63632,5.07091,4.69573,4.33724,4.12896,3.92167,3.67635,3.61031,3.44661,3.47884,3.44661,3.44661,3.56612,3.64569,3.76086,4.04413,4.21326,4.36925,5.00215,5.64929,6.04414,5.52949,5.94691,5.93983,5.99861,5.88876,5.62814,5.36919,4.98558,4.91362,4.70248,4.64572,4.6392,4.41543,4.4571,4.33252,4.22504,4.11384,4.11087,4.08466,4.15042,4.03445,3.96103,3.87529,3.79999,3.85814,3.81402,3.79973,3.95863,4.03633,4.16679,4.10978,4.05099,4.05762,4.06108,4.16679,4.37202,4.55261,4.8568,5.09066,5.23339,5.47522,6.23413,7.03908,7.44939,7.52647,7.60574,7.50792,7.42067,7.3912,7.27443,7.06109,6.8723,7.40272,7.02093,7.22602,6.72794,7.18766,6.74472,6.59502,6.22096,6.27183,7.29686,7.5936,7.01339,7.68196,7.22927,7.8078,7.20798
2013,Wamberal 132_11kV,5-May-12,MW,6.79885,7.82186,7.20301,6.5206,5.98247,5.94414,6.45319,5.87167,5.40414,4.97409,4.65549,4.40903,4.08766,3.91564,3.75423,3.57521,3.57521,3.67004,3.64174,3.63634,3.57444,3.57521,3.57521,3.73091,3.93562,4.10918,4.37739,4.5567,4.60065,4.8927,5.08177,5.19563,5.24965,5.4517,5.59271,5.77716,5.74783,5.62572,5.50708,5.26348,5.17494,4.93414,4.75386,4.67407,4.57419,4.44987,4.38894,4.28928,4.15765,4.30989,4.35096,4.37256,4.24396,4.26842,4.19586,4.17177,4.2842,4.29066,4.42632,4.44973,4.46716,4.51334,4.64163,4.76366,5.1179,5.53935,5.8875,6.13302,6.33639,6.8879,7.55399,7.819,8.0408,7.92868,7.711,7.49557,7.18669,6.97398,6.76427,6.52815,7.18229,6.69716,6.90019,6.43181,6.83612,6.48174,6.23487,5.99207,5.9444,7.10498,7.60157,7.04657,7.8178,7.33061,8.00385,7.40466
2013,Wamberal 132_11kV,6-May-12,MW,7.00456,8.11853,7.57694,6.75981,6.36619,6.18237,6.72917,6.24453,5.72926,5.296,4.9219,4.46939,4.26179,4.1237,3.86535,3.72474,3.62665,3.62665,3.71268,3.67067,3.60093,3.60093,3.61694,3.74863,3.79321,3.87498,4.17583,4.29754,4.21824,4.50048,4.66624,4.86623,5.12762,5.41703,5.64924,5.63486,5.59859,5.51866,5.46865,5.47553,5.41606,5.16925,4.87149,4.66567,4.66807,4.54529,4.37891,4.29146,4.25027,4.17185,4.17285,4.12596,4.05554,4.1289,4.07071,3.98835,3.97986,4.11832,4.10292,4.11512,4.3998,4.70373,4.71722,4.90601,5.18031,5.4593,5.96429,6.32498,6.72403,7.55667,8.15411,8.56471,8.63438,8.60183,8.44147,8.3283,8.00207,7.73835,7.52467,7.47142,8.18875,7.79934,7.96575,7.40672,7.56442,6.9937,6.41338,6.01767,5.89613,6.89493,7.14963,6.65635,7.42318,6.89036,7.54601,6.9442
2013,Wamberal 132_11kV,7-May-12,MW,6.55301,7.79505,7.34773,6.72291,6.26725,6.13136,6.75832,6.21067,5.58751,5.13939,4.72945,4.44161,4.13284,3.90959,3.71822,3.61499,3.58722,3.68255,3.70382,3.85837,3.91196,4.07237,4.31998,4.4501,4.78055,5.40494,5.97712,6.40257,6.02708,6.42427,6.67356,6.5555,6.30278,6.14677,5.9995,5.86786,5.84346,5.6218,5.64166,5.57787,5.63369,5.58145,5.69928,5.52829,5.20238,5.14976,5.18574,5.02828,4.74686,4.59602,4.40526,4.5851,4.40886,4.52243,4.52034,4.44973,4.47836,4.45576,4.43289,4.44572,4.49099,4.634,4.65424,4.95268,5.29863,5.59659,5.79807,6.22993,6.64758,7.44653,8.43764,8.93643,9.34151,9.46231,9.42784,9.29047,9.0232,8.71506,8.40381,8.21799,8.77759,8.41172,8.53738,8.059,8.2704,7.74712,7.24256,6.70254,6.63595,7.4239,7.80562,7.02902,7.73038,7.15374,7.68442,7.06766
2013,Wamberal 132_11kV,8-May-12,MW,6.74212,7.85972,7.33344,6.67104,6.21304,6.07206,6.57302,6.19006,5.58316,5.13527,4.73311,4.34438,4.07671,3.82682,3.74706,3.64952,3.62334,3.75526,3.75526,3.8195,3.96634,4.11535,4.33135,4.73483,5.21435,5.79276,6.46173,7.0907,6.53212,6.93154,6.97435,6.7681,6.44487,6.20807,5.93748,5.70405,5.6653,5.38603,5.15234,5.15894,5.00713,4.77661,4.63554,4.47619,4.2533,4.12358,4.16994,4.13993,4.12818,3.96583,4.02179,3.99155,3.96431,3.89955,3.94982,3.97626,3.91987,4.04005,4.04996,4.02299,4.0908,4.1738,4.18063,4.45938,4.71871,4.85694,5.23013,5.64201,6.06369,6.85023,7.74372,8.2279,8.51064,8.67436,8.65321,8.64027,8.52087,8.32959,7.90962,7.86132,8.53204,8.05415,8.2205,7.63415,7.95838,7.31432,6.92717,6.55819,6.41169,7.33182,7.7689,6.9534,7.66965,7.04114,7.68091,7.18155
2013,Wamberal 132_11kV,9-May-12,MW,6.79302,7.731,7.27926,6.43624,6.13565,6.02379,6.61929,6.02911,5.51926,5.1379,4.67355,4.39302,4.21255,3.93728,3.88386,3.75034,3.74614,3.71536,3.68175,3.82048,4.04791,4.22101,4.39865,4.71734,5.17163,5.75841,6.41009,6.75735,6.2399,6.58153,6.66004,6.52,6.51183,6.09201,5.64946,5.49085,5.37105,5.07157,4.8021,4.69305,4.62731,4.54101,4.36842,4.29483,4.21041,4.06591,4.06391,4.00275,4.03276,4.06463,4.14107,4.02007,4.08952,4.01596,3.98675,3.9293,4.06391,4.06391,3.93994,3.90959,3.90959,3.94528,4.13259,4.2403,4.56398,4.67095,5.00347,5.3591,5.6881,6.52166,7.33464,7.73115,8.07192,8.02305,7.90679,7.81211,7.68854,7.40498,7.16083,7.08424,7.68311,7.24725,7.40972,6.92279,7.18146,6.62658,6.2732,5.9628,5.99112,7.01293,7.279,6.75901,7.25877,6.84658,7.51666,6.95963
2013,Wamberal 132_11kV,10-May-12,MW,6.53424,7.56505,7.0336,6.29337,5.79985,5.56696,6.28054,5.95137,5.36962,4.9023,4.54358,4.21915,3.98543,3.77286,3.60093,3.66409,3.62894,3.62665,3.62665,3.63368,3.9496,4.192,4.23181,4.5625,4.88367,5.30686,5.83917,6.33784,5.76321,6.22307,6.39509,6.25374,6.04897,5.70154,5.39557,5.23133,5.1179,4.81053,4.61954,4.50117,4.36113,4.32435,4.20495,4.198,3.40463,3.13807,2.96031,3.04865,4.29411,3.96446,3.93722,3.95154,3.90467,3.85843,3.95194,3.82568,3.94199,4.11535,4.08234,4.03819,4.08234,4.07529,4.1399,4.40983,4.50117,4.56238,4.81851,5.04719,5.33996,6.10404,6.82694,7.26434,7.41795,7.46196,7.48094,7.47562,7.3147,7.07189,6.83783,6.69799,7.36008,6.88916,7.18069,6.87653,7.17812,6.53961,6.26408,5.8837,5.83991,6.90356,7.28349,6.69396,7.50586,6.92574,7.54447,6.78782
