year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Argenton 132_11kV,01MAY2013,MW,14.58215,14.66360,14.28452,13.72868,13.92739,13.28847,12.42686,11.90123,12.12576,11.39431,10.79042,10.54331,10.44671,10.06982,9.85787,9.72082,9.70056,9.59963,9.82418,9.90941,10.23207,11.13599,11.56911,12.14742,13.64115,14.43367,15.18810,15.87459,16.43110,17.06202,17.63878,17.91021,17.99610,18.18825,17.98093,17.96061,18.03961,18.00551,18.18619,18.51415,18.24060,18.37685,18.19816,18.85334,19.15206,19.28055,19.04128,18.82361,19.04368,19.20144,19.35062,19.34588,19.80859,19.75870,19.48048,19.63593,19.49381,18.82446,18.86076,19.19695,19.24060,18.53050,18.60490,18.54323,18.46778,18.51342,18.31134,18.23238,17.99987,18.42855,18.65518,18.41436,18.16129,17.80316,17.35939,17.24453,16.76295,16.46311,16.04002,15.41582,15.26354,14.99179,14.42469,14.02513,13.72807,13.41930,13.68146,13.22794,12.85374,15.15953,14.33436,13.63653,14.34940,13.32530,12.65482,13.51116
2014,Argenton 132_11kV,02MAY2013,MW,13.98587,14.25550,13.96475,13.27565,13.91964,13.40378,12.45238,11.81314,12.20427,11.59829,10.98402,10.39331,9.91241,9.73625,9.75786,9.81357,9.93690,9.79646,9.84869,10.19060,10.66988,10.74646,11.40689,12.10772,13.17240,13.95102,14.86843,15.45285,15.67771,16.14918,16.79714,16.85651,17.18547,17.33871,17.04145,16.89677,16.95781,16.94586,16.68206,17.12934,16.88786,16.69839,16.70482,16.75417,16.98055,16.89573,16.92166,16.71539,16.80505,17.00523,16.59343,16.72440,17.02792,17.08015,16.88321,16.44245,16.45825,16.52185,16.66496,16.49134,16.35386,16.35118,16.26077,16.36147,16.13565,15.93964,15.77094,15.95862,16.76209,17.60652,18.53145,18.84428,18.29499,18.14137,17.59449,17.49135,16.78502,16.26552,16.36548,16.23428,16.09188,15.24804,14.72718,14.38115,13.80248,13.14893,13.91021,13.24108,12.80908,15.41667,14.44724,13.71978,14.43712,13.70304,12.97911,13.36082
2014,Argenton 132_11kV,03MAY2013,MW,14.01046,14.29195,14.20888,13.33632,13.84724,13.31819,12.38025,12.09214,12.61337,11.79433,11.16373,10.95057,10.48105,10.17264,9.97341,9.93648,9.82145,9.66394,10.10095,10.08139,10.63982,10.54790,11.34877,12.22605,13.52279,14.27528,15.50889,16.59841,16.35977,16.94351,17.78465,17.75792,17.70282,17.40804,17.20729,16.91779,17.23587,16.91265,16.74479,16.84406,16.63176,16.85639,16.59306,16.73570,16.82837,16.46350,16.68188,16.41750,15.98942,16.25200,16.53857,16.47703,16.83524,16.62678,16.47257,16.42502,16.23453,16.36774,15.93406,15.56818,15.38762,15.57654,15.63736,15.63836,15.48451,15.39415,15.41917,15.14476,15.54758,16.11326,16.70915,16.49415,15.83811,15.62739,15.26721,15.15588,14.76908,14.46498,14.34207,14.04874,13.77267,13.44097,13.23098,12.86044,12.51517,11.97474,12.51033,12.17205,12.05270,14.27743,13.44879,12.90369,13.59612,13.03767,12.28625,12.61836
2014,Argenton 132_11kV,04MAY2013,MW,13.14152,13.30454,13.28192,12.50321,12.88446,12.35400,11.62361,10.79175,10.11381,10.53778,10.27027,9.83934,9.22619,8.76443,8.60338,8.46342,8.33536,8.14371,8.06718,8.27758,8.30691,8.44316,8.54940,8.78670,9.32767,9.49755,10.21908,11.04098,11.64941,12.13196,12.94254,13.42369,13.94181,14.03690,14.45324,14.75566,15.00736,15.01411,15.03552,14.98172,15.01475,14.93668,14.68709,14.34529,14.02294,13.80052,13.48311,13.44896,13.60790,13.36879,13.01812,12.56929,11.94527,11.62770,11.45942,11.39373,11.63540,11.50593,11.57928,11.69683,11.65927,11.74323,11.77739,11.94984,12.38542,12.75448,13.19325,13.59510,13.23735,14.03856,14.52841,14.48927,14.01780,13.60192,13.21517,13.09042,12.74973,12.43702,12.35371,12.10134,11.72161,11.50587,11.43089,11.32918,10.92323,10.88078,11.38924,12.96280,12.25476,11.43227,10.92697,11.24258,12.04302,12.15020,11.42934,10.61517
2014,Argenton 132_11kV,05MAY2013,MW,10.87936,11.05964,10.42633,9.85504,11.07005,10.02053,9.10536,8.76069,8.33067,8.50838,8.16515,7.89887,7.87671,7.80692,7.61866,7.53531,7.70944,7.68498,7.55186,7.82878,8.07017,8.04572,7.99804,8.18713,8.61202,8.52893,8.81950,9.24830,9.42635,9.65684,9.94600,10.20725,10.91485,11.12096,11.17600,11.35410,11.56098,11.77598,11.72642,11.72682,12.03585,11.98153,11.69028,11.58188,11.44213,11.55883,11.35871,11.06654,11.16976,11.28035,11.53927,11.32282,11.36012,11.09222,11.13347,11.34708,11.01491,11.03929,10.98027,11.29048,11.23862,11.21926,11.19331,11.50611,11.99715,12.36273,12.58397,13.02031,12.94097,14.08137,15.14787,15.48612,15.16871,15.17575,14.96047,14.56601,14.11892,14.25286,14.32164,13.75892,13.41338,13.36022,13.01662,12.92781,12.52447,12.46417,12.78329,14.37902,13.52004,12.47333,11.82826,12.06919,12.64481,12.95678,12.60107,11.80070
2014,Argenton 132_11kV,06MAY2013,MW,11.89942,11.95216,11.73785,11.24181,12.50557,11.54123,10.45849,9.92309,10.04606,9.77774,9.25076,8.92629,9.02895,9.15203,8.93647,8.94885,9.08053,9.23549,9.55291,9.51595,10.34702,11.00616,11.43856,12.10744,13.32475,14.22915,16.02338,17.19440,16.48641,16.89388,17.15038,17.61096,17.77712,17.91106,17.99326,17.50116,17.33368,17.36916,17.19915,17.01877,16.94101,17.38466,17.32001,17.30322,17.47785,17.13031,16.80291,16.91211,16.69181,16.82728,16.91937,17.06905,17.14210,16.87244,17.18060,17.57039,17.50369,17.08713,17.06593,16.96377,16.86670,16.88510,16.87164,16.67800,16.53675,16.50451,16.52051,17.31007,17.87242,18.62186,19.28961,19.44250,18.81804,18.01006,17.71880,17.73302,17.56328,17.07258,16.81644,16.06648,15.84860,15.43811,15.30453,14.70274,14.07448,13.69137,14.18041,13.89908,13.52048,15.31864,14.46655,13.85524,14.50781,14.12263,13.08229,13.48459
2014,Argenton 132_11kV,07MAY2013,MW,14.32587,14.57496,14.21854,13.65180,14.31478,13.67545,12.90554,12.37893,12.59788,11.68511,11.46931,10.96939,10.44168,10.01774,9.76795,9.70351,9.30002,9.60182,9.71132,10.03346,10.61147,10.88703,11.41735,12.04570,13.15651,14.43915,15.33974,16.27723,16.44889,17.04334,17.31188,17.68845,17.78437,17.75044,17.48991,17.66964,17.69409,17.71789,17.96911,18.39090,18.21778,18.39203,18.19987,18.07357,18.17592,17.95193,18.05408,17.91114,17.81562,17.92171,17.67118,17.91361,17.90592,17.82247,17.73107,17.57174,17.68040,17.90749,17.66757,17.44710,17.34925,16.92276,16.88719,16.84925,16.46746,16.78336,16.75153,17.12158,17.69729,18.56184,19.24155,19.35273,19.04853,18.80938,18.01717,17.59834,17.08209,16.90247,16.85477,16.20538,15.99592,15.86641,15.46348,15.09013,14.72198,14.30827,14.72088,14.32240,14.15849,16.38829,15.54545,14.89043,15.17345,14.93465,14.30958,14.68726
2014,Argenton 132_11kV,08MAY2013,MW,15.13707,15.57830,15.28266,14.63286,15.23036,14.46597,13.44051,12.53705,13.33142,12.64865,11.81320,11.32912,11.08736,10.80614,10.21258,10.19201,10.41581,10.37193,10.29275,10.71790,11.18514,11.52661,12.06034,12.88874,14.12014,15.08490,16.08832,17.12288,17.47205,17.74887,17.88707,17.52800,18.09929,18.20521,18.11438,18.23303,18.37197,18.08518,17.83439,17.72435,17.75402,17.71457,17.51815,17.66380,17.97363,18.34294,18.43451,18.45617,17.85672,17.53510,17.80667,18.25394,17.97734,17.95813,18.29554,18.10665,17.83885,17.33569,17.70340,17.63404,17.24937,16.87562,16.94309,16.56559,16.67518,16.77603,16.74392,17.03498,17.57317,18.88175,19.46951,19.39169,18.66990,18.23979,17.83850,17.58289,17.14912,16.63086,16.46852,16.10700,15.60837,14.96860,14.76888,14.63506,14.28000,13.97999,14.33224,14.09460,13.94551,16.24187,15.32624,14.65031,15.27521,14.82407,14.06801,14.56642
2014,Argenton 132_11kV,09MAY2013,MW,14.98345,15.26924,14.91949,14.25491,14.63908,13.83435,12.90374,12.64969,13.24372,12.41883,11.23489,10.98599,10.64706,10.27771,10.08621,9.98338,10.07019,10.21711,10.45546,10.89868,11.20992,11.65699,12.24306,13.00169,14.01925,14.70247,16.02707,17.56207,17.09009,17.61701,17.94762,17.90068,17.97627,18.17880,18.10876,17.63638,17.34053,17.09730,17.06796,17.04902,17.13172,16.79355,16.93714,16.88726,16.79213,16.79783,16.78045,16.62166,16.54582,16.71156,16.69813,16.52728,16.84860,17.18056,17.30108,17.16550,17.31101,17.47090,17.37276,16.98256,16.97637,16.45611,16.68902,16.07597,15.83489,16.05729,16.05028,16.50926,16.69861,17.55469,18.49733,18.43880,17.68362,17.78193,17.65286,17.35572,17.18046,17.06480,16.77144,16.71041,16.37848,15.94005,15.82714,15.41480,14.63461,14.28862,14.71288,14.28124,13.93412,16.18138,15.30477,14.64086,15.26008,14.55309,13.97702,14.56893
2014,Argenton 132_11kV,10MAY2013,MW,15.18863,15.43710,15.06499,14.35868,14.98150,14.36216,13.54491,12.65530,13.03045,12.57572,11.79508,10.99425,10.56748,9.87232,9.45596,9.55303,9.48212,9.56348,9.67616,10.04898,10.46185,10.78594,11.45938,12.18327,13.34765,14.53644,15.80028,16.72257,16.93827,17.67036,17.57556,17.74305,17.73012,17.70147,17.96939,17.93617,17.67456,17.41967,17.86985,17.81717,17.65026,17.53292,17.64178,17.18567,17.15244,17.31185,17.34131,17.62769,17.08839,16.84652,16.50496,16.65929,16.62585,16.62306,16.71846,16.75169,16.17078,16.39822,16.14715,15.55085,15.71794,15.98940,15.82525,15.68241,15.66018,15.50423,15.62017,15.23271,15.68470,16.67519,17.11213,16.48805,15.95839,15.71583,15.54664,15.28795,15.16043,14.73288,14.83984,14.51788,14.15243,13.85701,13.63812,13.26719,13.07872,12.98920,13.60122,13.46450,13.09418,15.45163,14.69368,13.98214,14.56899,13.51034,13.40729,13.96384
