year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Brandy Hill 132_11kV,01MAY2013,MW,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.74112,0.72623,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.17264,,0.62772,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.71603,0.89012,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701
2014,Brandy Hill 132_11kV,02MAY2013,MW,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93701,0.93272,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.58575,0.71431,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612
2014,Brandy Hill 132_11kV,03MAY2013,MW,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612
2014,Brandy Hill 132_11kV,04MAY2013,MW,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612
2014,Brandy Hill 132_11kV,05MAY2013,MW,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612
2014,Brandy Hill 132_11kV,06MAY2013,MW,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.79612,0.73925,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286,0.58286
2014,Brandy Hill 132_11kV,07MAY2013,MW,0.79298,0.82314,0.82314,0.82314,0.82314,0.82314,0.82314,0.82314,0.82314,0.61806,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.60023,0.76171
2014,Brandy Hill 132_11kV,08MAY2013,MW,0.84823,0.84823,0.84823,0.84823,0.84823,0.84823,0.65462,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.62821,0.74349,0.59206,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.55970,0.75845,0.77972,0.77972,0.77972
2014,Brandy Hill 132_11kV,09MAY2013,MW,0.77972,0.77972,0.77972,0.77972,0.77972,0.77972,0.77972,0.77972,0.77972,0.77972,0.67905,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.55873,0.59084,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678
2014,Brandy Hill 132_11kV,10MAY2013,MW,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.24678,1.61245,1.58448,1.52260,1.43558,1.33393,1.26555,1.23437,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.21397,1.33423,1.05884,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193,1.02193
