year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Caringbah 33_11kV,01MAY2013,MW,9.21382,9.23154,8.62909,9.10750,9.60363,9.76310,9.24926,8.73541,8.39875,8.48734,8.11525,7.90262,7.47737,7.21158,7.08755,7.19387,6.92808,6.99896,7.19387,7.33562,7.72543,8.06209,8.29244,8.59366,9.23154,9.55048,9.95801,10.17064,10.56045,10.91483,11.30465,11.60587,11.87165,11.96024,12.11971,12.10199,12.24375,12.29690,12.20831,12.42093,12.72216,12.49181,12.63356,12.66900,12.86391,12.97022,13.23600,13.21828,13.05881,12.97022,12.98794,13.09425,13.04110,12.86391,12.95250,13.02338,13.21828,13.32460,13.00566,12.82847,12.72216,11.83621,11.67674,11.78306,11.67674,11.65902,11.48183,11.64130,11.72990,11.99568,12.19059,12.26146,12.19059,12.01340,12.01340,11.85393,11.51727,11.44640,11.10974,10.93255,10.77308,10.59589,10.31239,10.20607,9.78082,9.21382,9.03663,8.96575,8.73541,8.57594,8.22156,7.95578,9.07207,9.17838,9.14294,8.91260
2014,Caringbah 33_11kV,02MAY2013,MW,8.69997,8.48734,8.20384,8.59366,9.05435,9.17838,8.68225,8.15068,7.76087,7.70771,7.28246,7.28246,7.14071,6.78633,6.80405,6.75089,6.71546,6.69774,6.83949,7.01668,7.14071,7.38877,7.76087,7.84946,8.50506,9.21382,9.83398,9.76310,9.99345,10.63133,10.80852,11.25149,11.48183,11.48183,11.60587,11.74762,11.90709,11.90709,11.87165,11.85393,12.15515,12.10199,12.01340,11.83621,11.88937,11.96024,11.69446,11.55271,11.55271,11.57043,11.74762,11.60587,11.74762,11.71218,11.60587,11.65902,11.74762,11.58815,11.62359,11.57043,11.42868,11.18061,11.23377,11.16289,10.87939,11.00342,11.97796,12.97022,13.07653,13.27144,13.62582,13.62582,13.34232,13.28916,13.02338,13.05881,12.70444,12.38550,12.22603,12.04884,11.76534,11.39324,11.21605,11.05658,10.73764,10.36554,10.17064,9.90485,9.97573,9.81626,9.49732,9.14294,10.45414,10.38326,10.34783,9.97573
2014,Caringbah 33_11kV,03MAY2013,MW,9.90485,9.78082,9.39101,9.72766,10.18836,10.29467,9.94029,9.53276,9.14294,9.07207,8.54050,8.36331,8.11525,8.00893,7.95578,7.92034,7.77859,7.81403,7.92034,8.09753,8.32787,8.43419,8.75313,9.08979,9.78082,10.06432,10.64905,10.77308,11.35780,11.60587,11.99568,12.22603,12.54497,12.63356,12.77531,12.68672,13.04110,13.05881,13.20057,13.12969,13.20057,13.28916,13.18285,13.11197,13.11197,13.25372,13.32460,13.36004,13.12969,13.07653,13.00566,13.04110,12.86391,12.70444,12.75759,12.79303,12.88163,12.93478,12.91706,12.81075,12.61584,12.63356,12.52725,12.33234,12.40322,12.24375,12.43865,12.56269,12.77531,12.75759,13.14741,13.04110,12.97022,13.02338,12.70444,12.59812,12.24375,12.10199,11.96024,11.64130,11.32236,11.28693,11.10974,10.80852,10.66677,10.27695,10.38326,10.09976,10.20607,9.94029,9.70995,9.42644,10.68448,10.68448,10.77308,10.40098
2014,Caringbah 33_11kV,04MAY2013,MW,10.04660,9.92257,9.51504,9.83398,10.38326,10.29467,9.76310,9.24926,8.93032,9.14294,8.57594,8.57594,8.13297,7.95578,7.74315,7.83174,7.65456,7.63684,7.67227,7.77859,7.93806,7.84946,8.02665,8.20384,8.45191,8.48734,8.38103,8.41647,8.80628,8.98347,9.17838,9.58591,9.92257,10.25923,10.31239,10.47186,10.59589,10.75536,10.93255,10.71992,10.71992,10.70220,10.59589,10.47186,10.64905,10.75536,10.57817,10.40098,10.50730,10.40098,10.24151,10.33011,10.04660,9.79854,9.83398,9.90485,9.70995,9.74538,9.62135,9.65679,9.53276,9.42644,9.67451,9.74538,9.72766,9.65679,9.92257,10.24151,10.34783,10.87939,11.34008,11.41096,11.35780,11.37552,11.21605,10.98571,10.80852,10.56045,10.34783,10.24151,9.99345,9.88713,9.92257,9.70995,9.51504,9.12522,9.10750,8.93032,9.10750,8.93032,8.77085,8.50506,9.81626,9.94029,9.99345,9.67451
2014,Caringbah 33_11kV,05MAY2013,MW,9.33785,9.08979,8.78856,9.14294,9.63907,9.69223,9.35557,8.75313,8.32787,8.25700,7.74315,7.77859,7.44193,7.49509,7.26474,6.98124,6.91036,6.89264,6.83949,6.78633,6.73317,6.69774,6.68002,6.71546,6.89264,6.89264,6.96352,6.80405,6.94580,7.06983,7.17615,7.40649,7.83174,7.97350,8.23928,8.38103,8.46962,8.75313,8.78856,8.66453,8.57594,8.82400,8.87716,8.87716,8.82400,8.64681,8.57594,8.75313,8.59366,8.75313,8.61138,8.54050,8.41647,8.39875,8.25700,8.15068,8.29244,8.34559,8.41647,8.23928,8.09753,8.16840,8.31015,8.13297,8.46962,8.82400,9.21382,9.42644,9.69223,10.25923,10.95027,11.25149,11.26921,11.25149,11.10974,10.95027,10.70220,10.38326,10.25923,10.25923,10.04660,9.86942,9.65679,9.33785,9.28469,9.16066,8.82400,8.64681,8.54050,8.16840,7.65456,7.44193,8.80628,8.93032,9.00119,8.82400
2014,Caringbah 33_11kV,06MAY2013,MW,8.59366,8.55822,8.02665,8.46962,9.00119,9.01891,8.57594,8.11525,7.86718,7.81403,7.54824,7.33562,6.96352,6.80405,6.68002,6.57370,6.57370,6.52055,6.73317,6.64458,7.06983,7.21158,7.51281,7.88490,8.82400,9.21382,10.15292,10.89711,11.09202,11.53499,11.85393,12.27918,12.58040,12.86391,13.00566,13.07653,13.16513,13.36004,13.28916,13.43091,,13.27144,13.25372,13.43091,13.50179,13.60810,13.66126,13.59038,13.36004,13.32460,13.50179,13.53722,13.44863,13.50179,13.39547,13.50179,13.43091,13.20057,13.23600,13.20057,12.95250,12.95250,12.86391,12.75759,12.66900,12.79303,12.91706,13.02338,13.18285,13.71441,14.01563,13.99792,13.90932,13.89160,13.71441,13.50179,13.23600,12.97022,12.70444,12.45637,12.10199,11.76534,11.76534,11.60587,11.46412,11.05658,10.98571,10.50730,10.38326,9.99345,9.81626,9.62135,10.87939,10.79080,10.75536,10.38326
2014,Caringbah 33_11kV,07MAY2013,MW,10.15292,10.06432,9.63907,10.11748,10.48958,10.57817,10.15292,9.63907,9.24926,9.35557,8.89488,8.89488,8.61138,8.50506,8.45191,8.23928,8.23928,8.11525,8.22156,8.23928,8.55822,8.68225,9.05435,9.39101,10.13520,10.59589,11.02114,11.30465,11.90709,12.31462,12.72216,12.98794,13.23600,13.34232,13.51951,13.55494,13.66126,13.60810,13.71441,13.74985,13.76757,13.87388,14.01563,13.85616,13.92704,13.99792,13.89160,14.06879,13.69669,13.46635,13.60810,13.76757,13.69669,13.66126,13.66126,13.55494,13.66126,13.59038,13.36004,13.41319,13.18285,12.97022,12.88163,12.89934,12.93478,12.89934,12.95250,13.02338,13.23600,13.71441,13.73213,13.74985,13.71441,13.71441,13.53722,13.20057,12.95250,12.72216,12.56269,12.43865,12.31462,11.94252,11.92481,11.72990,11.30465,11.00342,10.52501,10.33011,10.40098,10.01117,10.06432,9.65679,10.98571,10.71992,10.80852,10.47186
2014,Caringbah 33_11kV,08MAY2013,MW,10.24151,10.20607,9.79854,10.24151,10.56045,10.68448,10.29467,9.99345,9.53276,9.56820,9.14294,9.10750,8.82400,8.52278,8.22156,8.06209,8.25700,8.25700,8.36331,8.57594,8.84172,9.01891,9.30241,9.46188,9.95801,10.48958,11.02114,11.12746,11.71218,12.35006,12.42093,12.89934,13.11197,13.23600,13.39547,13.36004,13.37775,13.48407,13.37775,13.66126,13.60810,13.62582,13.87388,13.89160,13.87388,13.94476,13.99792,13.92704,13.85616,13.89160,13.90932,13.92704,13.90932,13.50179,13.21828,13.46635,13.73213,13.59038,13.48407,13.50179,13.32460,12.97022,12.70444,12.86391,12.88163,12.91706,12.82847,13.04110,13.05881,13.39547,13.73213,13.62582,13.50179,13.41319,13.20057,13.20057,12.95250,12.86391,12.59812,12.42093,12.08428,11.87165,11.78306,11.48183,11.28693,10.87939,10.50730,10.24151,10.22379,9.72766,9.55048,9.28469,10.63133,10.57817,10.71992,10.29467
2014,Caringbah 33_11kV,09MAY2013,MW,10.02889,9.78082,9.33785,9.85170,10.38326,10.45414,10.17064,9.60363,9.19610,9.14294,8.64681,8.77085,8.36331,8.16840,8.09753,8.22156,8.02665,8.06209,8.09753,8.20384,8.45191,8.78856,9.07207,9.26697,9.79854,10.22379,10.82624,10.89711,11.57043,12.17287,12.15515,12.42093,12.82847,13.05881,13.30688,13.37775,13.46635,13.44863,13.28916,13.43091,13.34232,13.30688,13.64354,13.51951,13.36004,13.71441,13.73213,13.85616,13.64354,13.59038,13.55494,13.64354,13.74985,13.92704,13.98020,14.13967,13.99792,13.82073,13.74985,13.55494,13.32460,13.28916,13.20057,13.21828,13.09425,13.14741,13.36004,13.32460,13.18285,13.44863,13.78529,13.66126,13.32460,13.16513,13.14741,13.16513,12.98794,12.63356,12.59812,12.42093,11.99568,11.67674,11.64130,11.42868,11.16289,10.89711,10.71992,10.43642,10.43642,10.33011,10.08204,9.76310,10.86167,10.80852,10.84395,10.66677
2014,Caringbah 33_11kV,10MAY2013,MW,10.13520,9.99345,9.65679,10.01117,10.52501,10.77308,10.24151,9.69223,9.37329,9.33785,8.68225,8.77085,8.36331,8.20384,8.07981,7.97350,8.09753,7.95578,8.18612,8.36331,8.61138,9.03663,9.32013,9.51504,10.20607,10.71992,11.07430,11.19833,12.01340,12.26146,12.81075,13.11197,13.37775,13.51951,13.66126,13.66126,13.74985,13.66126,13.73213,13.83845,13.87388,13.90932,13.90932,13.85616,13.83845,13.98020,14.01563,13.98020,13.96248,13.83845,13.76757,13.60810,13.59038,13.46635,13.21828,13.20057,13.23600,13.28916,13.18285,13.05881,12.75759,12.50953,12.66900,12.84619,12.72216,12.82847,12.59812,12.77531,12.82847,13.20057,13.37775,13.37775,13.20057,13.23600,13.09425,12.84619,12.72216,12.40322,12.20831,12.01340,11.65902,11.53499,11.41096,11.16289,11.03886,10.82624,10.50730,10.25923,10.18836,9.95801,9.74538,9.56820,10.91483,10.79080,10.89711,10.36554
