year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,City East 33_11kV,01MAY2013,MW,13.87922,13.52808,13.08454,13.08454,12.67795,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.32682,12.93669,13.15846,13.63896,15.81972,17.02098,18.64731,19.83009,23.00882,25.18958,26.61261,27.75844,28.49767,29.18147,30.60451,31.12197,31.87969,31.58400,31.71337,32.48957,32.78526,32.60045,33.17336,33.43210,32.98855,33.30273,33.78324,33.78324,34.18982,33.96805,33.78324,34.43007,34.74425,34.15285,34.68880,34.54096,33.80172,33.89412,33.94956,33.43210,33.78324,33.32121,32.91463,32.93311,32.54501,32.48957,32.72982,31.36223,31.02957,31.02957,30.05008,29.75438,27.48122,25.91034,25.06021,24.30249,23.28604,21.84452,21.84452,21.34553,21.06832,20.77262,19.90402,19.47896,19.38655,18.35162,17.96351,17.96351,16.89162,16.35567,16.35567,16.07845,15.35770,14.67390,14.39669,13.91618
2014,City East 33_11kV,02MAY2013,MW,13.91618,13.23238,13.12150,13.12150,13.12150,13.12150,12.58555,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,12.38226,13.13998,13.15846,15.15441,15.76428,17.55693,18.85060,21.16072,22.76857,24.13616,25.02325,26.15059,27.27793,28.36831,29.07058,29.62501,29.86527,29.79134,29.97615,30.27185,30.27185,30.27185,30.27185,30.32729,30.64147,30.64147,30.64147,30.90020,30.64147,30.71539,31.15894,31.23286,31.23286,31.21438,30.71539,30.67843,30.99261,31.25134,30.67843,30.62299,30.67843,30.30881,30.29033,30.29033,29.92071,29.60653,29.36628,28.77489,28.71945,28.01717,27.98021,26.07667,25.06021,23.85895,23.54477,22.25110,21.84452,21.47490,20.97591,19.99642,19.47896,19.47896,18.57339,18.48098,17.66782,17.44605,16.81769,16.61440,16.05997,16.02301,15.26529,15.26529,14.67390,14.21188,13.67593
2014,City East 33_11kV,03MAY2013,MW,13.65745,12.88124,12.88124,12.45618,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.08656,12.53011,12.84428,12.84428,12.95517,14.78479,15.67187,17.20579,17.96351,20.75414,21.88148,23.54477,25.04173,25.76249,26.92679,27.99869,28.42375,28.95970,28.95970,29.53261,29.73590,29.80982,30.45666,30.25337,30.30881,30.32729,30.49362,31.04805,31.04805,31.04805,31.17742,31.12197,30.95565,31.12197,31.62096,31.63944,32.00906,32.06450,31.36223,31.19590,31.08501,30.97413,30.47514,30.47514,30.73387,30.40122,30.06856,29.49565,29.47717,28.88578,28.49767,27.94324,27.48122,25.00477,23.85895,23.30452,22.69465,21.56731,21.01288,19.60832,19.60832,19.60832,19.57136,18.81364,18.03744,18.03744,17.31668,17.29820,17.29820,16.26326,15.56099,15.56099,15.56099,14.48909,13.97162,13.97162,13.71289
2014,City East 33_11kV,04MAY2013,MW,13.19542,13.19542,13.19542,13.19542,12.69643,12.41922,12.41922,12.41922,12.41922,12.41922,12.41922,12.41922,12.41922,12.41922,12.25289,11.67998,11.67998,11.67998,11.67998,11.67998,11.67998,11.67998,11.67998,12.27137,12.47466,12.47466,13.17694,13.23238,13.97162,14.56301,14.85871,14.98808,15.61643,15.96757,16.39263,16.70681,16.33719,16.92858,17.24276,17.24276,17.24276,17.77870,18.05592,17.94503,17.46453,18.00048,18.09288,18.01896,18.01896,18.40706,18.03744,18.29617,18.79516,18.79516,18.79516,18.79516,18.51794,18.00048,18.00048,18.00048,17.88959,18.07440,17.59389,17.20579,17.87111,17.87111,17.51997,17.07643,17.07643,17.07643,17.07643,16.68833,16.31871,16.31871,16.31871,16.31871,16.31871,15.45010,15.45010,15.45010,15.45010,15.45010,15.45010,15.45010,15.45010,15.13592,14.69238,14.69238,14.69238,14.69238,14.69238,14.11947,13.86074,13.86074,13.86074,13.17694
2014,City East 33_11kV,05MAY2013,MW,12.99213,12.99213,12.99213,12.99213,12.40074,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,12.17897,13.12150,13.12150,13.30631,13.93466,13.93466,14.65542,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,14.74782,15.46858,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,15.56099,16.26326,15.57947,15.57947,15.57947,16.09694,15.89364,15.61643,15.61643,15.61643,15.61643,15.61643,15.61643,15.61643,15.57947,14.76630,14.76630,14.76630,14.76630,14.76630,14.47061,13.97162,13.97162,13.97162,13.97162,13.97162,13.97162,13.97162,13.80529,13.21390,13.21390,13.21390,13.21390,13.21390,13.21390,13.08454,12.43770,12.43770
2014,City East 33_11kV,06MAY2013,MW,12.43770,11.71694,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,11.64302,12.38226,12.40074,13.08454,13.25086,14.95111,15.87516,17.40909,18.57339,21.34553,22.43591,23.85895,24.87540,25.76249,26.50173,27.57363,28.57160,28.79337,28.70097,28.88578,29.34780,,29.49565,29.49565,29.42172,29.32932,29.32932,29.32932,29.84679,30.32729,30.32729,30.19792,29.97615,30.01311,29.97615,29.62501,29.62501,30.14248,29.60653,29.40324,29.47717,29.42172,29.42172,29.42172,29.42172,28.99666,28.75641,28.62704,27.96173,27.88780,27.57363,26.87135,26.22451,24.13616,23.39692,22.63920,22.12174,20.80959,20.08883,20.08883,19.92250,18.81364,18.01896,17.74174,17.74174,17.05795,16.85466,16.74377,16.11542,15.39466,15.28377,14.78479,14.52605,14.06403,13.63896,12.89973,12.89973
2014,City East 33_11kV,07MAY2013,MW,12.89973,12.89973,12.16049,12.10504,12.10504,12.10504,12.10504,12.10504,12.10504,12.10504,11.47669,11.34732,11.34732,11.34732,11.34732,11.34732,11.34732,11.34732,11.40277,12.10504,12.10504,12.54859,12.88124,13.06605,15.06200,15.74580,17.24276,18.57339,20.97591,22.25110,24.09920,25.18958,26.27996,27.13008,28.20198,28.94122,29.07058,29.86527,29.88375,29.93919,30.43818,30.73387,30.75235,30.16096,30.12400,29.88375,29.95767,30.56754,30.69691,31.32526,31.08501,30.95565,30.91868,30.36425,30.65995,30.65995,30.53058,30.73387,30.73387,30.16096,30.43818,30.14248,30.05008,30.05008,30.05008,29.44020,29.23691,28.59008,28.88578,28.46071,28.14654,27.44426,25.44831,24.46882,23.84047,23.23059,21.91844,20.90199,20.86503,20.62478,19.75617,19.20174,19.20174,19.20174,18.53643,17.77870,17.42757,16.70681,16.41111,15.91213,15.91213,15.20985,14.45213,14.28580,13.52808,13.41719
2014,City East 33_11kV,08MAY2013,MW,12.97365,12.56707,12.56707,12.56707,12.56707,12.56707,12.23441,11.79087,11.79087,11.79087,11.79087,11.79087,11.79087,11.79087,11.79087,11.79087,11.56909,11.55061,11.55061,11.55061,11.92023,12.69643,12.69643,12.99213,14.95111,16.11542,17.39060,18.49946,21.16072,22.71313,24.33945,25.46679,26.40932,27.35185,28.05413,28.64552,29.56957,29.49565,29.77286,29.97615,30.23489,30.65995,30.36425,30.36425,30.36425,30.40122,30.53058,31.17742,31.28830,31.28830,31.28830,31.49159,31.45463,31.43615,31.43615,31.43615,31.43615,31.71337,31.17742,30.73387,30.93716,30.78932,30.78932,30.78932,30.67843,30.64147,30.65995,30.01311,29.40324,29.10755,28.34983,27.81388,26.50173,24.83844,23.72958,23.39692,22.15870,21.36402,21.03136,20.84655,20.19971,19.38655,19.38655,18.81364,18.46250,17.68630,17.68630,17.02098,16.92858,16.50352,16.04149,15.91213,14.74782,14.28580,13.63896,13.63896
2014,City East 33_11kV,09MAY2013,MW,12.93669,12.88124,12.88124,12.75188,12.12352,12.12352,12.12352,12.12352,12.12352,11.90175,11.36580,11.36580,11.36580,11.36580,11.36580,11.36580,11.53213,11.88327,12.19745,12.19745,12.19745,12.38226,13.06605,13.08454,15.00656,15.93061,17.39060,18.57339,21.32705,22.65768,24.00680,25.09717,26.44629,27.13008,28.25742,28.59008,29.32932,29.86527,29.86527,30.27185,30.58603,30.10552,30.62299,30.90020,30.71539,30.75235,31.47311,32.15691,32.11995,31.51007,31.62096,31.63944,32.37868,32.58197,32.00906,32.19387,32.45260,32.45260,31.99058,31.49159,31.49159,31.49159,31.99058,31.51007,31.54704,31.65792,31.10349,30.10552,29.45869,29.38476,29.32932,28.95970,26.27996,25.26350,24.39490,23.93287,22.38047,21.45642,20.80959,20.79110,20.01490,19.18326,19.18326,18.90604,18.14832,17.63086,17.00250,16.81769,16.81769,16.79921,15.81972,15.81972,15.22833,14.78479,14.06403,13.39871
2014,City East 33_11kV,10MAY2013,MW,13.39871,12.86276,12.54859,12.54859,12.54859,12.54859,12.54859,12.54859,12.06808,11.75390,11.75390,11.75390,11.75390,11.75390,11.75390,11.75390,11.67998,11.66150,11.66150,11.66150,12.04960,12.62251,12.84428,13.36175,15.08048,16.05997,17.64934,18.57339,20.95743,21.86300,23.48933,24.87540,25.68857,26.74198,27.98021,28.29438,28.92274,28.95970,29.75438,29.75438,29.92071,29.92071,29.92071,29.92071,30.40122,30.75235,30.67843,31.08501,31.49159,31.12197,31.41767,31.62096,32.04602,31.60248,31.69488,31.69488,32.02754,31.80577,31.06653,31.32526,31.76881,31.30678,31.12197,30.75235,31.47311,30.69691,29.93919,29.58805,29.71742,28.77489,27.68451,27.14856,25.42983,24.39490,23.37844,22.76857,21.69667,21.03136,20.58781,20.36604,19.83009,19.83009,19.31263,18.57339,18.24073,18.20377,17.03947,16.59592,16.59592,16.39263,15.61643,15.61643,15.02504,14.72934,14.04555,14.04555
