year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Clovelly 132_11kV,01MAY2013,MW,31.09863,30.64629,29.34580,28.70498,28.45996,27.66836,26.91445,26.23594,25.51972,24.93545,24.93545,24.27578,24.25693,24.25693,24.25693,24.25693,24.25693,24.25693,24.46426,24.44541,25.23701,26.70713,27.47988,28.87461,31.56982,34.15195,37.16757,40.20205,42.63339,44.93281,45.72441,45.15898,44.93281,44.00927,43.33076,42.44492,42.80302,42.91611,42.52031,42.35068,42.12451,42.40722,43.14228,43.25537,42.85957,42.85957,43.44384,43.51923,43.31191,43.51923,43.48154,43.65117,43.38730,43.06689,42.95380,42.87841,42.52031,42.50146,42.03027,41.97373,42.46377,42.67109,42.40722,42.89726,43.46269,44.57470,45.02705,45.61132,46.36523,48.19345,50.58711,52.64150,53.48964,54.16816,54.14931,53.86660,53.86660,53.09384,51.79335,51.32216,49.77666,48.58925,47.81650,46.81757,45.96943,45.14013,43.89619,41.93603,40.37168,39.03349,37.94033,36.07441,34.49121,32.98340,32.22949,31.38134
2014,Clovelly 132_11kV,02MAY2013,MW,30.79707,30.21279,29.11963,28.32802,28.64844,27.96992,27.00869,26.02861,25.50088,25.31240,24.89775,24.48310,23.97422,23.97422,23.97422,23.97422,23.97422,23.97422,23.97422,24.65273,24.99199,26.55635,27.40449,28.62959,31.02324,33.79384,36.69638,39.48584,42.21875,44.17890,44.95166,45.36630,44.59355,43.74541,42.78418,42.12451,41.84179,42.04912,41.69101,41.65332,41.31406,41.46484,41.18213,40.93711,41.14443,41.03134,41.01250,40.69209,40.52246,40.74863,40.88056,40.74863,40.46591,40.14550,40.14550,40.14550,39.76855,39.84394,39.80625,39.74970,39.74970,39.74970,39.74970,39.99472,41.10673,41.70986,42.46377,42.93496,45.06474,47.02490,49.66357,51.47294,52.52841,53.16923,53.71582,53.82890,53.69697,53.09384,52.28339,51.24677,50.43632,49.28662,48.15576,46.93066,46.19560,45.34746,44.42392,42.99150,41.59677,40.63554,39.07119,37.28066,35.15088,34.07656,33.17187,32.32373
2014,Clovelly 132_11kV,03MAY2013,MW,32.09756,30.77822,29.74160,29.00654,28.76152,28.10185,27.32910,26.42441,25.93437,25.44433,25.12392,24.63388,24.63388,24.63388,24.63388,24.57734,24.23808,24.72812,24.82236,24.74697,25.50088,26.82021,27.96992,29.51543,31.56982,34.43467,37.45029,40.39052,43.08574,45.36630,46.47832,45.89404,45.87519,44.89511,43.42500,42.72763,42.40722,42.44492,42.50146,41.67216,41.48369,41.35175,41.35175,40.99365,40.80517,41.10673,41.46484,41.20097,40.84287,40.91826,40.48476,40.65439,40.42822,40.22090,40.14550,40.48476,39.88164,39.71201,39.93818,39.69316,39.74970,40.22090,40.59785,41.37060,41.37060,41.82295,42.59570,43.42500,45.30976,47.96728,50.41748,51.90644,52.26455,53.03730,52.64150,52.64150,51.90644,51.07714,50.21015,48.75888,47.85420,46.70449,45.59248,44.72548,43.67002,42.48261,41.55908,40.61670,39.54238,39.12773,38.07226,37.09218,35.65976,34.60429,34.41582,33.39804
2014,Clovelly 132_11kV,04MAY2013,MW,32.66299,31.77715,30.43896,29.53427,29.81699,28.64844,27.74375,26.76367,26.49980,25.87783,25.21816,25.04853,24.57734,24.57734,24.46426,24.46426,24.46426,24.46426,24.46426,24.82236,24.99199,25.16162,25.59512,26.33017,26.97099,28.21494,29.30810,30.64629,32.53105,34.32158,36.30058,37.78955,39.14658,40.37168,41.44599,42.65224,43.40615,44.10351,44.32968,44.40507,43.93388,44.02812,43.57578,43.06689,42.78418,42.74648,42.72763,42.48261,41.87949,41.78525,41.38945,41.38945,41.59677,41.14443,40.80517,40.76748,40.42822,40.48476,39.99472,39.80625,40.08896,40.33398,40.23974,40.69209,41.20097,42.25644,43.74541,45.38515,47.53379,50.02168,51.73681,52.67919,53.30117,53.09384,52.84882,52.03837,50.75673,49.73896,48.72119,47.32646,46.08252,45.29091,44.21660,43.50039,42.57685,41.69101,40.82402,39.97588,39.35390,38.65654,37.92148,36.94140,35.45244,34.94355,34.60429,33.34150
2014,Clovelly 132_11kV,05MAY2013,MW,33.11533,32.53105,31.38134,30.79707,30.45781,29.42119,28.66728,27.47988,26.97099,26.33017,25.87783,25.53857,25.53857,24.87890,24.80351,24.80351,24.80351,24.80351,24.25693,24.44541,24.95429,25.48203,25.48203,25.48203,26.12285,27.04638,27.61181,28.25263,29.19502,30.83476,32.28603,33.79384,34.98125,35.96133,37.03564,38.86386,39.78740,40.72978,41.59677,42.06797,42.06797,41.84179,41.93603,41.99257,41.99257,42.10566,41.27636,41.03134,40.48476,39.97588,39.56123,39.61777,39.65547,39.16543,38.82617,38.29843,37.86494,37.71416,37.22412,37.18642,37.63877,37.63877,38.29843,38.84502,39.46699,40.39052,41.10673,43.25537,45.57363,48.66464,51.86875,54.73359,55.56289,56.31679,55.78906,55.18593,53.81005,53.43310,52.18916,51.00175,49.21123,49.49394,48.40078,47.19453,45.68671,43.95273,42.84072,41.40830,40.42822,38.84502,37.46914,35.86709,33.83154,33.24726,32.81377,31.68291
2014,Clovelly 132_11kV,06MAY2013,MW,30.72168,30.26933,29.17617,28.53535,28.53535,27.87568,27.29140,26.51865,25.74590,25.25586,24.99199,24.87890,24.52080,24.52080,24.27578,24.25693,24.25693,24.25693,24.25693,24.76582,25.91553,26.53750,27.53642,29.08193,31.64521,34.69853,37.65761,41.18213,44.31084,46.79873,48.19345,48.21230,47.60918,46.51601,44.83857,43.76425,43.53808,42.95380,42.78418,42.78418,,42.12451,42.16220,42.18105,41.99257,41.76640,41.55908,41.82295,41.80410,41.72871,41.44599,41.65332,41.57793,41.42714,41.05019,40.88056,40.93711,40.54131,40.22090,40.10781,40.71093,40.88056,41.38945,41.61562,41.86064,42.93496,43.57578,44.59355,46.91181,50.04052,52.94306,54.41318,55.99638,57.82460,58.40888,59.14394,59.33242,58.12617,56.97646,55.65712,54.62050,52.75459,51.69912,50.53056,49.85205,48.74003,46.94951,45.06474,43.57578,41.99257,39.97588,37.67646,35.92363,34.75508,33.92578,32.79492
2014,Clovelly 132_11kV,07MAY2013,MW,32.21064,31.53213,30.04316,29.45888,29.49658,28.53535,27.57412,27.02754,26.38672,26.19824,25.70820,25.50088,24.99199,24.63388,24.67158,24.95429,24.97314,24.97314,24.97314,25.38779,26.42441,27.40449,28.32802,29.93008,32.51220,35.64091,38.09111,41.91718,44.91396,47.21337,47.70341,46.83642,46.17675,45.96943,44.14121,43.17998,42.95380,43.55693,42.95380,42.95380,42.33183,42.29414,42.40722,42.67109,42.50146,42.16220,41.59677,41.42714,41.50254,41.37060,41.46484,41.10673,41.08789,40.71093,41.12558,40.86172,40.71093,40.37168,40.56015,40.33398,40.18320,40.54131,40.97480,41.61562,42.23759,42.87841,43.61347,44.63125,46.64795,49.04160,51.90644,53.39541,55.60058,56.88222,57.10839,57.50419,57.37226,56.90107,55.48750,54.28125,53.30117,51.73681,51.41640,50.02168,49.19238,47.91074,46.13906,44.32968,42.93496,41.82295,40.07011,37.99687,35.98017,35.05664,33.92578,32.39912
2014,Clovelly 132_11kV,08MAY2013,MW,32.09756,31.21172,30.38242,29.60967,29.59082,28.59189,27.59297,26.65058,26.21709,26.14170,25.59512,25.04853,24.80351,24.80351,24.80351,24.80351,24.67158,24.97314,25.44433,25.44433,25.99092,27.12178,28.40342,29.60967,32.17295,35.37705,38.35498,41.63447,44.59355,46.32754,47.87304,47.89189,46.72334,45.89404,44.87627,44.25429,43.65117,43.50039,42.78418,41.99257,41.84179,41.84179,41.84179,41.82295,41.48369,41.69101,41.74756,41.99257,42.12451,41.74756,42.04912,42.40722,41.97373,41.70986,41.52138,40.86172,40.93711,40.80517,40.48476,40.39052,40.44707,40.40937,40.52246,40.97480,41.69101,42.35068,42.87841,43.82080,45.49824,48.58925,51.20908,53.58388,55.58173,56.99531,57.42880,57.40996,56.67490,55.80791,55.35556,54.45087,53.48964,51.92529,50.71904,49.34316,48.92851,47.60918,45.96943,44.29199,42.97265,41.69101,40.16435,38.14765,36.03672,34.90586,34.35927,32.79492
2014,Clovelly 132_11kV,09MAY2013,MW,32.17295,31.26826,30.13740,29.19502,29.10078,28.44111,27.49873,27.00869,26.29248,25.57627,25.14277,24.95429,24.76582,24.76582,24.76582,24.40771,24.76582,24.87890,24.99199,25.46318,26.21709,27.29140,28.23379,29.74160,32.38027,35.16972,38.07226,41.65332,44.04697,46.53486,47.43955,47.49609,46.79873,45.38515,44.17890,43.04804,43.08574,42.80302,42.67109,42.31298,42.08681,41.72871,41.76640,41.86064,41.86064,41.46484,41.31406,41.61562,41.42714,41.38945,41.06904,41.16328,40.88056,41.03134,41.16328,41.16328,41.14443,40.89941,41.08789,41.08789,40.95595,40.56015,41.20097,41.40830,41.40830,42.16220,43.16113,44.16005,45.64902,47.60918,50.17246,52.09492,53.52734,54.52626,54.88437,55.41210,54.79013,54.11162,53.13154,52.18916,51.05830,50.45517,49.36201,48.25000,47.21337,46.27099,45.46054,43.95273,42.78418,41.69101,39.80625,37.82724,36.18750,34.86816,34.17080,33.03994
2014,Clovelly 132_11kV,10MAY2013,MW,32.39912,31.23056,30.25049,29.44004,29.44004,28.53535,27.85683,27.00869,26.46211,26.02861,25.48203,24.86006,24.82236,24.74697,24.63388,24.35117,24.65273,25.04853,25.04853,25.10508,26.08515,27.15947,28.21494,29.60967,32.45566,35.26396,37.60107,40.78632,44.27314,46.38408,47.55263,47.47724,46.93066,45.96943,44.55586,43.46269,42.87841,42.91611,42.53916,42.57685,42.52031,42.10566,41.78525,41.89834,42.12451,41.78525,41.78525,41.78525,42.12451,42.33183,42.04912,41.76640,41.31406,41.14443,41.14443,41.14443,41.10673,41.12558,41.37060,41.21982,40.89941,41.27636,40.97480,40.99365,42.03027,42.65224,43.17998,44.32968,46.10136,48.38193,50.51171,52.07607,52.71689,53.28232,53.33886,52.98076,51.77451,51.26562,50.22900,49.17353,48.11806,47.15683,46.44062,45.14013,43.99043,43.23652,42.38838,41.67216,40.97480,39.84394,39.10888,37.45029,36.52675,35.69746,35.05664,34.09541
