year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Crows Nest 33_11kV,01MAY2013,MW,10.72830,10.11391,9.38924,9.15293,9.15293,8.66456,8.55429,8.55429,8.55429,8.53853,8.50703,8.01866,8.01866,8.01866,8.01866,8.01866,8.01866,8.01866,8.01866,8.01866,8.01866,8.47552,9.31047,9.38924,11.01187,12.93383,13.91056,15.26539,17.15584,18.41614,19.32985,19.92850,20.24357,20.07028,20.07028,20.07028,20.51138,20.59015,20.68468,20.79495,21.06277,21.29907,21.85045,21.40935,21.88196,21.91347,22.24430,22.48060,22.49636,22.62239,21.40935,22.62239,22.77993,22.33882,22.37033,22.52787,22.33882,22.33882,22.33882,21.86621,21.67716,21.67716,21.67716,21.22030,21.33058,21.62990,21.48812,21.67716,21.67716,22.03950,22.38608,22.87445,21.69292,21.50387,20.84221,20.84221,20.25932,19.91274,19.56616,19.18807,18.62093,18.33737,18.33737,17.83325,17.51817,16.69898,16.16335,15.76951,15.21812,14.52496,13.65850,13.09137,12.39820,11.86258,11.29544,10.96461
2014,Crows Nest 33_11kV,02MAY2013,MW,10.30295,9.72006,9.21594,9.15293,8.94813,8.50703,8.50703,8.42826,7.87688,7.87688,7.87688,7.87688,7.87688,7.81386,7.86112,7.87688,7.87688,7.87688,7.87688,7.87688,7.87688,8.33373,8.94813,9.62554,10.94886,12.06737,13.12288,14.77702,16.60445,17.89626,18.68395,19.40862,19.73945,20.02302,19.78671,19.94425,20.07028,20.07028,20.07028,20.07028,20.07028,20.07028,20.07028,19.77096,20.07028,19.83397,20.27508,20.00726,19.94425,19.94425,19.99151,19.99151,20.18056,19.89699,19.86548,19.97576,19.83397,19.83397,19.83397,19.72370,19.53465,19.47164,19.21958,19.28259,19.77096,19.51890,19.73945,19.88123,20.33809,21.04701,21.59839,21.59839,21.34633,20.93674,20.93674,20.93674,20.11754,19.58191,18.99902,18.49490,18.38463,18.38463,18.08531,17.77023,17.15584,16.62021,16.24212,15.86403,15.58046,14.66674,14.02084,13.57973,12.76054,11.89408,11.76805,11.10640
2014,Crows Nest 33_11kV,03MAY2013,MW,11.10640,10.53926,9.54677,9.01115,8.82210,8.72758,8.72758,8.42826,8.12894,8.12894,8.12894,8.12894,8.12894,8.12894,8.12894,8.12894,8.09743,7.46728,7.46728,8.00291,8.17620,8.17620,8.97964,9.59403,10.88584,12.05162,13.13863,14.46194,16.79350,18.17983,19.14081,19.81822,20.07028,20.07028,19.89699,19.97576,19.96000,19.89699,19.01478,19.69219,19.69219,20.22782,20.35385,19.75520,19.70794,19.70794,19.86548,20.32234,20.19631,19.88123,19.88123,19.88123,20.14905,19.91274,19.86548,19.97576,20.35385,19.89699,19.66068,20.08603,20.03877,19.75520,19.75520,19.75520,19.75520,19.75520,19.62917,19.94425,19.97576,20.62166,21.40935,21.44086,20.43262,20.22782,19.88123,19.61342,19.18807,18.69970,17.99078,17.70722,17.39214,17.06131,17.06131,16.82501,16.27363,15.65923,15.43868,14.80853,14.74551,14.27290,13.80029,13.28041,12.82355,12.13039,11.79956,11.46873
2014,Crows Nest 33_11kV,04MAY2013,MW,11.05913,10.82283,10.38172,9.97212,9.21594,9.02690,8.88512,8.57004,8.17620,8.17620,8.17620,7.64057,7.59331,7.59331,7.59331,7.59331,7.59331,7.59331,7.59331,7.59331,7.59331,7.59331,8.11318,8.17620,8.17620,8.74333,8.83785,9.26321,10.31871,11.15366,11.87833,12.19340,12.72903,13.40644,13.73727,14.08385,14.68250,15.15511,15.20237,15.20237,15.29689,15.21812,15.21812,15.21812,15.21812,15.21812,15.21812,15.21812,15.21812,14.50921,14.74551,14.87154,14.54071,14.54071,14.54071,14.54071,14.54071,14.02084,13.92632,14.09961,13.86330,14.06810,14.27290,14.27290,14.27290,14.74551,15.50169,15.97430,16.84076,17.77023,18.19558,18.19558,18.65244,18.40038,18.17983,17.99078,17.53393,17.21885,16.95104,16.68322,16.22636,15.67498,15.67498,15.26539,15.06059,15.02908,14.74551,14.41468,13.97358,13.80029,13.40644,12.58725,12.33519,11.86258,11.57901,11.57901
2014,Crows Nest 33_11kV,05MAY2013,MW,10.93310,10.82283,10.57077,9.89336,9.84609,9.02690,8.53853,8.49127,8.45976,8.34949,7.93989,8.06592,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,8.23921,8.34949,8.34949,8.53853,8.93238,9.40499,10.05089,10.46049,11.46873,11.83107,12.08313,12.49273,12.99685,13.40644,14.02084,14.06810,14.25715,14.69825,14.69825,14.55647,14.41468,14.63524,14.63524,14.52496,13.80029,13.80029,13.80029,13.80029,13.80029,13.80029,13.75303,13.12288,13.12288,13.12288,13.12288,13.23315,13.46946,13.73727,13.80029,13.54823,14.02084,14.49345,14.60373,15.35991,16.25787,17.36063,18.43189,19.07779,19.07779,19.53465,19.69219,19.21958,18.88875,18.41614,18.11681,18.10106,17.65996,17.23460,17.23460,17.02981,16.44692,15.86403,15.56471,15.15511,14.74551,13.75303,13.29617,12.30368,11.83107,11.37421,11.02763,11.24818
2014,Crows Nest 33_11kV,06MAY2013,MW,10.69680,11.04338,10.52351,9.40499,8.63306,8.34949,8.34949,8.34949,7.71934,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.64057,7.71934,8.34949,9.76733,10.16117,11.07489,12.16190,13.40644,15.06059,17.07707,18.73121,19.45588,20.03877,20.40111,20.02302,20.02302,20.02302,19.77096,19.73945,19.75520,19.73945,,19.66068,19.51890,19.51890,19.55041,19.64493,19.75520,19.75520,20.08603,20.11754,20.02302,19.69219,19.78671,20.02302,19.62917,19.84973,19.92850,19.55041,19.47164,19.47164,19.47164,19.47164,19.47164,19.47164,19.47164,19.47164,19.67644,20.18056,20.41686,21.47236,22.35457,22.70116,21.96073,21.91347,22.26005,21.96073,21.58264,21.31483,20.92098,20.85797,20.18056,19.58191,19.03053,18.52641,18.06955,17.72297,17.20310,16.43116,15.83252,14.95031,14.11536,13.43795,12.66602,11.97285,11.37421,10.90160
2014,Crows Nest 33_11kV,07MAY2013,MW,10.68104,10.60227,9.97212,9.26321,8.93238,8.93238,8.80635,8.34949,8.34949,7.78235,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,8.25497,8.36524,8.36524,9.67280,10.11391,11.13790,12.33519,13.75303,15.17086,17.54968,19.17232,19.73945,20.46412,20.55865,20.55865,20.03877,20.16480,20.36960,19.73945,19.70794,19.70794,19.80247,20.30659,19.94425,19.70794,20.00726,20.22782,19.67644,19.59767,20.25932,20.25932,20.16480,19.69219,20.27508,20.27508,19.92850,19.61342,19.86548,20.18056,19.69219,19.69219,19.69219,19.69219,19.69219,19.45588,19.59767,19.70794,20.21206,20.43262,20.98400,21.78744,22.21279,22.62239,22.26005,22.19704,22.19704,22.19704,21.66141,21.26756,20.98400,20.98400,20.30659,19.75520,19.15656,19.14081,18.51066,17.86475,17.51817,16.82501,15.99006,15.43868,14.44619,13.65850,13.02835,12.30368,11.53175,11.27969
2014,Crows Nest 33_11kV,08MAY2013,MW,11.27969,10.74406,10.66529,9.64130,9.08991,8.64881,8.64881,8.22346,8.03441,8.03441,8.03441,8.03441,8.03441,8.03441,8.03441,8.03441,7.87688,7.87688,7.87688,7.87688,8.09743,8.63306,9.37348,10.19268,11.20092,12.35094,13.61124,15.17086,17.48666,19.14081,19.66068,20.21206,20.21206,20.21206,20.21206,19.94425,19.69219,19.69219,19.97576,19.69219,19.69219,19.69219,19.69219,19.73945,20.21206,20.18056,20.08603,19.92850,20.35385,20.44837,20.60591,20.51138,20.08603,20.24357,20.21206,20.21206,20.21206,20.02302,19.61342,19.61342,19.61342,19.62917,19.59767,19.66068,19.92850,19.77096,20.44837,20.44837,20.68468,21.36209,21.78744,22.14978,21.70867,21.40935,21.40935,21.40935,20.87372,20.55865,19.92850,19.37711,19.37711,19.37711,18.84149,18.69970,18.16408,17.58119,16.87227,16.35239,15.89554,15.09209,14.50921,13.78453,12.49273,11.86258,11.57901,10.98037
2014,Crows Nest 33_11kV,09MAY2013,MW,10.91735,10.31871,9.40499,9.02690,9.02690,9.02690,8.42826,8.36524,8.36524,7.87688,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,7.75085,8.20770,8.34949,9.60979,10.23994,10.96461,12.33519,13.72152,14.88730,17.12433,18.41614,19.37711,20.03877,20.16480,20.16480,20.16480,19.89699,20.11754,19.92850,19.86548,19.72370,20.85797,21.06277,19.92850,19.92850,19.92850,19.92850,19.92850,19.92850,19.99151,20.59015,20.59015,20.22782,20.22782,20.41686,20.08603,20.11754,20.82646,20.88947,20.38535,20.10179,20.03877,19.88123,20.14905,19.77096,20.27508,20.27508,20.27508,20.47988,20.74769,21.34633,22.13402,22.21279,21.25181,21.03126,21.03126,20.99975,20.44837,19.99151,19.84973,19.26684,18.88875,18.57367,18.54217,17.95928,17.32913,16.95104,16.71473,16.46267,15.80101,15.21812,14.17838,13.59549,12.98109,11.94134,11.45298,11.04338
2014,Crows Nest 33_11kV,10MAY2013,MW,10.96461,10.30295,9.97212,9.02690,8.68032,8.68032,8.38100,8.03441,8.03441,8.03441,8.03441,8.03441,8.03441,7.81386,7.42002,7.42002,7.57755,7.59331,7.65632,8.01866,8.01866,8.19195,9.37348,9.45225,11.35846,12.50848,13.84755,15.09209,17.31337,19.06204,19.99151,20.54289,20.55865,20.84221,20.49563,20.22782,20.40111,20.14905,20.05453,20.03877,20.03877,20.03877,20.03877,20.35385,20.13329,20.13329,20.24357,20.57440,20.65317,20.65317,20.99975,20.77920,20.65317,20.65317,20.77920,20.82646,20.60591,20.60591,20.60591,20.60591,20.60591,19.99151,19.99151,19.99151,19.99151,19.89699,20.10179,20.65317,20.65317,21.04701,21.94498,21.96073,20.88947,20.54289,20.03877,20.03877,19.36136,19.26684,18.90450,18.60518,18.10106,17.89626,17.34488,17.18734,17.07707,16.49418,16.00581,15.65923,15.07634,14.50921,14.22564,13.87906,13.15438,12.38245,11.98861,11.40572
