year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Engadine 33_11kV,01MAY2013,MW,13.33575,12.68295,11.80633,12.62700,15.01437,15.55526,14.92112,13.59687,12.30992,12.25397,11.09758,10.44478,9.53086,8.76616,8.29987,8.03875,7.75898,7.49786,7.33000,7.72168,8.15066,8.56099,9.25109,9.77333,10.51939,11.17219,12.14206,11.73173,11.17219,11.60117,11.75038,11.88094,11.54521,11.19084,10.68725,10.40748,10.07175,9.84794,9.86659,9.75468,9.73603,9.64277,9.56817,9.36300,9.47491,9.49356,9.60547,9.45626,9.68007,9.62412,9.62412,9.47491,9.54951,9.56817,9.36300,9.41896,9.34435,9.43761,9.56817,9.88524,9.90389,10.01580,10.25827,10.53804,10.89242,11.22814,11.58252,12.57104,13.27979,14.54809,15.68582,16.35727,16.46918,16.67435,16.30132,16.15211,15.44336,14.99572,14.64135,14.38023,13.96990,13.46631,12.96272,12.57104,12.27262,11.97420,11.75038,11.19084,11.32140,10.96702,10.81781,10.27692,13.14923,14.36157,14.47348,13.82068
2014,Engadine 33_11kV,02MAY2013,MW,13.26114,12.51509,11.61982,12.40318,14.67865,15.35010,14.62269,13.31710,12.08610,12.21666,11.15353,10.40748,9.66142,8.67290,8.09471,7.90819,7.90819,7.77763,7.62842,7.62842,8.13201,8.54234,9.12053,9.99715,10.83646,11.75038,12.49644,12.01150,11.22814,11.65712,11.93689,12.01150,11.73173,11.32140,10.96702,10.63130,10.31422,10.18366,9.86659,9.82929,9.69873,9.32570,9.28840,9.28840,9.25109,9.02728,8.97132,8.76616,8.89672,8.74750,8.74750,8.74750,8.76616,8.72885,8.87806,8.98997,8.74750,8.80346,8.98997,8.95267,9.34435,9.56817,9.99715,10.09041,10.59399,11.19084,11.67577,12.49644,13.27979,14.64135,15.81638,16.56244,17.06603,17.17794,17.04738,16.78626,16.56244,16.13346,15.77908,15.61122,15.23819,14.82786,14.54809,14.11911,13.63417,13.07463,12.68295,12.14206,12.21666,11.75038,11.48926,10.83646,13.55956,14.80921,14.86516,14.23102
2014,Engadine 33_11kV,03MAY2013,MW,13.63417,13.01867,12.14206,12.92542,15.23819,15.92829,15.29414,14.06315,12.96272,13.03733,11.88094,11.17219,10.22097,9.41896,8.84076,8.24392,8.00145,7.90819,7.74033,7.90819,8.46773,8.89672,9.45626,10.18366,11.13488,11.86229,12.57104,12.10476,11.65712,12.12341,12.34722,12.40318,12.32857,11.97420,11.48926,10.94837,10.70590,10.42613,10.22097,10.01580,9.92254,9.73603,9.45626,9.19514,9.23244,9.10188,9.08323,9.08323,9.08323,9.06458,9.06458,9.06458,9.06458,9.00862,8.82211,8.87806,8.93402,9.12053,9.15784,9.21379,9.30705,9.25109,9.60547,9.97850,10.09041,10.53804,11.06028,11.82499,12.60834,13.93259,15.18224,15.89099,15.74178,15.89099,15.81638,15.62987,15.23819,14.92112,14.60404,14.36157,13.96990,13.52226,13.26114,12.92542,12.77621,12.36588,12.03015,11.67577,12.04880,11.78768,11.65712,11.13488,13.83934,15.08898,15.29414,14.32427
2014,Engadine 33_11kV,04MAY2013,MW,13.80203,13.18654,12.21666,12.81351,15.08898,15.74178,14.97707,13.65282,12.40318,12.49644,11.61982,10.89242,10.07175,9.17649,8.57964,8.09471,7.79628,7.49786,7.44191,7.51651,7.57247,7.74033,7.74033,7.92684,8.33717,8.84076,9.32570,9.53086,9.51221,10.09041,10.78051,11.19084,11.69443,11.76903,11.80633,11.88094,11.88094,11.93689,11.58252,11.02298,11.06028,11.06028,11.00432,10.51939,10.55669,10.29557,10.10906,10.05310,9.84794,9.81063,9.69873,9.73603,9.94119,9.95985,9.66142,9.64277,9.51221,9.58682,9.86659,9.92254,9.95985,9.99715,10.46343,10.68725,10.87376,11.20949,11.84364,12.81351,13.42901,14.47348,15.77908,16.20806,16.15211,16.00290,15.62987,15.27549,14.62269,14.08180,13.78338,13.54091,13.16789,12.85081,12.70160,12.47778,12.30992,11.95554,11.65712,11.39600,11.61982,11.54521,11.37735,10.96702,13.87664,15.10763,15.16359,14.58539
2014,Engadine 33_11kV,05MAY2013,MW,14.13776,13.65282,12.77621,13.33575,15.61122,16.24537,15.36875,14.24967,12.96272,13.13058,12.36588,11.58252,10.78051,9.68007,9.06458,8.52369,8.09471,7.77763,7.53516,7.60977,7.77763,7.87089,7.98280,8.11336,8.39313,8.54234,8.67290,8.89672,8.69155,9.12053,9.75468,10.35152,10.64995,10.92972,11.24679,11.61982,11.61982,11.56387,11.32140,11.17219,10.79916,10.78051,10.57534,10.38883,10.57534,10.63130,10.51939,10.25827,10.22097,10.12771,9.95985,10.14636,9.86659,9.77333,9.45626,9.34435,9.30705,9.43761,9.58682,9.68007,9.94119,10.23962,10.37018,10.57534,10.94837,11.56387,12.32857,13.46631,14.38023,15.94694,17.47636,18.31567,18.33432,18.14781,17.77478,17.62557,16.87951,16.48783,16.00290,15.42470,15.03303,14.66000,14.51079,13.93259,13.46631,12.88811,12.42183,11.76903,11.73173,11.19084,10.91107,10.42613,13.37305,14.71595,14.73460,14.39888
2014,Engadine 33_11kV,06MAY2013,MW,13.98855,13.59687,12.72025,13.26114,15.57392,16.43188,15.81638,14.75325,13.61552,13.87664,12.96272,12.25397,11.41465,10.25827,9.54951,9.06458,8.44908,8.16931,8.16931,8.16931,8.65425,8.98997,9.43761,10.23962,11.32140,12.27262,13.50361,12.94407,12.38453,12.72025,12.55239,12.58969,12.42183,11.99285,11.71308,11.43331,11.06028,10.53804,10.37018,10.74320,,10.42613,10.25827,10.05310,9.66142,9.41896,9.41896,9.17649,8.97132,9.10188,9.12053,9.17649,8.93402,9.19514,8.87806,9.00862,8.95267,8.98997,8.93402,9.28840,9.41896,9.66142,9.88524,10.27692,10.70590,11.20949,11.80633,12.81351,14.28697,15.94694,17.45771,18.39028,18.72600,18.98712,18.44623,18.05455,17.56962,16.99142,16.20806,16.13346,15.68582,15.27549,14.67865,14.26832,13.85799,13.31710,12.98137,12.58969,12.53374,12.08610,11.78768,10.87376,13.82068,15.08898,15.18224,14.47348
2014,Engadine 33_11kV,07MAY2013,MW,13.91394,13.37305,12.53374,13.14923,15.38740,16.13346,15.44336,14.36157,13.13058,13.33575,12.44048,11.71308,10.83646,9.79198,9.23244,8.56099,8.16931,8.16931,8.16931,8.11336,8.41178,8.91537,9.53086,10.29557,11.52656,12.45913,13.37305,12.68295,11.93689,12.29127,12.44048,12.47778,12.10476,11.80633,11.32140,10.87376,10.66860,10.48208,10.20231,9.90389,9.62412,9.47491,9.26974,9.26974,9.36300,9.30705,9.26974,9.32570,9.58682,9.64277,9.71738,9.68007,9.41896,9.38165,8.89672,8.85941,9.25109,9.41896,9.25109,9.23244,9.38165,9.58682,9.82929,10.18366,10.59399,11.19084,11.99285,12.86946,13.91394,15.38740,16.76761,17.51366,17.75613,17.90534,17.56962,17.32715,16.80491,16.39458,15.90964,15.53661,15.08898,14.71595,14.47348,13.96990,13.54091,12.94407,12.60834,12.19801,12.36588,11.95554,11.58252,10.83646,13.83934,15.01437,14.97707,14.43618
2014,Engadine 33_11kV,08MAY2013,MW,13.67147,13.26114,12.42183,13.03733,15.33145,16.07750,15.25684,14.04450,12.92542,13.01867,11.97420,11.41465,10.61264,9.47491,9.17649,8.48639,8.33717,8.03875,8.00145,8.07605,8.52369,8.97132,9.54951,10.18366,11.06028,12.19801,13.22384,12.68295,11.80633,11.88094,11.86229,12.25397,12.16071,12.03015,11.76903,11.07893,10.81781,10.72455,10.55669,10.35152,10.14636,10.01580,9.58682,9.38165,9.34435,9.23244,9.23244,9.10188,9.12053,8.97132,8.97132,8.98997,8.98997,8.97132,8.95267,8.89672,9.02728,9.26974,9.15784,9.26974,9.32570,9.45626,9.68007,9.97850,10.50074,10.89242,11.50791,12.25397,13.14923,14.66000,16.00290,16.71165,16.89816,17.30850,17.08468,16.80491,16.22671,15.77908,15.49931,15.12628,14.69730,14.56674,14.13776,13.67147,13.20519,12.64565,12.32857,11.89959,12.04880,11.73173,11.34005,10.81781,13.80203,14.88381,14.77191,14.30562
2014,Engadine 33_11kV,09MAY2013,MW,13.72743,13.00002,12.29127,12.94407,15.21954,16.02155,15.21954,13.96990,12.73890,13.03733,11.80633,11.04163,10.33287,9.30705,8.59829,8.39313,8.11336,7.90819,7.75898,8.05740,8.37448,8.87806,9.41896,10.23962,11.07893,12.10476,13.13058,12.86946,12.08610,12.19801,12.47778,12.42183,12.12341,11.91824,11.45196,11.07893,10.76186,10.27692,10.20231,9.97850,9.60547,9.56817,9.32570,9.19514,9.19514,9.21379,9.06458,9.06458,9.02728,9.04593,9.04593,9.15784,8.91537,8.91537,8.78481,8.85941,8.91537,9.06458,9.12053,9.40030,9.38165,9.49356,9.81063,9.97850,10.35152,10.68725,11.15353,11.84364,12.83216,14.17506,15.42470,16.20806,16.39458,16.26402,16.33862,15.94694,15.62987,15.40605,14.95842,14.62269,14.26832,13.89529,13.59687,13.39170,13.03733,12.70160,12.32857,11.80633,11.91824,11.61982,11.32140,10.79916,13.67147,14.75325,14.88381,14.13776
2014,Engadine 33_11kV,10MAY2013,MW,13.65282,12.98137,12.06745,12.70160,14.99572,15.68582,14.99572,13.98855,12.81351,12.73890,11.76903,11.26544,10.37018,9.30705,8.93402,8.41178,7.96415,7.81493,7.96415,7.81493,8.28122,8.69155,9.30705,10.14636,10.94837,11.88094,12.66430,12.40318,11.93689,12.29127,12.34722,12.21666,12.14206,11.89959,11.47061,10.94837,10.74320,10.29557,10.07175,9.92254,9.75468,9.54951,9.41896,9.36300,9.36300,9.28840,8.97132,9.17649,9.08323,9.08323,8.95267,9.02728,9.04593,9.04593,8.91537,8.97132,8.97132,8.97132,9.08323,9.26974,9.25109,9.51221,9.88524,10.29557,10.63130,10.83646,11.32140,12.08610,12.98137,14.13776,15.18224,15.87234,16.05885,16.02155,15.64852,15.57392,15.23819,14.88381,14.39888,14.15641,13.72743,13.50361,13.18654,12.86946,12.38453,12.12341,12.03015,11.69443,11.84364,11.69443,11.60117,11.04163,13.95124,15.27549,15.29414,14.49213
