year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Greenacre Park 132_11kV,01MAY2013,MW,34.64718,34.77786,33.58313,34.70319,33.60179,32.55641,31.99638,30.65230,29.99894,28.99088,28.80421,28.31885,28.41218,28.58019,28.43085,28.02016,28.41218,28.31885,28.58019,28.86021,29.68159,30.29762,31.80970,33.32178,35.30055,35.99126,36.83130,37.69001,38.71673,40.07947,41.64756,42.35693,43.10364,44.03702,45.60510,46.10913,46.83717,47.80789,48.34925,48.77861,49.56265,49.71199,50.40269,50.45870,51.52275,51.37341,51.26140,51.70943,51.56009,52.21346,52.47480,52.41880,52.99750,53.09084,53.03483,53.48286,53.59486,53.27751,52.66148,51.84010,51.59742,51.20540,50.98139,51.28007,51.33608,50.81338,50.77605,51.09340,50.16001,50.45870,51.00006,50.92539,49.63732,48.23724,47.22919,46.59449,45.71711,45.51176,44.85840,43.66367,42.89829,42.56227,42.35693,42.09558,41.53555,40.99419,40.41549,40.00480,39.68745,39.29543,39.79946,40.45283,38.69807,36.90597,37.44733,36.25260
2014,Greenacre Park 132_11kV,02MAY2013,MW,35.56190,34.38584,33.28444,34.19916,33.60179,32.25772,31.79103,30.85765,29.42024,28.78554,28.07617,27.79615,27.79615,27.72148,27.47880,27.72148,28.03883,28.13217,28.28151,28.76687,29.94293,30.74564,31.62302,33.13510,34.90853,35.65524,36.60729,37.63401,38.75407,39.81813,40.80751,41.38621,41.10620,41.92757,43.51432,44.22370,45.30642,45.34376,45.39976,46.48248,47.67721,47.63988,47.86389,47.45320,47.54654,47.97590,47.97590,47.80789,47.82655,47.71455,47.60254,47.45320,48.18124,48.64793,48.10657,48.40525,48.18124,47.75188,47.24786,46.83717,47.32253,48.05057,47.65855,47.62121,47.39720,46.50115,46.51982,47.35986,47.63988,48.19991,49.11462,49.07729,47.65855,47.86389,47.75188,47.35986,46.85584,46.46382,45.79178,45.13841,44.59705,44.44771,44.24236,43.83167,42.61828,42.00224,41.05019,40.69551,40.17281,40.00480,40.04214,41.46088,40.00480,38.60473,38.67940,37.48467
2014,Greenacre Park 132_11kV,03MAY2013,MW,35.20721,34.29250,33.76980,34.36717,33.99382,34.04982,32.96709,32.40706,31.62302,30.33495,29.66292,28.93488,28.30018,28.37485,26.86277,27.03078,27.27346,27.49747,27.74015,28.67353,29.51358,30.16694,32.03371,33.13510,35.43123,36.77530,37.54067,38.69807,39.40744,40.82618,41.62889,41.06886,41.72223,42.65561,43.12230,43.86901,44.85840,45.21308,45.60510,45.79178,46.01579,46.16513,45.95979,46.66916,46.70649,47.02385,47.06118,46.78117,46.66916,46.79983,47.06118,46.76250,46.48248,46.25847,46.12780,45.71711,45.10108,45.10108,45.30642,44.63438,44.70905,44.91440,45.39976,45.81045,45.53043,44.98907,45.30642,45.15708,44.61572,44.89573,45.56777,44.74639,43.55166,42.97296,42.05825,41.31154,41.06886,40.52750,39.55678,39.70612,39.91147,40.07947,39.78079,39.65012,39.31410,38.92208,37.74602,36.58862,36.21527,36.75663,37.37266,38.47406,37.85802,36.86864,38.79141,37.50334
2014,Greenacre Park 132_11kV,04MAY2013,MW,35.07654,34.46051,34.12449,35.59923,35.28188,33.95648,32.92976,30.80165,29.47624,28.54286,27.03078,26.62009,26.26540,25.59337,25.23868,24.94000,25.22001,25.27602,25.72404,25.57470,26.13473,26.71343,27.08678,27.19879,28.09483,28.13217,28.48686,28.86021,29.60691,30.18561,30.89498,30.95099,32.44440,33.84447,35.35656,36.17793,36.62596,37.01798,37.74602,37.33533,37.05531,37.57801,38.21271,38.21271,37.72735,37.61534,38.08203,38.41805,38.28738,38.25004,38.30605,38.56739,38.84741,38.86608,38.75407,38.49272,38.79141,37.98870,38.56739,37.67135,37.14865,36.77530,37.11132,36.73796,36.77530,35.99126,35.89792,36.02859,35.97259,36.60729,36.77530,36.43928,35.97259,35.61790,35.31922,34.96453,34.23650,34.46051,34.77786,35.03921,34.53518,34.18049,33.86314,33.54579,33.43379,32.03371,31.71636,31.30567,31.67903,32.20172,33.34045,35.58057,34.44184,34.21783,34.87120,33.88181
2014,Greenacre Park 132_11kV,05MAY2013,MW,32.79909,32.46307,31.39901,32.94843,31.92171,31.56702,30.46563,30.01760,28.76687,27.98283,27.40413,27.03078,26.54542,26.07873,25.57470,24.58531,24.02528,23.83861,23.80127,23.80127,23.95061,24.00662,24.15596,24.75332,25.05200,25.03334,25.35069,25.59337,25.76138,26.24674,26.50808,26.88144,28.11350,28.65486,29.19623,29.58825,29.99894,30.82031,31.84703,32.29506,33.15377,33.54579,33.75114,33.60179,33.90048,34.01248,33.90048,33.99382,33.93781,33.86314,33.50846,33.65780,33.78847,33.00443,32.64974,33.37778,33.04177,33.00443,33.04177,32.79909,32.78042,32.79909,32.53774,32.38840,32.63108,32.12705,31.80970,32.12705,32.40706,33.47112,34.88986,35.30055,35.05787,34.94587,34.79653,34.49784,34.04982,34.06849,33.84447,33.63913,33.56446,33.24711,33.07910,33.30311,32.91109,33.41512,33.06043,32.72441,32.57507,32.61241,33.67647,34.10582,32.78042,31.45501,32.72441,32.31373
2014,Greenacre Park 132_11kV,06MAY2013,MW,31.58569,30.68964,29.75626,30.14828,29.99894,28.97221,28.22551,26.73209,26.39608,25.72404,25.23868,24.73465,24.88400,24.36130,24.51064,24.52931,24.26796,24.15596,24.56665,25.20135,26.58275,27.08678,28.89754,30.14828,32.18305,34.10582,35.37522,36.53262,37.98870,39.16476,40.35949,40.84485,41.36754,41.98358,42.31959,42.89829,44.11169,44.61572,45.08241,45.25042,,45.30642,45.64244,46.27714,46.53849,46.59449,45.71711,46.20247,46.57582,45.82911,46.14647,46.09046,46.96784,46.91184,46.83717,46.96784,46.57582,46.07179,46.22114,46.14647,45.84778,45.95979,46.46382,46.63182,46.57582,46.07179,46.05313,46.48248,46.61316,47.56521,48.16257,47.41587,45.86645,45.64244,44.95173,44.65305,43.77567,42.93563,43.17831,42.78629,41.42355,41.19953,41.87157,41.31154,41.03153,41.31154,40.60217,38.86608,38.62340,38.38072,39.07142,39.79946,38.90341,36.77530,36.58862,35.13254
2014,Greenacre Park 132_11kV,07MAY2013,MW,34.85253,33.91915,32.33239,33.17244,33.52712,32.23906,31.23100,30.12961,29.06555,28.37485,27.98283,27.85215,28.00150,27.88949,27.79615,27.40413,27.75882,27.75882,27.66548,28.07617,28.80421,29.64425,30.82031,31.88437,34.14316,35.87925,36.68196,37.61534,39.37010,40.39682,41.38621,41.96491,41.40488,42.24492,42.99163,43.23431,44.46638,45.04507,46.05313,46.27714,46.37048,46.55715,46.93051,46.42648,46.57582,47.07985,46.66916,47.28519,47.34120,46.93051,47.09852,46.72516,46.70649,46.51982,47.77055,48.14391,47.67721,47.84522,47.58388,47.63988,46.76250,47.06118,47.28519,47.02385,46.72516,46.98651,47.58388,48.06923,47.47187,48.18124,48.66660,48.29325,46.51982,45.47443,45.11974,44.50371,44.05569,43.32765,43.17831,42.71161,42.26359,41.70356,41.79690,41.31154,40.30349,39.59412,39.27676,38.51139,39.10876,38.99675,38.69807,39.91147,38.43672,36.88730,36.94331,35.48723
2014,Greenacre Park 132_11kV,08MAY2013,MW,34.27383,33.97515,32.44440,32.55641,32.42573,31.69769,30.83898,30.37229,29.81226,29.60691,28.82287,27.87082,27.42280,27.51614,26.99344,26.75076,27.04944,27.31079,27.68415,28.30018,29.40157,29.77492,31.26834,33.11644,35.39389,36.25260,37.78335,38.11937,39.31410,40.39682,40.37816,41.06886,41.57289,42.41293,43.49566,43.71967,44.57838,45.32509,45.34376,45.64244,46.74383,46.14647,45.47443,46.38914,46.03446,46.61316,47.37853,47.39720,47.11718,46.89317,46.38914,46.50115,47.00518,47.26652,47.63988,47.17319,47.39720,47.30386,46.87450,47.30386,46.65049,46.81850,46.85584,47.45320,47.71455,47.17319,47.37853,47.71455,47.56521,48.96528,50.08534,49.24530,47.45320,46.72516,46.20247,44.97040,44.57838,43.40232,42.76762,42.30093,42.13292,41.98358,41.66623,41.46088,41.12486,41.08753,40.34082,39.76212,39.16476,39.07142,38.81007,38.97808,37.41000,35.67391,36.71929,36.15926
2014,Greenacre Park 132_11kV,09MAY2013,MW,35.05787,34.29250,33.58313,34.10582,34.18049,32.76175,31.79103,30.87632,29.70025,29.21489,28.93488,28.56153,28.86021,28.41218,27.96416,27.79615,27.87082,28.00150,27.96416,27.98283,29.43891,30.40962,31.73503,33.32178,35.72991,36.64462,37.83935,39.51944,40.47150,41.85290,42.46894,42.03958,42.13292,41.98358,43.64500,44.78373,45.69844,46.37048,46.37048,46.18380,46.76250,46.51982,47.32253,48.06923,47.62121,47.43453,47.84522,48.40525,48.85328,48.62926,49.13329,49.43197,49.46931,49.00262,49.31997,49.43197,49.20796,48.92795,49.00262,48.55459,48.77861,48.92795,49.37597,49.02129,48.70393,49.41331,50.08534,49.41331,49.11462,49.74932,50.70138,49.97334,49.18929,48.77861,48.57326,48.53593,47.63988,47.73322,46.96784,46.07179,44.98907,44.59705,44.80239,44.20503,42.95429,41.96491,40.95685,40.45283,40.21015,40.34082,40.65817,41.18087,39.66879,38.21271,38.04470,37.01798
2014,Greenacre Park 132_11kV,10MAY2013,MW,35.71124,35.00187,33.28444,34.25516,33.80714,32.38840,31.19367,31.00699,31.11900,29.92427,29.92427,28.74820,28.58019,28.15084,27.21745,27.64681,27.90816,27.87082,28.05750,28.41218,29.66292,31.13766,31.67903,33.50846,35.87925,36.73796,37.97003,38.69807,40.00480,40.19148,40.99419,41.31154,42.26359,42.95429,44.09302,44.50371,45.75444,45.64244,45.81045,46.05313,46.76250,47.17319,47.21052,46.57582,46.81850,47.09852,46.81850,47.49054,47.58388,47.93856,48.10657,47.58388,47.65855,47.37853,47.69588,47.30386,47.56521,47.07985,47.04251,46.18380,46.01579,45.94112,46.14647,45.67977,45.75444,45.51176,45.60510,45.82911,45.28775,45.84778,46.25847,45.73578,43.94368,43.62633,42.82362,41.98358,41.72223,41.49822,41.46088,41.61022,40.77018,40.58350,40.22882,40.28482,40.13548,39.66879,38.84741,38.67940,38.53006,37.67135,36.70063,38.30605,38.15670,38.02603,38.49272,37.05531
