year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Mayfield 33_11kV,01MAY2013,MW,0.29294,0.29323,0.29109,0.29311,0.29349,0.29359,0.29776,0.29639,0.29258,0.29169,0.29214,0.29312,0.29317,0.29299,0.29354,0.29264,0.29407,0.29391,0.29556,0.29456,0.29183,0.29251,0.29396,0.29536,0.29303,0.29424,0.29636,0.29499,0.29369,0.29291,0.29098,0.28957,0.29227,0.29857,0.29505,0.29642,0.29218,0.29413,0.29258,0.29199,0.29001,0.28939,0.29403,0.29377,0.28934,0.29106,0.29769,0.29189,0.29512,0.29308,0.29131,0.29045,0.29087,0.29476,0.29442,0.29401,0.29395,0.29393,0.29341,0.29384,0.29377,0.29430,0.29521,0.29629,0.29710,0.29882,0.29970,0.29845,0.29419,0.29239,0.29115,0.29249,0.29618,0.29015,0.29099,0.29162,0.29099,0.28846,0.29268,0.29478,0.29558,0.29556,0.29564,0.29700,0.29847,0.29792,0.29840,0.29786,0.29591,0.29757,0.29856,0.29964,0.29257,0.29279,0.29267,0.29257
2014,Mayfield 33_11kV,02MAY2013,MW,0.29242,0.29302,0.29313,0.29145,0.29087,0.29146,0.29586,0.29538,0.29271,0.29320,0.29413,0.29223,0.29212,0.29249,0.29388,0.29600,0.29516,0.29522,0.29494,0.29436,0.29334,0.29026,0.29009,0.28958,0.28715,0.28904,0.29158,0.29273,0.29396,0.29570,0.29428,0.29433,0.29276,0.29092,0.29039,0.28965,0.28867,0.28883,0.28816,0.28832,0.28814,0.28934,0.29166,0.29230,0.29090,0.29082,0.29345,0.29333,0.29177,0.29262,0.29508,0.29249,0.29525,0.29464,0.29648,0.29450,0.29551,0.29541,0.29575,0.29675,0.29812,0.29795,0.29651,0.29608,0.29708,0.29838,0.29863,0.29845,0.29848,0.29638,0.29484,0.29531,0.29556,0.29774,0.29726,0.29632,0.29811,0.29928,0.29972,0.29386,0.29204,0.29570,0.29738,0.29720,0.29794,0.29262,0.29055,0.29200,0.29010,0.29005,0.29162,0.29298,0.29081,0.29188,0.29178,0.29129
2014,Mayfield 33_11kV,03MAY2013,MW,0.28843,0.28964,0.28941,0.28877,0.29180,0.28980,0.29278,0.29282,0.29291,0.29308,0.29386,0.29306,0.29197,0.29233,0.29238,0.29052,0.29176,0.29176,0.29189,0.29214,0.29136,0.29040,0.29008,0.28822,0.28984,0.29027,0.29112,0.29061,0.28752,0.28800,0.29200,0.29390,0.29404,0.29308,0.29139,0.29143,0.29111,0.29016,0.28941,0.28991,0.29021,0.29044,0.29033,0.29001,0.28912,0.28888,0.28825,0.28753,0.28906,0.28868,0.28816,0.28700,0.28931,0.28939,0.28933,0.28856,0.28961,0.28924,0.28760,0.29095,0.29453,0.29560,0.29664,0.29695,0.29827,0.29877,0.29699,0.29748,0.29401,0.29048,0.28955,0.29167,0.29351,0.29277,0.29294,0.29353,0.29535,0.29447,0.29418,0.29517,0.29614,0.29396,0.29239,0.29331,0.29439,0.29470,0.29481,0.29617,0.29458,0.29504,0.29584,0.29752,0.29693,0.29776,0.29647,0.29663
2014,Mayfield 33_11kV,04MAY2013,MW,0.29704,0.29796,0.29786,0.29713,0.29744,0.29858,0.29941,0.29939,0.29176,0.29271,0.29229,0.29302,0.29169,0.28897,0.28980,0.28999,0.28988,0.29007,0.29004,0.28961,0.28896,0.28801,0.28902,0.29075,0.28996,0.29034,0.28990,0.28927,0.28877,0.28827,0.29044,0.29035,0.28987,0.28857,0.28728,0.28638,0.28626,0.28630,0.28637,0.28596,0.28587,0.29241,0.29324,0.29349,0.29356,0.29338,0.29446,0.29492,0.29572,0.29520,0.29478,0.29511,0.29540,0.29510,0.29462,0.29527,0.29548,0.29559,0.29511,0.29512,0.29559,0.29561,0.29588,0.29584,0.29582,0.29582,0.29462,0.29506,0.29458,0.29127,0.28957,0.29094,0.29208,0.29289,0.29309,0.29404,0.29483,0.29480,0.29688,0.29733,0.29738,0.29800,0.29612,0.29192,0.29200,0.29237,0.29019,0.29107,0.29169,0.29283,0.29278,0.29326,0.29242,0.29269,0.29324,0.29404
2014,Mayfield 33_11kV,05MAY2013,MW,0.29459,0.29404,0.29408,0.29388,0.29482,0.29274,0.29068,0.29181,0.28787,0.28887,0.28867,0.28617,0.28673,0.28706,0.28667,0.28681,0.28695,0.28685,0.28725,0.28708,0.28667,0.28670,0.28643,0.28736,0.29052,0.29341,0.29361,0.29370,0.29329,0.29242,0.29160,0.29087,0.28997,0.28921,0.28866,0.28785,0.28756,0.28722,0.28635,0.28628,0.29203,0.29200,0.29132,0.29146,0.29203,0.29169,0.29150,0.29130,0.29084,0.29175,0.29060,0.29082,0.29091,0.29153,0.29197,0.29296,0.29327,0.29323,0.29364,0.29399,0.29419,0.29363,0.29392,0.29352,0.29391,0.29322,0.29271,0.29184,0.29088,0.28888,0.29017,0.29519,0.29348,0.29444,0.29417,0.29546,0.29481,0.29466,0.29451,0.28896,0.28877,0.28889,0.28945,0.28983,0.29203,0.29272,0.29059,0.29207,0.29305,0.29329,0.29387,0.29494,0.29435,0.29534,0.29603,0.29653
2014,Mayfield 33_11kV,06MAY2013,MW,0.29661,0.29804,0.29747,0.29654,0.29664,0.29787,0.29795,0.29794,0.29695,0.29569,0.29478,0.29475,0.29449,0.29440,0.29204,0.29194,0.29184,0.29368,0.29360,0.29253,0.29136,0.29187,0.28879,0.28878,0.28780,0.29045,0.29571,0.29349,0.29125,0.29034,0.29040,0.28876,0.28990,0.28932,0.28687,0.28799,0.28826,0.28804,0.28774,0.28764,0.28795,0.28987,0.29033,0.29022,0.28962,0.28977,0.28990,0.29018,0.29058,0.29049,0.29018,0.28945,0.28946,0.28951,0.28963,0.28971,0.29068,0.29095,0.29162,0.29297,0.29297,0.29385,0.29447,0.29485,0.29520,0.29492,0.29438,0.29329,0.29222,0.29035,0.28994,0.29176,0.29286,0.29219,0.29252,0.29347,0.29538,0.29564,0.29656,0.29781,0.29820,0.29888,0.29935,0.29334,0.28681,0.28788,0.28788,0.28764,0.28918,0.29233,0.29378,0.29471,0.29418,0.29487,0.29511,0.29520
2014,Mayfield 33_11kV,07MAY2013,MW,0.29511,0.29539,0.29458,0.29232,0.29341,0.29535,0.29578,0.29567,0.29421,0.29395,0.29480,0.29485,0.29462,0.29561,0.29603,0.29364,0.29331,0.29331,0.29305,0.29290,0.29193,0.29062,0.28987,0.28984,0.29121,0.29390,0.29302,0.29090,0.28928,0.28754,0.28598,0.28653,0.28490,0.28485,0.29072,0.29092,0.29034,0.29121,0.29256,0.29266,0.29298,0.29278,0.29221,0.29183,0.29071,0.29259,0.29325,0.29339,0.29349,0.29300,0.29312,0.29362,0.29405,0.29398,0.29315,0.29327,0.29320,0.29342,0.29308,0.29360,0.29391,0.29409,0.29385,0.29322,0.29260,0.29307,0.29320,0.29370,0.29430,0.29390,0.29359,0.29435,0.29506,0.29598,0.29421,0.29440,0.29564,0.29466,0.29547,0.29581,0.29907,0.29339,0.29237,0.29418,0.29521,0.29463,0.29359,0.29326,0.29219,0.29432,0.29308,0.29342,0.28967,0.29116,0.29133,0.29007
2014,Mayfield 33_11kV,08MAY2013,MW,0.28942,0.29053,0.29366,0.29220,0.29441,0.29476,0.29296,0.29340,0.29328,0.29263,0.29259,0.29356,0.29609,0.29718,0.29676,0.29651,0.29630,0.29549,0.29365,0.29461,0.29443,0.29410,0.29614,0.29349,0.28943,0.29133,0.29744,0.29655,0.29603,0.29478,0.29663,0.29277,0.29433,0.29513,0.29540,0.29283,0.29237,0.29291,0.29366,0.29270,0.29300,0.29085,0.29116,0.29010,0.29225,0.29312,0.29327,0.29181,0.29087,0.29148,0.29139,0.29295,0.29396,0.29347,0.29519,0.29421,0.29424,0.29395,0.29243,0.29344,0.29569,0.29582,0.29600,0.29614,0.29447,0.29431,0.29471,0.29355,0.29220,0.29285,0.29453,0.29293,0.29533,0.29530,0.29496,0.29727,0.29958,0.30001,0.29338,0.29276,0.29314,0.29011,0.29169,0.29430,0.29548,0.29567,0.29619,0.29743,0.29606,0.29696,0.29853,0.29925,0.28999,0.29207,0.29185,0.29214
2014,Mayfield 33_11kV,09MAY2013,MW,0.29171,0.29198,0.29237,0.29121,0.29003,0.28928,0.28993,0.28977,0.28982,0.29007,0.28923,0.28985,0.28980,0.28904,0.28889,0.28913,0.28914,0.28918,0.28950,0.28868,0.28677,0.28643,0.28869,0.28834,0.28730,0.28694,0.28678,0.29740,0.29642,0.29432,0.29340,0.29176,0.28983,0.28982,0.28939,0.28961,0.28971,0.28872,0.28793,0.28670,0.28529,0.29126,0.29294,0.29477,0.29540,0.29550,0.29524,0.29410,0.29339,0.29388,0.29405,0.29368,0.29355,0.29361,0.29444,0.29333,0.29525,0.29515,0.29505,0.29486,0.29587,0.29685,0.29798,0.29778,0.29841,0.29882,0.29921,0.29905,0.29809,0.29612,0.29583,0.29606,0.29767,0.29694,0.29741,0.29820,0.29963,0.29990,0.29656,0.29432,0.29515,0.29634,0.29666,0.29689,0.29834,0.29911,0.29775,0.29237,0.28804,0.28930,0.28939,0.28940,0.28978,0.29132,0.29111,0.29116
2014,Mayfield 33_11kV,10MAY2013,MW,0.29131,0.29246,0.29345,0.29296,0.29370,0.29466,0.29407,0.29110,0.29204,0.29231,0.29318,0.29266,0.29279,0.29328,0.29204,0.29215,0.29144,0.29148,0.29086,0.29039,0.28901,0.28871,0.28828,0.28929,0.28865,0.28792,0.28618,0.28598,0.28795,0.29248,0.28933,0.28590,0.28844,0.29147,0.29190,0.29177,0.29115,0.29104,0.29205,0.29248,0.29246,0.29131,0.29157,0.29149,0.29112,0.29092,0.29057,0.29109,0.29111,0.29145,0.29121,0.29097,0.29092,0.29102,0.29137,0.29132,0.29152,0.29208,0.29413,0.29353,0.29286,0.29372,0.29424,0.29492,0.29633,0.29896,0.29862,0.29760,0.29654,0.29523,0.29544,0.29599,0.29736,0.29760,0.29680,0.29730,0.29879,0.29976,0.29655,0.29314,0.29354,0.29443,0.29555,0.29510,0.29642,0.29704,0.29717,0.29638,0.29230,0.29320,0.29462,0.29533,0.29473,0.29584,0.29622,0.29627
