year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Mayfield West 132_11kV,01MAY2013,MW,8.54984,8.51147,8.79752,8.61150,8.47995,8.86072,8.61034,8.27379,8.06974,8.22544,8.04691,7.97793,7.95428,7.89791,7.70436,7.76744,7.82441,7.92151,7.67878,7.73933,8.22852,8.28128,8.52193,8.51976,9.25629,9.71902,10.37539,11.22754,11.83442,13.20700,13.59712,12.68144,13.06621,13.38402,14.22768,14.56778,13.82884,13.37959,14.14180,14.31401,13.79315,13.94941,13.82582,13.77867,14.45454,14.91240,14.12622,14.38944,14.08572,14.05844,14.19418,14.61052,14.40894,14.36505,14.44201,14.15012,14.02643,13.98550,13.78163,13.53684,13.38767,13.51866,13.61154,13.32576,13.25846,13.22700,13.02598,12.99991,12.44793,12.44566,12.70961,12.86930,12.53235,12.27577,11.96661,11.67219,11.36348,11.27555,10.94670,11.03767,10.56672,10.19643,9.89736,9.72402,9.69921,9.50737,9.37231,9.22252,9.07251,8.97358,9.77087,9.55916,9.41970,9.03482,8.79239,8.38331
2014,Mayfield West 132_11kV,02MAY2013,MW,8.39045,8.41900,8.65391,8.51501,8.29541,8.70056,8.41973,8.29145,8.13000,8.22213,8.00628,7.83170,7.89729,8.03734,7.76737,7.68604,7.56060,7.57453,7.60711,7.73640,7.96825,8.05392,8.31282,8.70211,9.25167,9.65172,10.20913,11.07052,11.62938,12.54231,12.95017,13.04754,13.25701,13.40220,13.38163,13.18152,12.23719,12.02134,13.71007,13.81301,13.81486,14.06364,14.20043,14.21867,14.16174,14.13933,13.89422,13.80293,13.08712,12.68262,13.39950,13.99361,14.08641,14.22104,13.53416,12.92212,13.94903,13.94860,13.78875,12.24889,11.93770,12.00300,12.05657,11.95143,11.61565,11.54084,11.45064,11.51907,11.25816,11.40592,11.69642,11.91207,11.83289,11.61328,11.44169,11.23526,11.19504,10.86521,10.56438,10.49699,10.24514,10.05002,9.77561,9.59940,9.59678,9.25007,9.23618,9.02596,8.92399,9.03921,9.82866,9.74689,9.48653,9.25294,8.77079,8.47802
2014,Mayfield West 132_11kV,03MAY2013,MW,8.40130,8.49768,8.57402,8.39756,8.02102,8.77469,8.49004,8.29017,7.88182,7.94787,7.67094,7.67095,7.81026,7.75784,7.72549,7.66680,7.58767,7.59041,7.56288,7.73966,8.04169,8.17023,8.49958,8.99345,9.69079,10.14668,10.44146,11.01537,11.59314,12.43738,13.16376,13.26022,13.53444,13.47372,13.48803,13.22166,12.31100,12.71288,13.73515,13.60186,13.46048,13.60082,13.99246,14.06571,13.91664,13.97200,13.93967,13.82149,12.89915,12.56194,13.35026,13.98637,13.74342,13.85283,13.83485,13.93963,13.71390,13.73482,13.52625,11.99581,11.72789,11.81154,11.63703,11.70856,11.44080,11.40104,11.35966,11.48478,11.05477,11.00387,11.23660,11.23986,10.92548,10.50340,10.48609,10.53155,10.16931,10.06547,10.00143,10.11307,9.70341,9.44118,9.23999,9.07185,8.93841,8.76375,8.81198,8.77896,8.58907,8.52831,9.33931,9.22753,9.16654,8.76000,8.25638,8.06125
2014,Mayfield West 132_11kV,04MAY2013,MW,7.84595,7.82131,7.87004,7.70715,7.40434,7.78190,7.69230,7.48896,7.24608,6.96525,7.04963,7.05041,7.03335,6.87686,6.74494,6.71570,6.70414,6.73275,6.71155,6.70171,6.85309,6.77355,6.85023,7.05229,7.14329,7.20068,7.35442,7.84146,7.92985,8.02591,8.16154,8.20614,8.30437,8.42547,8.70703,8.87987,8.87122,8.84504,8.87232,8.96399,8.91549,8.87060,8.84259,8.87464,8.93398,8.67329,8.75927,8.64292,8.49603,8.21633,8.38138,8.36810,8.15606,7.90729,7.86589,7.87568,7.87040,7.81255,7.83340,7.82675,7.83051,7.81220,7.95382,8.06613,8.21436,8.26285,8.39245,8.66297,9.07278,9.14618,9.52160,9.67088,9.60174,9.33764,9.38597,9.18167,9.09694,8.93300,8.86372,9.00690,8.85135,8.53836,8.55624,8.44894,8.43151,8.28401,8.40098,8.19485,8.92040,8.56427,8.21466,8.00659,8.19391,7.87223,7.71277,7.58725
2014,Mayfield West 132_11kV,05MAY2013,MW,7.35003,7.16557,7.35976,6.99009,6.86840,7.39863,7.11760,6.79920,6.67827,6.57253,6.60654,6.51239,6.55405,6.44040,6.48222,6.43479,6.51777,6.45023,6.56484,6.60020,6.70664,6.62038,6.69089,6.74970,6.91343,6.85112,6.87832,7.03316,7.20019,7.37265,7.32812,7.39794,7.50943,7.39729,7.50763,7.48160,7.47561,7.42802,7.56525,7.58587,7.58214,7.72308,7.62780,7.68570,8.01581,7.95213,7.87738,7.87247,7.89300,7.97111,8.09438,8.10577,8.01348,7.76659,8.12478,8.05626,7.84834,7.82110,7.77982,7.79173,7.82669,7.86585,7.96776,8.09875,8.42954,8.47698,8.84987,9.14292,9.51949,9.86588,10.35439,10.37569,10.39257,10.13445,10.11131,9.97715,9.85253,9.65706,9.53655,9.73595,9.51959,9.35713,9.20910,9.05429,9.05662,8.81011,8.79596,8.62476,9.32710,8.95730,8.53215,8.23747,8.63361,8.45122,8.42815,8.36738
2014,Mayfield West 132_11kV,06MAY2013,MW,8.11937,7.92386,7.97150,7.68799,7.54368,8.08931,7.86179,7.67440,7.75620,7.64410,7.49394,7.41231,7.50755,7.36014,7.66492,7.55094,7.71686,7.66752,7.69587,7.68961,8.17478,8.32322,8.81845,9.20029,9.87608,10.16367,10.59235,10.89598,11.72849,11.86301,12.23370,12.47876,12.56343,12.49136,12.79670,12.78235,12.75255,12.45742,12.57137,12.54925,12.77541,12.47286,12.47762,12.50729,12.56972,12.55808,12.53011,12.54390,12.73267,12.65951,12.65241,12.47848,12.46790,12.34466,12.53209,12.33041,12.06747,12.07475,12.10103,11.89395,11.72545,11.73212,12.49561,12.89001,12.88152,12.53245,11.67527,11.70535,11.60373,11.83423,12.18878,12.62817,12.82831,12.01248,12.15133,12.48504,11.54086,11.98800,11.54906,11.27156,10.86422,10.69374,10.99950,10.89054,10.05739,9.99886,9.93017,9.88858,9.80700,9.62698,10.44353,10.08111,9.69615,9.33430,9.15676,8.82371
2014,Mayfield West 132_11kV,07MAY2013,MW,8.77323,8.67758,8.85789,8.55514,8.46746,9.04465,8.78702,8.49856,8.19481,8.31601,8.16511,8.12647,8.16446,8.00251,7.83530,7.80574,7.87673,7.94647,8.14350,8.34452,8.62469,8.77627,8.89460,9.38866,9.89344,10.36521,10.75087,11.29004,12.07152,12.34485,12.52534,13.01553,13.06012,13.17576,13.09166,13.07967,13.12858,13.19907,13.43034,13.41257,13.53724,13.72845,13.70660,13.77913,13.55856,13.47274,13.38139,13.38336,13.28006,13.40779,13.57581,13.90254,13.93299,13.71626,13.56902,13.43845,13.12222,13.01949,12.95323,12.81032,12.68631,12.75803,13.76872,14.13729,13.70336,14.00209,13.78800,12.98893,12.53047,12.81461,13.01922,14.00200,14.44276,14.27106,13.98874,13.92149,13.68654,12.78328,12.02774,12.14187,11.46105,11.10473,11.96405,11.50549,11.37576,11.22137,11.35899,11.33021,11.48801,10.90373,12.04704,12.06809,11.60397,10.25770,9.77480,9.40596
2014,Mayfield West 132_11kV,08MAY2013,MW,9.39341,9.32940,9.20198,9.07347,8.73838,9.23332,9.21969,8.91579,8.75045,8.94523,8.60452,8.57022,8.56740,8.40776,8.23576,8.16285,8.26280,8.31347,8.50820,8.41369,8.70580,8.81989,9.05413,9.41715,10.10824,10.59166,11.12668,11.70433,12.32029,12.59138,12.70858,13.06486,13.00541,12.96200,13.09813,13.21696,13.25198,13.36661,13.46658,13.10992,13.13850,13.56957,13.71991,13.74267,13.63630,13.58516,13.40155,13.38941,13.36568,13.09459,13.12526,13.23802,13.19742,13.32150,13.21450,12.89196,12.80293,12.85858,12.87728,12.80170,12.54653,12.57873,12.74795,13.86783,13.62012,12.94767,12.80793,13.40207,13.68669,12.95496,13.16163,14.31431,14.24355,13.94548,13.80322,13.60411,13.38872,13.24727,13.18105,13.23033,11.42903,11.39586,12.15817,12.02909,11.87160,11.62550,11.46548,11.22454,11.06044,10.98400,11.74640,11.57221,11.46486,9.68248,9.41496,9.04464
2014,Mayfield West 132_11kV,09MAY2013,MW,9.22796,9.24625,9.28580,9.03907,8.81071,9.01267,9.07836,8.81061,8.49907,8.56113,8.42760,8.35368,8.30546,8.15846,8.11611,7.99944,8.04055,8.04751,8.25991,8.45667,8.94322,9.23737,9.36676,9.52955,10.02223,10.59436,11.13286,11.76960,12.34602,12.67094,12.61830,12.64749,13.07592,13.30824,13.29729,13.43550,13.63352,13.15533,13.15617,13.15927,13.29747,13.51578,13.68005,13.74029,13.78106,13.57602,13.53747,13.40180,13.50227,13.53630,13.20061,13.30892,13.53557,13.67970,13.83719,13.85348,13.65421,13.75219,14.83946,14.71104,14.95498,14.92502,14.68626,14.46660,14.25955,14.39917,14.21095,13.87709,12.48283,12.70525,14.02649,14.12229,13.77335,13.69486,13.51020,13.40772,13.27029,13.15013,12.79502,12.89106,12.50607,12.01276,11.92595,11.39772,10.26131,9.69005,9.65743,9.44087,9.17933,9.23673,9.91742,9.80661,10.09102,9.47135,9.17034,8.86957
2014,Mayfield West 132_11kV,10MAY2013,MW,8.86586,8.78575,8.91972,8.67525,8.44075,8.85433,8.80792,8.65185,8.49538,8.62246,8.42098,8.35051,8.28365,8.16240,8.09399,7.97070,8.17662,8.03857,8.27156,8.38815,8.69544,8.90486,9.08623,9.37058,10.08339,10.50750,10.71390,11.17621,11.84149,12.25802,12.55355,12.66676,13.13757,13.15817,13.15215,13.13344,12.94362,12.89328,12.76905,12.65707,12.66053,12.64753,12.78858,12.83342,12.92404,12.73459,12.75533,12.80370,12.75734,12.49103,12.54783,12.47428,12.50857,12.40143,12.39211,12.24600,12.39282,12.06012,12.18683,12.12167,11.93069,11.94295,11.79605,11.82018,11.70287,11.48183,11.30243,11.45591,11.16219,11.35212,11.50877,11.51615,11.38136,11.23251,11.04580,10.94418,10.94618,10.72231,10.46892,10.53729,10.24176,10.08809,9.97498,9.83262,9.60319,9.57507,9.43957,9.34714,9.19148,9.24664,10.12662,10.14880,9.76312,9.46225,9.15781,8.85946
