year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Moonan 33_11kV,01MAY2013,MW,0.55548,0.50804,0.47263,0.46745,0.43968,0.41698,0.43089,0.42017,0.39243,0.39008,0.38646,0.36598,0.37760,0.37724,0.35494,0.34081,0.36641,0.37720,0.36551,0.35509,0.35343,0.37528,0.38130,0.41672,0.45870,0.49766,0.50253,0.52895,0.49544,0.51603,0.49670,0.48576,0.46517,0.45327,0.45675,0.44367,0.44524,0.43631,0.48079,0.49763,0.49778,0.48759,0.48713,0.48316,0.46370,0.48033,0.48026,0.46096,0.46076,0.44622,0.43012,0.43015,0.44000,0.45130,0.41988,0.39280,0.38374,0.41187,0.42501,0.44881,0.44703,0.43832,0.41673,0.42956,0.43904,0.48359,0.46178,0.46859,0.46178,0.45566,0.49296,0.53083,0.62818,0.63840,0.62131,0.62696,0.65621,0.63335,0.60061,0.57843,0.58463,0.57972,0.56299,0.56978,0.54656,0.53864,0.60644,0.54979,0.55461,0.54333,0.53193,0.54039,0.62305,0.59485,0.55003,0.54053
2014,Moonan 33_11kV,02MAY2013,MW,0.53526,0.52451,0.49402,0.48690,0.47401,0.47337,0.47067,0.46592,0.43509,0.43643,0.39023,0.37777,0.40446,0.38962,0.39237,0.35738,0.36349,0.33975,0.35359,0.35837,0.34751,0.34922,0.38191,0.40048,0.43214,0.46084,0.51768,0.50386,0.44921,0.46272,0.47724,0.51496,0.51086,0.50469,0.48706,0.47574,0.49683,0.46887,0.43739,0.43152,0.43500,0.43737,0.43233,0.41585,0.41528,0.40628,0.38326,0.38631,0.36894,0.35579,0.36802,0.42426,0.40597,0.37053,0.35093,0.35339,0.35832,0.35002,0.35205,0.36728,0.35366,0.36493,0.38172,0.38282,0.40084,0.43817,0.43379,0.49094,0.49719,0.52789,0.55112,0.58238,0.59548,0.58772,0.54422,0.60228,0.66276,0.65645,0.63560,0.65052,0.63342,0.61456,0.59833,0.61726,0.58486,0.55019,0.61395,0.60708,0.58657,0.59083,0.58183,0.57054,0.66404,0.66880,0.64112,0.63062
2014,Moonan 33_11kV,03MAY2013,MW,0.61838,0.59555,0.58088,0.54684,0.54640,0.50554,0.50681,0.51607,0.48466,0.47407,0.43105,0.43597,0.42980,0.43099,0.45796,0.42658,0.44021,0.43559,0.44009,0.41856,0.44255,0.45376,0.47830,0.48554,0.53057,0.56116,0.57114,0.57656,0.55904,0.56869,0.60401,0.63366,0.68331,0.69129,0.68040,0.61656,0.57148,0.57661,0.57115,0.54103,0.52629,0.51940,0.48797,0.45041,0.44871,0.42061,0.43641,0.44961,0.41598,0.41959,0.44150,0.43318,0.44375,0.42238,0.42767,0.42569,0.40682,0.40412,0.39611,0.38332,0.39014,0.38766,0.39300,0.36882,0.38580,0.40602,0.42534,0.43920,0.46136,0.53511,0.58676,0.62393,0.66702,0.66857,0.64669,0.65060,0.70151,0.67518,0.66685,0.69014,0.71809,0.68249,0.68782,0.70114,0.70849,0.69430,0.80915,0.80907,0.77364,0.74704,0.71596,0.68911,0.82913,0.78649,0.71612,0.67775
2014,Moonan 33_11kV,04MAY2013,MW,0.59831,0.56709,0.58684,0.56023,0.53657,0.49617,0.51036,0.53246,0.51336,0.51295,0.53309,0.49713,0.50957,0.51090,0.51204,0.48641,0.50249,0.48337,0.48977,0.46443,0.46595,0.48577,0.47318,0.49177,0.50691,0.49109,0.50680,0.51031,0.51493,0.52700,0.57219,0.62457,0.73327,0.71462,0.72078,0.69744,0.71167,0.69701,0.65591,0.66239,0.63562,0.62350,0.58047,0.55603,0.53560,0.53935,0.53205,0.50088,0.48579,0.48682,0.51466,0.48285,0.45810,0.40869,0.42993,0.41565,0.41979,0.42800,0.42583,0.42972,0.42204,0.42528,0.40858,0.42022,0.42324,0.42956,0.43332,0.46853,0.52985,0.54783,0.58294,0.64748,0.68704,0.71946,0.67763,0.67569,0.69362,0.68312,0.65070,0.66102,0.64701,0.64405,0.62125,0.62972,0.63924,0.61686,0.67366,0.66551,0.64750,0.60528,0.57469,0.55520,0.62756,0.57530,0.56153,0.50869
2014,Moonan 33_11kV,05MAY2013,MW,0.48906,0.48141,0.47439,0.45643,0.43075,0.41916,0.42593,0.41562,0.42636,0.41266,0.44305,0.41845,0.40113,0.39314,0.38793,0.40018,0.40217,0.41765,0.42091,0.39460,0.38910,0.38751,0.40651,0.41097,0.42209,0.44721,0.44589,0.45177,0.43853,0.52010,0.56711,0.54500,0.51412,0.50770,0.51251,0.51410,0.54295,0.52683,0.49797,0.55686,0.52623,0.51920,0.48244,0.48427,0.46836,0.48355,0.45441,0.48221,0.49992,0.49500,0.47789,0.48747,0.46032,0.44297,0.44975,0.45102,0.44972,0.45564,0.43236,0.42858,0.41091,0.44405,0.40367,0.39925,0.38729,0.41879,0.45231,0.47598,0.50918,0.51350,0.51074,0.53314,0.58177,0.61585,0.60430,0.60483,0.64573,0.69083,0.72903,0.69721,0.68916,0.66183,0.67340,0.63432,0.62422,0.59483,0.66581,0.61432,0.61227,0.61648,0.59619,0.58149,0.66346,0.63650,0.61840,0.60859
2014,Moonan 33_11kV,06MAY2013,MW,0.59766,0.55558,0.53123,0.49335,0.48199,0.45608,0.45941,0.45807,0.46399,0.45773,0.45340,0.44163,0.47258,0.46534,0.45207,0.47329,0.49644,0.47861,0.49184,0.47188,0.46876,0.47806,0.48890,0.49463,0.53729,0.59787,0.64028,0.62994,0.65795,0.70353,0.73203,0.74845,0.67157,0.63446,0.64858,0.64617,0.60118,0.57984,0.58262,0.60992,0.61650,0.60640,0.57932,0.56768,0.55236,0.53395,0.52716,0.51654,0.52776,0.51730,0.51013,0.50249,0.51006,0.51041,0.47631,0.45066,0.42183,0.41718,0.41520,0.43127,0.41099,0.41419,0.41045,0.44100,0.45006,0.46350,0.45078,0.44760,0.46958,0.50745,0.52279,0.54306,0.59674,0.61633,0.62745,0.62404,0.66208,0.66043,0.63320,0.65067,0.62319,0.61730,0.61500,0.62865,0.60520,0.57396,0.62623,0.60081,0.56959,0.54777,0.52758,0.50228,0.63497,0.62350,0.61508,0.58078
2014,Moonan 33_11kV,07MAY2013,MW,0.56030,0.56691,0.56554,0.52836,0.49522,0.50696,0.51487,0.52431,0.51427,0.51132,0.51561,0.49109,0.48713,0.50165,0.48569,0.50017,0.50964,0.51410,0.52102,0.50845,0.50982,0.52258,0.51540,0.54112,0.58862,0.62852,0.62589,0.63762,0.62873,0.73547,0.71224,0.70778,0.70822,0.65835,0.67995,0.68332,0.65093,0.60408,0.62577,0.62154,0.61460,0.59501,0.58420,0.56715,0.56881,0.54689,0.54283,0.51523,0.50080,0.48821,0.48932,0.48827,0.49923,0.48306,0.47390,0.45136,0.42413,0.43276,0.49662,0.49703,0.48669,0.50944,0.51482,0.52483,0.53350,0.51398,0.53147,0.53944,0.47517,0.46904,0.52838,0.63179,0.65350,0.64915,0.63835,0.65768,0.76167,0.74536,0.74130,0.74744,0.74094,0.71588,0.73454,0.69956,0.67785,0.68948,0.73211,0.70170,0.69763,0.68749,0.65671,0.61550,0.69658,0.70189,0.65274,0.63269
2014,Moonan 33_11kV,08MAY2013,MW,0.60490,0.59568,0.56497,0.53397,0.51757,0.51827,0.51581,0.50970,0.48469,0.49785,0.48227,0.45578,0.45665,0.46245,0.46479,0.46301,0.47707,0.48460,0.49238,0.47978,0.48220,0.50180,0.52843,0.53705,0.56385,0.67207,0.72141,0.69270,0.64335,0.65519,0.64856,0.63872,0.62182,0.59246,0.57435,0.54410,0.53697,0.53904,0.53585,0.51763,0.52343,0.52803,0.50770,0.50288,0.50103,0.49028,0.49940,0.50363,0.50394,0.49478,0.44281,0.45072,0.45049,0.45107,0.43711,0.40335,0.39625,0.41327,0.42513,0.40714,0.38262,0.37908,0.37518,0.40543,0.47625,0.48933,0.54730,0.54134,0.51033,0.57732,0.61438,0.64010,0.65344,0.67200,0.65576,0.66749,0.66671,0.65416,0.66387,0.65452,0.63799,0.65654,0.62759,0.62131,0.58863,0.55677,0.63893,0.64617,0.62698,0.61199,0.59979,0.60860,0.72794,0.68439,0.65720,0.63692
2014,Moonan 33_11kV,09MAY2013,MW,0.60976,0.59941,0.56945,0.55673,0.56380,0.56135,0.54368,0.53248,0.54148,0.55396,0.57816,0.56758,0.57784,0.53052,0.52861,0.49216,0.48072,0.49902,0.50836,0.50556,0.53854,0.51979,0.62604,0.66182,0.70658,0.76405,0.78069,0.77397,0.73038,0.70563,0.69381,0.70379,0.68378,0.65007,0.61354,0.58975,0.56448,0.56097,0.55779,0.55886,0.53752,0.51484,0.50205,0.52110,0.51125,0.49103,0.46578,0.49072,0.48649,0.47354,0.49151,0.47248,0.48869,0.48225,0.44410,0.46318,0.45157,0.42662,0.41639,0.42313,0.43014,0.43014,0.41765,0.42358,0.41788,0.42128,0.42934,0.47341,0.46430,0.47899,0.50418,0.52675,0.55685,0.57275,0.55689,0.60647,0.63170,0.65208,0.61837,0.62306,0.61390,0.59869,0.59234,0.59687,0.58852,0.62295,0.75402,0.72434,0.69220,0.68227,0.67296,0.64423,0.73651,0.72711,0.68928,0.67411
2014,Moonan 33_11kV,10MAY2013,MW,0.64047,0.63470,0.62627,0.62272,0.61147,0.59289,0.58107,0.57580,0.58206,0.58605,0.59090,0.54665,0.52329,0.52031,0.50853,0.51878,0.51358,0.53061,0.53073,0.53290,0.50962,0.53045,0.53624,0.55709,0.60165,0.65117,0.70332,0.69298,0.69964,0.69427,0.64933,0.64077,0.64880,0.63840,0.61420,0.61629,0.65443,0.65043,0.62858,0.63573,0.63386,0.63969,0.61537,0.58282,0.55816,0.57156,0.57739,0.55909,0.57470,0.56886,0.53860,0.55180,0.53039,0.54479,0.54773,0.54747,0.50029,0.46238,0.44420,0.45858,0.45979,0.45330,0.46990,0.48304,0.46603,0.47894,0.49555,0.50762,0.50637,0.54101,0.56590,0.59442,0.62289,0.65367,0.67621,0.66844,0.71526,0.69809,0.74059,0.79263,0.80231,0.78236,0.76293,0.75809,0.75108,0.76088,0.88511,0.86205,0.82791,0.81695,0.80939,0.78126,0.85235,0.82636,0.82335,0.83202
