year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Noraville 33_11kV,01MAY2013,MW,10.15730,12.02445,11.20290,9.70918,8.90631,8.85029,10.28800,9.22372,8.27148,7.54329,7.15119,6.55370,6.27363,5.76950,5.73215,5.48942,5.45208,5.45208,5.63880,5.90020,6.03090,6.34831,6.74041,7.02049,7.61798,8.21546,8.66358,9.11170,8.29015,8.29015,8.51421,8.51421,8.53288,8.66358,8.14078,8.04742,7.84203,7.99141,7.99141,7.86070,7.78602,7.74868,7.74868,7.74868,7.74868,7.74868,7.63665,7.76735,7.80469,7.89805,7.99141,8.10343,8.14078,8.04742,8.04742,8.10343,8.30882,8.30882,8.30882,8.14078,8.25281,8.14078,8.45819,8.75694,8.85029,9.11170,9.48513,10.11996,10.23199,11.10955,11.94976,12.19249,12.08047,11.94976,11.68836,11.52032,11.16556,10.84815,10.58674,10.30667,11.20290,10.36269,10.96018,10.10129,10.56807,9.76520,9.35443,8.79428,8.68225,10.06394,10.66143,9.69051,10.84815,10.00793,11.37095,10.45604
2014,Noraville 33_11kV,02MAY2013,MW,10.08261,11.87508,10.99752,9.57848,8.71959,8.53288,10.06394,9.13037,8.23413,7.54329,7.15119,6.42300,6.10558,5.91887,5.78817,5.63880,5.63880,5.63880,5.75082,5.88152,6.08691,6.19894,6.83377,6.98314,7.44993,8.12211,8.57022,8.94365,8.19679,8.55155,8.58889,8.86897,8.86897,8.70092,8.70092,8.36484,8.10343,7.87938,7.87938,7.46860,7.44993,7.59930,7.48727,7.15119,7.05783,7.05783,7.05783,7.15119,7.18853,7.07650,7.09517,6.94580,6.81510,7.02049,7.02049,7.05783,7.07650,6.90846,7.13252,7.56196,7.80469,8.06609,8.43952,8.43952,8.47686,8.94365,9.31708,9.80254,10.28800,11.09088,11.91242,12.71530,12.92068,12.82733,12.36054,12.08047,11.52032,11.31493,11.10955,10.81080,11.76305,11.22158,11.70704,10.75479,11.12822,10.13863,9.97059,9.70918,9.48513,10.60542,11.35228,10.11996,11.52032,10.79213,11.83774,10.94150
2014,Noraville 33_11kV,03MAY2013,MW,10.45604,12.47257,11.44563,10.02660,9.26107,9.24240,10.53073,9.55981,8.71959,7.74868,7.31923,6.81510,6.36698,6.06824,6.06824,6.06824,5.88152,5.80684,5.54544,5.80684,5.91887,6.40433,6.88979,7.00182,7.48727,8.27148,8.92498,9.27974,8.51421,8.85029,8.98100,8.79428,8.88764,8.77561,8.70092,8.47686,8.38351,8.17812,7.89805,7.67399,7.63665,7.44993,7.35657,7.09517,7.07650,7.15119,7.50595,7.35657,7.33790,7.16986,6.96447,7.03916,6.87111,6.98314,7.03916,7.03916,7.03916,6.92713,7.00182,7.18853,7.22587,7.44993,7.74868,7.97273,8.32749,8.71959,8.94365,9.29841,9.50380,10.45604,11.48298,12.02445,12.13648,12.11781,11.68836,11.52032,11.33361,11.18423,10.97885,10.54940,11.53899,10.75479,11.38962,10.79213,11.05353,10.36269,9.80254,9.50380,9.33575,10.81080,11.55766,10.54940,11.94976,11.35228,12.60327,11.52032
2014,Noraville 33_11kV,04MAY2013,MW,10.86682,12.84600,11.89375,10.41870,9.41044,9.59715,10.88549,9.89590,8.75694,8.08476,7.41259,6.94580,6.47901,6.14293,6.01223,5.86285,5.48942,5.48942,5.60145,5.56411,5.56411,5.65747,5.86285,6.18027,6.62839,6.75909,7.20720,7.58063,7.15119,7.87938,8.29015,8.58889,8.79428,8.98100,9.20505,9.63450,9.67184,9.67184,9.76520,9.80254,9.42911,9.42911,9.37310,9.20505,8.70092,8.86897,8.98100,8.83162,8.57022,8.04742,7.89805,7.78602,7.82336,7.67399,7.67399,7.46860,7.35657,7.28189,7.41259,7.61798,7.61798,7.76735,8.08476,8.49554,8.79428,9.14904,9.70918,10.56807,10.69877,11.76305,12.52858,12.62194,12.34187,12.32320,12.17382,11.85641,11.38962,10.97885,10.64276,10.11996,11.29626,10.53073,11.09088,10.34402,10.96018,10.13863,9.69051,9.13037,9.26107,10.82947,11.50165,10.49339,11.80039,11.16556,12.56592,11.80039
2014,Noraville 33_11kV,05MAY2013,MW,11.03486,12.95803,11.98711,10.51206,9.85856,9.70918,11.01619,9.97059,8.98100,8.29015,7.50595,7.07650,6.57237,6.27363,5.99355,5.80684,5.86285,5.62012,5.62012,5.62012,5.62012,5.65747,5.86285,5.78817,6.25496,6.66573,7.13252,7.44993,6.88979,7.20720,7.73000,7.95406,8.14078,8.27148,8.58889,8.64491,8.64491,8.88764,8.92498,8.92498,8.62624,8.42085,8.27148,8.06609,7.99141,7.91672,7.69266,7.69266,7.69266,7.65532,7.44993,7.44993,7.28189,7.13252,7.13252,7.13252,7.43126,7.18853,7.39392,7.33790,7.48727,7.56196,7.86070,7.95406,8.38351,8.96232,9.61583,10.30667,10.69877,11.87508,12.65928,12.99537,13.01404,12.93935,12.50991,12.04312,11.87508,11.33361,11.25892,11.01619,11.83774,11.31493,11.57633,10.73612,11.10955,10.19464,9.83988,9.05568,8.81295,10.02660,10.79213,9.93324,11.18423,10.54940,12.02445,11.31493
2014,Noraville 33_11kV,06MAY2013,MW,10.53073,12.75264,12.00578,10.56807,9.80254,9.42911,10.84815,10.04527,9.26107,8.27148,7.74868,7.24454,6.75909,6.36698,6.36698,6.04957,5.99355,5.99355,5.99355,5.99355,6.18027,6.74041,6.98314,7.31923,7.91672,8.51421,9.05568,9.61583,8.77561,9.03701,9.26107,9.16771,9.22372,9.07435,8.98100,8.90631,8.42085,8.10343,8.04742,7.82336,,7.54329,7.33790,7.33790,7.46860,7.28189,7.16986,7.16986,7.22587,7.50595,7.43126,7.59930,7.48727,7.35657,7.11384,7.39392,7.56196,7.39392,7.39392,6.79643,7.13252,7.86070,8.32749,8.81295,9.33575,9.95191,10.25066,10.99752,11.55766,12.84600,13.51817,13.72356,13.70489,13.57419,12.99537,12.77131,12.13648,11.80039,11.52032,11.24025,12.11781,11.24025,11.70704,10.90416,11.37095,10.53073,10.11996,9.24240,8.99967,10.51206,11.29626,10.17597,11.42696,10.71745,12.11781,11.20290
2014,Noraville 33_11kV,07MAY2013,MW,10.56807,12.47257,11.68836,10.21331,9.24240,9.29841,10.58674,9.72786,8.83162,7.99141,7.35657,6.83377,6.49768,6.10558,5.84418,5.84418,5.67614,5.52677,5.71348,5.86285,6.42300,6.62839,6.75909,7.18853,7.82336,8.27148,8.96232,9.35443,8.49554,8.81295,9.18638,9.09302,8.85029,8.71959,8.68225,8.25281,8.15945,8.04742,7.91672,7.87938,7.59930,7.50595,7.37525,7.41259,7.41259,7.35657,7.48727,7.50595,7.24454,7.52462,7.35657,7.35657,7.30056,7.44993,7.28189,7.39392,7.39392,7.52462,7.44993,7.44993,7.44993,7.44993,7.74868,8.17812,8.32749,8.70092,9.26107,9.87723,10.45604,11.63235,12.56592,13.21943,13.21943,13.16341,12.75264,12.64061,12.24851,11.76305,11.42696,11.10955,12.08047,11.24025,11.70704,10.88549,11.29626,10.40003,9.82121,9.37310,9.37310,10.45604,11.01619,10.00793,11.24025,10.62409,12.09914,11.14689
2014,Noraville 33_11kV,08MAY2013,MW,10.51206,12.50991,11.52032,10.10129,9.20505,9.37310,10.66143,9.67184,8.68225,7.95406,7.43126,6.85244,6.40433,6.12425,6.08691,6.08691,5.82551,5.86285,6.08691,6.06824,6.29230,6.55370,6.98314,7.30056,7.52462,8.42085,8.86897,9.11170,8.40218,8.85029,8.88764,9.14904,9.26107,8.83162,8.62624,8.38351,8.30882,8.36484,8.36484,8.10343,7.91672,7.89805,7.82336,7.46860,7.13252,7.28189,7.37525,7.28189,7.31923,7.37525,7.37525,7.16986,7.16986,7.16986,7.16986,7.07650,7.05783,7.05783,7.05783,7.16986,7.31923,7.48727,7.61798,7.93539,8.25281,8.62624,9.33575,9.93324,10.28800,11.42696,12.43522,12.58460,12.64061,12.54725,12.22984,11.80039,11.63235,11.38962,10.82947,10.66143,11.44563,10.82947,11.31493,10.43737,11.05353,10.08261,9.54114,8.94365,8.86897,10.30667,10.96018,9.76520,11.10955,10.45604,11.91242,11.03486
2014,Noraville 33_11kV,09MAY2013,MW,10.30667,12.37921,11.57633,10.21331,9.35443,9.16771,10.40003,9.48513,8.51421,7.78602,7.48727,6.85244,6.49768,6.25496,6.12425,5.63880,5.56411,5.58278,5.67614,5.78817,6.06824,6.57237,6.79643,6.92713,7.39392,8.06609,8.81295,9.50380,8.90631,9.27974,9.50380,9.50380,9.41044,9.09302,9.11170,8.58889,8.42085,8.14078,8.06609,8.06609,7.95406,7.89805,7.74868,7.59930,7.59930,7.37525,7.31923,7.56196,7.43126,7.44993,6.94580,6.92713,6.92713,6.92713,6.92713,6.92713,6.92713,7.05783,7.11384,7.16986,7.31923,7.22587,7.46860,7.86070,8.08476,8.40218,8.85029,9.50380,9.70918,10.71745,11.52032,12.08047,12.26718,12.21117,11.94976,11.81906,11.63235,11.38962,11.16556,10.77346,11.55766,10.96018,11.33361,10.66143,11.35228,10.40003,10.02660,9.52247,9.29841,10.53073,11.20290,10.15730,11.37095,10.40003,12.04312,11.16556
2014,Noraville 33_11kV,10MAY2013,MW,10.49339,12.43522,11.52032,9.98926,9.14904,9.20505,10.53073,9.95191,8.96232,7.95406,7.46860,7.05783,6.51636,6.25496,5.91887,5.63880,5.52677,5.75082,5.65747,5.84418,6.04957,6.21761,6.88979,7.13252,7.82336,8.23413,9.01834,9.52247,8.73827,9.09302,9.14904,9.46645,9.27974,9.27974,8.96232,8.70092,8.58889,8.40218,8.02875,7.87938,7.89805,7.61798,7.59930,7.59930,7.43126,7.28189,7.18853,7.13252,6.96447,7.13252,7.30056,7.30056,7.07650,7.05783,7.24454,7.24454,6.90846,7.07650,7.00182,7.26322,7.31923,7.48727,7.63665,8.04742,8.23413,8.64491,8.96232,9.42911,9.85856,10.75479,11.80039,12.13648,12.13648,12.13648,11.96844,11.42696,11.40829,10.88549,10.90416,10.58674,11.46431,10.84815,11.35228,10.75479,11.25892,10.19464,10.00793,9.59715,9.54114,10.88549,11.68836,10.73612,11.93109,11.18423,12.49124,11.65102
2014,Noraville 33_11kV,11MAY2013,MW,11.05353,13.03271,12.00578,10.66143,9.59715,9.54114,10.88549,9.83988,8.99967,8.27148,7.61798,7.05783,6.72174,6.44167,6.34831,5.76950,5.41474,5.62012,5.62012,5.62012,5.76950,5.95621,6.10558,6.25496,6.55370,6.94580,7.15119,7.35657,7.20720,7.65532,8.01008,8.75694,8.99967,9.01834,9.22372,9.22372,9.05568,9.27974,9.50380,9.69051,9.70918,9.70918,9.82121,9.59715,9.16771,9.39177,9.39177,9.57848,9.50380,9.63450,9.59715,9.41044,8.99967,8.90631,8.58889,8.49554,8.73827,8.64491,8.49554,8.49554,8.01008,8.40218,8.85029,9.14904,9.93324,10.17597,10.25066,10.73612,10.66143,11.53899,12.19249,12.39788,12.30452,12.21117,12.04312,11.89375,11.25892,10.99752,10.94150,10.71745,11.57633,10.69877,11.25892,10.32534,10.99752,10.34402,10.19464,9.39177,9.48513,10.84815,11.63235,10.43737,11.93109,11.18423,12.60327,11.61368
2014,Noraville 33_11kV,12MAY2013,MW,11.07220,12.92068,12.06179,10.73612,9.70918,9.41044,10.75479,9.85856,8.88764,8.23413,7.58063,7.20720,6.72174,6.32964,5.88152,5.76950,5.76950,5.48942,5.48942,5.56411,5.91887,5.82551,5.90020,5.97488,6.18027,6.42300,6.75909,7.03916,6.81510,7.37525,7.73000,8.08476,8.73827,9.26107,9.29841,9.54114,9.54114,9.42911,9.24240,9.22372,8.98100,8.75694,8.75694,8.45819,8.45819,8.23413,8.12211,7.89805,7.78602,7.59930,7.86070,7.80469,7.30056,6.94580,7.11384,7.18853,7.15119,7.37525,7.22587,7.52462,7.52462,7.52462,7.52462,7.69266,7.93539,8.32749,8.90631,9.52247,9.70918,10.82947,11.46431,11.63235,11.74438,11.63235,11.42696,11.29626,11.10955,10.75479,10.38136,10.47472,11.27759,10.56807,11.16556,10.28800,10.92283,9.54114,9.31708,8.99967,8.85029,9.97059,10.73612,9.69051,11.05353,10.41870,11.85641,11.07220
2014,Noraville 33_11kV,13MAY2013,MW,10.54940,12.71530,11.80039,10.38136,9.76520,9.46645,10.86682,10.06394,9.07435,8.17812,7.39392,6.92713,6.64706,6.23628,5.95621,5.80684,5.80684,5.80684,5.80684,6.01223,6.19894,6.49768,6.87111,7.15119,7.59930,8.06609,8.92498,9.29841,8.62624,8.94365,9.41044,9.39177,9.26107,9.18638,8.99967,8.98100,8.68225,8.66358,8.64491,8.79428,8.55155,8.15945,7.82336,7.82336,7.61798,7.50595,7.50595,7.50595,7.52462,7.82336,7.82336,7.82336,7.82336,7.82336,7.82336,7.80469,7.65532,7.84203,7.84203,7.84203,7.84203,8.10343,8.21546,8.38351,8.68225,9.27974,9.93324,10.64276,11.33361,12.69663,13.33146,13.61153,13.46216,13.07006,12.82733,12.39788,11.72571,11.52032,11.31493,10.96018,11.78172,10.90416,11.53899,10.82947,11.16556,10.15730,9.57848,9.05568,8.90631,10.25066,10.79213,9.85856,11.16556,10.36269,12.13648,11.24025
2014,Noraville 33_11kV,14MAY2013,MW,10.53073,12.47257,11.61368,10.11996,9.27974,9.29841,10.69877,9.52247,8.70092,8.06609,7.46860,7.00182,6.72174,6.12425,5.78817,5.78817,5.54544,5.54544,5.54544,5.90020,5.86285,6.12425,6.64706,7.73000,7.78602,8.27148,8.92498,9.16771,8.70092,8.88764,9.22372,9.57848,9.57848,9.57848,9.57848,9.37310,9.31708,9.46645,9.41044,9.54114,9.37310,9.29841,9.03701,9.01834,8.77561,8.73827,8.73827,8.73827,8.47686,7.87938,7.93539,7.91672,7.54329,7.48727,7.39392,7.39392,7.52462,7.52462,7.52462,7.31923,7.58063,7.58063,7.97273,8.01008,8.49554,9.16771,9.80254,10.36269,10.90416,12.30452,13.42481,13.70489,13.96629,13.68622,13.59286,13.36880,13.16341,12.45390,12.13648,12.06179,13.10740,12.22984,12.54725,11.85641,12.32320,11.29626,10.92283,10.11996,10.10129,11.24025,11.83774,10.77346,12.21117,11.37095,12.62194,11.74438
