year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Pelican 33_11kV,01MAY2013,MW,5.40281,5.01836,5.01008,5.54722,5.36711,4.76867,4.41717,4.58561,4.45212,4.08206,3.84275,3.66846,3.75099,3.62865,3.39203,3.35423,3.36299,3.36492,3.45190,3.58847,3.77368,3.92532,3.77312,4.03625,4.30761,4.55004,4.85018,4.85692,4.86750,5.11216,4.97755,4.95849,4.96157,5.03285,5.19054,5.33027,5.37359,5.40995,5.10505,5.35249,5.23053,5.22268,5.33376,5.34992,5.31908,5.42644,5.25502,5.35572,5.50578,5.43371,5.43534,5.70697,5.59505,5.65089,5.48763,5.66809,5.63164,5.56807,5.61487,5.62626,5.68265,5.68417,5.58102,5.67866,5.83308,5.80800,5.80969,5.96418,6.19194,6.28730,6.56771,6.44212,6.39504,6.31303,6.33668,6.37358,6.34169,6.35256,5.97367,5.78997,5.66756,5.54502,5.30290,5.23480,5.19038,5.07011,4.79551,4.74937,5.65560,5.45310,5.04354,4.74470,4.91495,4.68275,4.72652,5.10491
2014,Pelican 33_11kV,02MAY2013,MW,5.38681,5.06331,5.02154,5.41266,5.07926,4.69714,4.36332,4.47478,4.16309,3.93714,3.79586,3.73456,3.64337,3.49360,3.20443,3.30422,3.28248,3.26199,3.31944,3.51724,3.60017,3.70987,3.72809,3.93560,4.20455,4.45043,4.69251,4.67291,4.67858,4.92243,4.85624,4.85550,4.99326,4.91102,5.01851,5.12631,5.13570,5.08406,4.88078,4.87913,5.03641,4.99284,5.01734,5.05944,5.13854,5.09502,4.87741,4.99372,4.99733,4.96826,4.93671,5.05334,5.02834,4.87890,4.80552,4.87755,4.90055,4.81001,4.86237,4.94170,4.95531,5.04878,4.85313,4.80577,5.02257,5.23626,5.38793,5.52280,5.86392,6.16160,6.23531,6.44081,6.39976,6.48463,6.26012,6.20032,6.15692,6.25349,5.88764,5.80825,5.66153,5.49568,5.40415,5.27229,5.10124,4.92862,4.89915,4.79479,5.93077,5.59141,5.03305,4.81360,5.04767,4.72565,4.81971,5.15945
2014,Pelican 33_11kV,03MAY2013,MW,5.60232,5.15288,5.11978,5.52563,5.35092,4.89507,4.59469,4.73134,4.46341,4.25149,4.03199,3.94824,3.78342,3.61935,3.41183,3.35044,3.40994,3.38268,3.41030,3.52174,3.61669,3.72659,3.66527,4.00105,4.20566,4.35706,4.68349,4.82691,4.82466,4.87516,4.80836,4.86382,4.89744,4.89440,4.80922,5.04001,5.11715,5.02817,4.85256,4.83387,4.85435,4.92946,4.88446,4.91428,4.88513,4.90797,4.77640,4.66266,4.74748,4.92071,5.01394,4.96862,5.02322,5.01608,4.86258,4.82509,4.83414,4.71704,4.84708,4.92973,5.02338,4.90240,4.86063,4.75885,4.93994,5.01055,5.18628,5.32817,5.59139,5.90410,5.97577,5.89584,5.94091,5.89315,5.93805,5.87292,5.80217,5.98360,5.60940,5.52577,5.38197,5.26039,5.22003,5.22711,5.13440,4.98991,4.89564,4.80322,5.78854,5.57336,5.21865,4.97859,5.07706,4.88368,4.90970,5.41418
2014,Pelican 33_11kV,04MAY2013,MW,5.59683,5.29588,5.08654,5.68438,5.39555,5.02587,4.62114,4.36516,4.50882,4.25017,4.13560,3.96234,3.88120,3.60392,3.33955,3.38434,3.41324,3.26301,3.19551,3.36412,3.44622,3.47783,3.35977,3.51953,3.86214,3.99842,3.99826,4.22657,4.35045,4.57332,4.75766,5.08868,5.19043,5.35867,5.54149,5.73768,5.84556,5.96727,5.70173,5.75983,5.66163,5.68132,5.69257,5.65631,5.61814,5.67381,5.46287,5.53356,5.48794,5.41090,5.45366,5.30242,5.34751,5.23573,5.07654,4.95305,5.09666,4.93127,5.06919,5.11996,5.05600,5.05267,5.06573,5.08949,5.34675,5.36555,5.54056,5.55973,5.84843,6.07878,6.30251,6.15702,6.21147,6.05888,6.20493,5.98308,5.87120,6.01425,5.65796,5.41548,5.35877,5.20459,5.18111,5.13513,5.09137,4.91241,5.87021,5.42784,5.03566,4.73614,4.97984,4.74975,5.17551,4.93080,4.52727,4.52330
2014,Pelican 33_11kV,05MAY2013,MW,4.81048,4.30962,4.38465,5.00738,4.45060,3.90631,3.68346,3.55071,3.56606,3.39470,3.33418,3.29761,3.28769,3.25722,3.00278,3.01457,3.13129,3.17308,3.13923,3.29206,3.25009,3.40800,3.27300,3.42286,3.51225,3.73985,3.88153,4.11263,4.20435,4.30872,4.37314,4.66232,4.73827,4.93875,5.06408,5.21927,5.42014,5.39349,5.28015,5.39862,5.37521,5.38860,5.22317,5.31155,5.35917,5.50072,5.28845,5.28502,5.33852,5.40602,5.33090,5.38667,5.35955,5.12191,4.81363,4.87503,4.72999,4.69130,4.69748,4.84873,4.92222,4.99534,4.75839,4.73998,4.83043,5.12859,5.35738,5.36690,5.85539,6.23849,6.36082,6.16286,6.36082,6.29911,6.23987,6.01696,5.90498,6.12799,5.60418,5.43414,5.38280,5.13685,5.02571,4.86908,4.82763,4.62446,5.46739,5.07757,4.78293,4.54502,4.49612,4.29159,4.74652,4.56279,4.20913,4.37126
2014,Pelican 33_11kV,06MAY2013,MW,4.57423,4.20972,4.23059,4.86176,4.28374,3.90920,3.63017,3.68960,3.65780,3.37655,3.37780,3.32466,3.40909,3.31325,3.11286,3.09306,3.16810,3.18624,3.17567,3.42450,3.62114,3.63204,3.63741,3.92268,4.35275,4.61905,4.71239,4.67309,4.91351,5.05941,4.86555,4.94939,5.09531,5.09343,4.99720,5.07412,5.19920,5.09051,4.86149,4.76411,4.68919,4.74453,4.71432,4.69874,4.74420,4.76521,4.70784,4.88974,4.82212,4.81773,4.93423,4.92275,4.81888,4.87566,4.65699,4.81001,4.98199,4.88378,4.95592,4.99012,5.06772,4.92382,4.73144,4.86596,4.95664,4.98309,5.19426,5.68267,6.14859,6.66749,6.66324,6.46432,6.48972,6.51593,6.27557,6.14430,6.13144,6.30405,5.83581,5.57148,5.54301,5.30825,5.22247,5.09055,5.04327,4.86707,4.80251,4.67558,5.77752,5.50551,5.11361,4.88076,4.86982,4.66336,4.83432,5.21584
2014,Pelican 33_11kV,07MAY2013,MW,5.48508,5.14608,5.14910,5.62972,5.31194,4.97194,4.66852,4.83431,4.48345,4.14907,3.94890,3.84016,3.65045,3.56736,3.21344,3.21971,3.19311,3.24924,3.28336,3.43578,3.55002,3.69340,3.59540,3.95820,4.18286,4.43263,4.70124,4.69590,4.75021,4.91541,4.87875,5.02527,5.16624,5.06657,4.99039,5.19549,5.28085,5.25589,5.01409,5.01282,5.03963,5.00627,4.90574,4.95185,4.97256,5.05352,4.92146,5.01813,4.97389,5.03792,5.11339,5.15506,5.05328,5.05043,4.78793,4.76238,4.83231,4.80411,4.85771,4.97161,5.01202,5.01522,4.82274,4.81199,4.95756,5.05025,5.24319,5.49397,5.80404,6.15717,6.45265,6.40091,6.30669,6.26118,6.20315,6.18614,6.17019,6.34166,5.83249,5.72883,5.61508,5.34455,5.34708,5.19042,5.03673,4.90366,4.86453,4.65758,5.82491,5.42694,5.07809,4.84830,5.04085,4.65319,4.75729,5.12390
2014,Pelican 33_11kV,08MAY2013,MW,5.41746,4.99714,5.05054,5.52617,5.43656,4.97469,4.57559,4.80712,4.38051,4.09272,3.87339,3.72466,3.58168,3.44158,3.29535,3.30581,3.23769,3.27993,3.23204,3.40582,3.58889,3.57696,3.56914,3.93941,4.37334,4.54346,4.84616,4.73849,4.79667,4.84403,4.94634,5.03867,5.13377,5.05007,5.12151,5.07836,5.31174,5.17040,4.95097,5.11924,5.32704,5.28353,5.14752,5.10268,5.13483,5.29797,4.96290,4.87893,4.97725,4.91671,4.87591,4.98539,4.98582,4.87300,4.71500,4.71058,4.76709,4.67567,4.69054,4.83272,4.83276,4.92234,4.89704,4.92233,5.05233,5.24887,5.44582,5.54451,5.94587,6.44449,6.42655,6.28460,6.41784,6.32179,6.17225,6.12460,6.00480,6.13121,5.70075,5.61691,5.41445,5.26705,5.24505,5.12240,5.03663,4.84132,4.72392,4.69829,5.79925,5.45650,4.95110,4.71621,4.85006,4.59693,4.71013,5.11927
2014,Pelican 33_11kV,09MAY2013,MW,5.37029,5.11954,4.94782,5.39163,5.21372,4.85358,4.55664,4.72542,4.36294,4.04424,3.95624,3.77393,3.78259,3.63417,3.42090,3.34069,3.30288,3.36395,3.35186,3.57480,3.60112,3.82433,3.77130,3.94380,4.28591,4.58378,4.69990,4.74536,4.88969,4.97943,5.02052,5.03731,5.00600,5.10593,5.05029,5.09748,5.15653,5.08690,4.96825,4.95207,4.82806,4.92125,4.93965,4.91619,4.96724,5.10166,4.95877,5.01831,5.16617,5.11780,5.07773,5.17418,5.09274,5.02696,4.98545,5.05718,5.03505,5.08030,5.01131,5.00684,5.01349,5.09805,4.97368,5.00772,5.11956,5.22327,5.32568,5.46118,5.72663,6.04702,6.18423,6.27590,6.39331,6.08050,5.98740,6.07830,6.08931,6.19147,5.79678,5.75044,5.55797,5.45054,5.37579,5.19088,5.07492,4.94773,4.90445,4.82041,5.93468,5.56389,5.03442,4.80736,5.04771,4.69976,4.82679,5.12394
2014,Pelican 33_11kV,10MAY2013,MW,5.42296,5.08256,4.97112,5.43758,5.34146,4.90320,4.45197,4.66939,4.39860,4.23155,3.89319,3.79024,3.66380,3.68440,3.49628,3.37420,3.35592,3.35041,3.44752,3.48950,3.72627,3.78631,3.78919,3.97243,4.25951,4.56284,4.84115,5.00830,5.05148,5.12798,4.98229,5.18629,5.21081,5.08045,5.21699,5.21337,5.22435,5.19913,4.91435,4.97084,4.87850,4.84312,4.91918,4.97068,4.98747,5.08660,4.85347,4.92615,4.89838,4.98849,4.96096,5.15132,5.17944,5.14638,4.96544,5.03867,5.01688,5.01428,4.99014,5.08904,5.02875,5.06384,5.00487,5.10724,5.12304,5.15774,5.28872,5.46046,5.64604,6.03775,6.01403,6.02507,6.06702,6.02339,5.84236,5.94742,5.88117,5.98219,5.74962,5.60745,5.41952,5.27480,5.28791,5.24446,5.12878,4.96121,4.80675,4.76259,5.92715,5.52534,5.11991,4.95074,5.15696,4.93012,4.97807,5.29234
