year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Rathmines 132_11kV,01MAY2013,MW,5.73120,5.73120,5.59533,5.89230,5.62212,4.79564,4.29514,3.98340,3.98340,3.56088,3.22740,3.22740,2.68645,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,2.59920,3.18980,3.56040,3.56040,3.56040,3.56040,3.56040,3.56040,3.56040,3.49313,3.29130,3.29130,3.29130,3.29130,3.29130,3.29130,3.29130,3.29130,2.71300,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,2.67390,3.11488,3.49560,3.49560,3.49560,3.49560,3.49560,3.49560,3.95298,4.47341,4.87710,5.22571,5.45490,5.45490,5.45490,5.45490,5.45490,5.10730,4.66290,4.66290,4.66290,4.66290,4.66290,4.66290,4.24344,3.84930,3.84930,3.84930,3.84930,4.75241,5.46210,4.68303,4.59540,4.59540,4.59540,4.59540,5.06381
2014,Rathmines 132_11kV,02MAY2013,MW,5.95631,5.74432,5.43883,5.81130,5.81130,4.63818,4.17773,3.87810,3.87810,3.58368,3.34170,3.34170,2.62658,2.51550,2.51550,2.51550,2.51550,2.51550,2.23232,2.01870,2.11353,2.80170,2.80170,2.80170,3.06161,3.39390,3.56625,4.24620,4.24620,4.24620,4.24620,4.24620,4.24620,3.41940,3.31020,3.31020,3.31020,3.31020,2.95810,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.53350,2.56223,2.56320,2.56320,2.56320,2.56320,3.13978,3.54600,3.54600,3.54600,3.76390,4.66094,5.34297,5.47740,5.47740,5.47740,5.47740,5.47740,5.47740,5.47740,5.47740,5.47740,5.47740,5.36093,4.58910,4.58910,4.58910,4.42910,4.01310,4.01310,5.13381,5.41080,5.41080,5.24675,4.54230,4.54230,4.54230,5.14831
2014,Rathmines 132_11kV,03MAY2013,MW,6.09771,6.25860,5.97084,5.74740,5.74740,5.15985,4.66380,4.66380,4.32055,3.88170,3.53212,2.98317,2.69010,2.69010,2.69010,2.28060,1.95300,1.95300,1.95300,1.95300,1.95300,1.95300,2.26856,2.83500,3.14685,3.98270,4.07880,4.07880,4.07880,4.07880,4.07880,4.07880,4.07880,4.07880,3.64840,3.35880,3.35880,3.35880,3.35880,3.35880,3.35880,2.70207,2.68020,2.68020,2.68020,2.68020,2.63475,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,2.56860,3.37613,3.40110,3.40110,3.45265,4.23426,4.72860,4.72860,4.98715,5.44680,5.44680,5.44680,5.44680,5.44680,5.44680,4.73027,4.64670,4.64670,4.64670,4.64670,4.28634,4.02300,4.02300,4.02300,5.29440,5.60160,5.60160,4.93486,4.64760,4.64760,4.64760,5.36917
2014,Rathmines 132_11kV,04MAY2013,MW,5.90130,5.90130,5.71070,5.72040,5.72040,5.32835,4.61519,3.85200,3.85200,3.85200,3.33998,3.30210,2.96378,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,2.67300,3.23328,3.40380,3.40380,3.98242,4.12110,4.58574,4.81230,4.81230,4.81230,4.81230,5.30005,5.54760,5.54760,5.54760,5.54760,4.86139,4.52340,4.25064,3.89070,3.89070,3.89070,3.89070,3.89070,3.89070,3.65108,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.33630,3.94486,4.30740,4.40595,4.76460,4.76460,5.44700,5.53230,5.53230,5.53230,5.53230,5.53230,5.53230,5.53230,4.63475,4.53870,4.53870,4.53870,4.53870,4.01330,4.00680,4.00680,4.66910,4.82670,4.82670,4.82670,4.82670,4.82670,5.36463,5.25764,4.34464,4.00320
2014,Rathmines 132_11kV,05MAY2013,MW,4.72426,4.20700,4.18554,5.01750,4.45059,3.42430,3.16123,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.69280,2.89255,3.46770,3.46770,3.88825,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,4.10490,3.61285,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.27870,3.85329,4.24350,4.24350,4.54786,5.12326,5.67317,6.24060,6.24060,6.24060,6.24060,6.24060,5.42833,5.35770,5.35770,5.35770,5.35770,4.98957,4.60980,4.60980,4.60980,4.07721,5.35136,5.67090,5.54588,4.62675,4.01130,4.01130,4.74653,4.89240,4.89240,4.89240
2014,Rathmines 132_11kV,06MAY2013,MW,4.89240,4.35887,4.01406,4.11120,4.11120,3.89767,3.20040,3.20040,3.20040,2.57988,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,2.57850,3.23018,3.54488,4.22010,4.22010,4.22010,4.22010,4.22010,4.22010,4.22010,4.20874,3.66794,3.73590,3.73590,3.73590,3.69615,3.13280,3.16800,3.16800,3.16800,3.16800,3.16800,3.16800,2.73795,2.61900,2.61900,2.61900,2.61900,2.61900,2.61900,2.61900,2.61900,3.16041,2.70158,2.67390,2.67390,2.66037,2.65050,2.65050,2.98114,3.49830,3.49830,3.60387,4.32450,4.32450,5.20337,6.10947,6.32430,6.76643,6.45521,6.07320,6.07320,6.07320,6.07320,6.07320,6.07320,5.49292,5.33970,5.33970,5.33970,4.65351,4.64580,4.64580,4.64580,4.64580,5.31316,5.51250,5.51250,4.93688,5.11044,5.56470,5.56470,5.56470
2014,Rathmines 132_11kV,07MAY2013,MW,5.99442,5.93484,5.48948,6.05790,6.05790,5.21539,4.66343,4.55400,4.19817,4.03830,3.58453,3.23910,3.23910,2.72886,2.58120,2.58120,2.58120,2.58120,2.58120,2.58120,2.58120,2.58120,2.58120,2.58120,3.01650,3.48035,4.17780,4.17780,4.17780,4.17780,4.17780,4.17780,4.17780,4.11591,3.83294,3.86444,3.27060,3.27060,3.27060,3.27060,3.27060,2.68920,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,2.65500,3.14657,3.71271,4.25160,4.41349,5.17622,5.45220,5.45220,5.45220,5.97637,6.10650,6.10650,6.10650,6.10650,5.86817,5.25870,5.25870,4.89151,4.71960,4.71960,4.71960,4.71960,4.71960,4.71960,5.79714,6.05007,5.32080,5.32080,5.32080,5.20382,4.68270,5.30275
2014,Rathmines 132_11kV,08MAY2013,MW,6.17921,6.20450,5.54576,6.15510,6.04108,5.32080,4.71248,4.68270,4.68270,3.89246,3.71187,3.24360,3.24360,3.20298,2.63430,2.63430,2.63430,2.63430,2.63430,2.63430,2.63430,2.63430,2.63430,2.63430,2.99836,3.46590,3.64519,4.26870,4.26870,4.26870,4.26870,4.26870,4.26870,4.26870,4.26870,3.99913,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,3.23190,2.73412,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,2.53080,3.34780,3.50730,3.50730,4.19705,4.86900,5.47556,5.49720,6.01011,6.16140,6.16140,5.94176,5.33430,5.33430,5.33430,5.33430,5.33430,5.33430,4.96971,4.59360,4.59360,4.06146,4.02480,4.02480,5.25775,5.55570,5.44968,4.71870,4.71870,4.71870,4.71870,5.25173
2014,Rathmines 132_11kV,09MAY2013,MW,5.67862,6.11730,6.15346,6.29730,5.91002,5.06484,4.63140,4.63140,4.50214,3.93480,3.39783,3.25890,3.25890,2.96906,2.61000,2.61000,2.61000,2.61000,2.61000,2.61000,2.61000,2.61000,2.61000,2.61000,2.87149,3.45960,3.83382,4.80036,3.95064,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.90240,3.45139,3.20670,3.11688,3.28590,3.19462,3.28590,2.64544,2.64330,2.64330,2.64330,2.64330,2.64330,3.08861,2.92576,2.54610,2.54610,2.54610,2.54610,2.54610,2.54610,2.54610,2.54610,2.60870,3.41280,3.41280,4.05258,4.70461,5.28440,5.51160,5.51160,5.51160,5.51160,5.51160,5.51160,5.51160,5.51160,5.51160,5.16515,4.96954,4.97160,4.97160,4.97160,4.97160,4.97160,4.97160,5.46020,5.60250,5.60250,5.60250,5.60250,5.60250,5.60250,5.60250
2014,Rathmines 132_11kV,10MAY2013,MW,6.09166,6.14070,5.73197,5.85900,5.59635,5.23530,4.66981,4.61160,4.55166,3.94560,3.65035,3.31740,3.31740,2.80484,2.69820,2.69820,2.69820,2.69820,2.69820,2.69820,2.69820,2.69820,2.69820,2.69820,3.09405,3.65701,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,4.24710,3.91091,3.26790,3.26790,3.08821,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.66670,2.89732,3.44700,3.44700,3.44700,3.44700,4.00483,4.66487,5.23460,5.48100,5.48100,5.48100,5.48100,5.48100,5.48100,5.48100,5.48100,5.24931,4.63680,4.63680,4.63680,4.63680,4.63680,4.63680,4.48987,3.97890,5.25028,5.55390,5.21838,4.71510,4.71510,4.71510,5.29555,5.41350
