year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Tanilba Bay 33_11kV,01MAY2013,MW,3.36144,2.97360,2.97360,2.90363,2.67974,2.52102,2.27070,2.18124,2.01510,2.01510,1.84943,1.73430,1.73430,1.73430,1.73430,1.73430,1.73430,1.73430,1.77611,1.93770,1.94483,2.15910,2.15910,2.15910,2.24070,2.37510,2.47013,2.58120,2.58120,2.58120,2.58120,2.58120,2.63244,2.74490,2.54700,2.54700,2.70818,2.62499,2.62282,2.75580,2.75580,2.58674,2.36026,2.40210,2.40210,2.40210,2.40210,2.25151,2.21040,2.21040,2.21040,2.21040,2.21040,2.21040,2.08257,2.00160,2.00160,2.00160,2.28163,2.49030,2.40172,2.42182,2.55240,2.55240,2.75432,2.76570,2.77556,3.01230,3.15833,3.26700,3.70099,3.75210,3.86831,3.92760,3.69630,3.69630,3.69630,3.69630,3.69630,3.52881,3.36329,3.26700,3.26700,3.26700,3.26700,3.23201,3.05758,3.28140,3.28140,3.20339,3.08250,3.08250,3.62996,3.79350,3.68956,3.38415
2014,Tanilba Bay 33_11kV,02MAY2013,MW,3.16870,2.95032,2.80080,2.67779,2.57670,2.57670,2.30494,2.03400,2.03400,2.03400,2.03400,2.03400,2.03400,2.03400,2.03400,2.03400,2.03400,2.18716,2.21490,2.21490,2.21490,2.21490,2.21490,2.21490,2.24738,2.47590,2.55650,2.69640,2.69640,2.69640,2.69640,2.69640,2.69640,2.69640,2.69640,2.69640,2.67469,2.48400,2.59872,2.69910,2.46330,2.33985,2.19060,2.19060,2.19060,2.19060,2.19060,2.24260,2.37060,2.37060,2.37060,2.36298,2.18520,2.18520,2.18520,2.18520,2.18520,2.18520,2.18520,2.18520,2.18520,2.18520,2.24315,2.59112,2.72160,2.72160,2.72160,2.81784,3.13920,3.19901,3.72913,3.73500,3.73500,3.73500,3.73500,3.57146,3.51630,3.51630,3.52988,3.52080,3.52080,3.52080,3.52080,3.52080,3.52080,3.52080,3.67326,3.73320,3.65430,3.54780,3.54780,3.21420,3.75538,3.76650,3.57840,3.35775
2014,Tanilba Bay 33_11kV,03MAY2013,MW,3.27795,3.08160,3.01989,2.80800,2.80800,2.63008,2.28420,2.26502,2.08350,2.08350,1.81369,1.80630,1.80630,1.80630,1.80630,1.80630,1.80630,1.80630,1.80630,1.80630,1.94742,1.99530,2.13366,2.29680,2.29680,2.32372,2.74568,2.74770,2.74770,2.74770,2.74770,2.74770,2.74770,2.82175,2.77306,2.50348,2.59731,2.64330,2.64330,2.64330,2.47425,2.26530,2.26530,2.26530,2.26530,2.26530,2.26530,2.26530,2.26530,2.17639,2.06820,2.06820,2.06820,2.06820,2.06820,2.06820,2.06820,1.94834,1.86390,2.06592,2.16135,2.13390,2.13390,2.24734,2.38050,2.42099,2.57130,2.73905,2.95219,3.19620,3.26203,3.68135,3.56400,3.56400,3.56400,3.56400,3.56400,3.56400,3.33509,3.11490,3.11490,3.11490,3.11490,3.11490,3.42903,3.47234,3.32280,3.49770,3.53900,3.36060,3.36060,3.36060,3.91316,3.96360,3.74653,3.69450
2014,Tanilba Bay 33_11kV,04MAY2013,MW,3.38985,3.16710,3.16710,3.04333,2.73164,2.58390,2.42712,2.32364,2.15190,2.15190,2.15190,2.08742,1.87020,1.87020,1.87020,1.87020,1.75958,1.68480,1.84805,1.93050,1.93050,1.93050,1.93050,1.93050,2.01123,2.11680,2.11680,2.11680,2.15710,2.60460,2.64564,2.80980,2.91466,3.09150,3.09150,3.16925,3.31650,3.31650,3.31650,3.31650,3.10285,2.82780,2.90165,2.95604,2.86200,2.86200,2.86200,2.86200,2.82477,2.63250,2.82738,2.89350,2.89350,2.89350,2.80148,2.61180,2.61180,2.36730,2.34180,2.34180,2.34180,2.34180,2.34180,2.34180,2.51257,2.88990,2.88990,2.92828,3.39257,3.57651,3.83490,3.83490,3.83490,3.83490,3.83490,3.83490,3.75187,3.62790,3.39030,3.39030,3.39030,3.39030,3.38768,3.09510,2.99144,2.88450,2.92111,3.06859,2.78820,2.78820,2.78820,2.78820,3.34132,3.32215,3.02700,2.81430
2014,Tanilba Bay 33_11kV,05MAY2013,MW,2.81430,2.80577,2.54970,2.38280,2.27610,2.27610,2.06831,2.01337,1.80810,1.80810,1.80810,1.80810,1.80810,1.80810,1.80810,1.80810,1.80810,1.80810,1.94518,1.98900,1.98900,1.98900,1.98900,1.98900,1.98900,1.98900,1.98900,2.12535,2.23200,2.32400,2.43900,2.43900,2.87868,2.96100,2.96100,3.21876,3.24990,3.24990,3.24990,3.04492,2.97900,2.97900,2.97900,2.97649,2.79090,2.79090,2.79090,2.74484,2.58570,2.58570,2.58570,2.74087,2.76660,2.76660,2.60282,2.55870,2.55870,2.55870,2.55870,2.55870,2.55870,2.55870,2.55870,2.55870,2.62930,2.94103,2.95920,3.18970,3.51693,3.73304,3.97800,4.14065,4.31158,4.20750,4.20750,4.12533,4.00320,4.00320,4.00320,3.81830,3.58137,3.48120,3.48120,3.48120,3.40209,3.16103,3.07981,3.29937,3.15720,3.15720,3.12665,2.72215,3.14566,3.14000,2.92770,2.72707
2014,Tanilba Bay 33_11kV,06MAY2013,MW,2.65860,2.49860,2.43360,2.43184,2.16900,2.16900,2.16900,2.16900,2.00782,1.79573,1.84285,1.71630,1.71630,1.71630,1.71630,1.71630,1.79325,1.92060,1.92060,1.92060,1.96942,2.12400,2.23400,2.32200,2.32200,2.49640,2.53440,2.53440,2.53440,2.76792,2.80912,3.05910,2.83642,2.78190,2.78190,2.84624,2.74410,2.63880,2.76980,2.68005,2.74334,2.65854,2.32820,2.27250,2.10550,2.04750,2.21468,2.31570,2.31570,2.28501,2.12833,2.17948,2.20950,2.20950,2.20940,2.20460,2.20500,2.23698,2.43772,2.38680,2.38680,2.38680,2.38680,2.42705,2.68790,2.84850,2.84850,2.95223,3.41391,3.58333,3.81510,4.01645,4.28850,4.28850,4.10983,4.06170,3.95979,3.83580,3.83580,3.78005,3.43400,3.38760,3.38760,3.38760,3.38760,3.38760,3.66919,3.87450,3.87450,3.73457,3.53906,3.30321,3.65045,3.66120,3.66120,3.38811
2014,Tanilba Bay 33_11kV,07MAY2013,MW,3.19050,3.19050,3.19050,2.96344,2.66670,2.66670,2.60776,2.40593,2.17260,2.17260,2.09508,1.79748,1.70460,1.70460,1.70460,1.82571,1.90170,1.90170,1.90170,1.90170,1.93980,2.24530,2.33010,2.33010,2.33010,2.33010,2.57144,2.71193,2.81340,2.81340,2.81340,2.81340,2.81340,2.81340,2.91890,2.90816,2.85731,2.88653,2.78730,2.75466,2.55960,2.55960,2.55960,2.39999,2.50525,2.57850,2.32170,2.21555,2.08516,2.25990,2.25990,2.25990,2.25990,2.25990,2.25990,2.25990,2.35615,2.35728,2.26260,2.26260,2.26260,2.26260,2.26260,2.42930,2.67677,2.86650,2.89411,3.22609,3.27780,3.62333,3.99591,4.18230,4.06485,3.95100,3.95100,3.95100,3.95100,3.90666,3.70620,3.70620,3.70620,3.54111,3.50730,3.50730,3.50730,3.50730,3.80285,3.86550,3.86550,3.74738,3.62756,3.25128,3.95957,4.11120,3.76338,3.60403
2014,Tanilba Bay 33_11kV,08MAY2013,MW,3.33486,3.10050,3.10050,3.10050,2.88447,2.64992,2.43740,2.26125,2.06550,2.06550,1.97694,1.87110,1.87110,1.87110,1.87110,1.87110,1.87110,1.87110,1.87110,1.87110,1.93574,2.11050,2.14724,2.36880,2.36880,2.36880,2.58250,2.89440,2.89440,2.89440,2.89440,2.89440,2.89440,2.89440,2.89440,2.71880,2.69460,2.69460,2.69460,2.69460,2.69460,2.69460,2.56738,2.47140,2.47140,2.47140,2.47140,2.47140,2.40849,2.29050,2.32821,2.48670,2.35038,2.29590,2.29590,2.29590,2.26805,2.08170,2.12404,2.39602,2.38230,2.38230,2.40210,2.56410,2.56410,2.71729,3.08228,3.34440,3.34440,3.60251,3.94353,4.09230,4.09230,4.09230,4.09230,3.91830,3.87630,3.87630,3.63963,3.56580,3.49298,3.36600,3.36600,3.36600,3.36600,3.36600,3.61721,3.74670,3.74670,3.74670,3.63133,3.47641,3.92452,3.94200,3.94200,3.67648
2014,Tanilba Bay 33_11kV,09MAY2013,MW,3.57492,3.45816,3.16980,2.92195,2.89710,2.80270,2.47703,2.38140,2.38140,2.38140,2.36193,2.06702,1.91430,1.91430,1.91430,1.91430,1.91430,1.91430,1.91430,1.91430,2.09396,2.30005,2.46510,2.46510,2.46510,2.63291,2.72430,2.91600,2.91600,2.91600,2.91600,2.91600,2.91600,3.09526,3.02452,2.83410,2.83410,2.83410,2.67955,2.54250,2.53751,2.35530,2.35530,2.35530,2.35530,2.20126,2.09520,2.09520,2.09520,2.09520,2.12378,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.13120,2.14664,2.43990,2.43990,2.65582,2.70720,2.75651,3.19030,3.35719,3.76928,4.00195,4.10310,3.95253,3.89070,3.89070,3.73970,3.70530,3.61295,3.51810,3.68654,3.50190,3.50190,3.50190,3.50190,3.50190,3.56071,3.72060,3.87816,3.76937,3.68550,3.42226,3.95975,3.97026,3.77647,3.42200
2014,Tanilba Bay 33_11kV,10MAY2013,MW,3.31650,3.19724,2.99549,2.85840,2.85840,2.83256,2.40062,2.37455,2.09880,1.90103,1.92978,2.02320,2.02320,1.97250,1.79730,1.87821,1.98450,1.98450,1.98450,1.98450,1.98450,1.98450,1.98450,2.12312,2.41518,2.46870,2.74615,2.99094,2.83140,2.83140,2.92980,3.05280,3.05280,3.05280,3.05280,3.05280,2.82767,2.65913,2.80350,2.80350,2.54229,2.34450,2.34450,2.34450,2.34450,2.34450,2.34450,2.27351,2.13570,2.13570,2.13570,2.13570,2.13570,2.13570,2.13570,2.13570,2.19070,2.33370,2.33370,2.33370,2.33370,2.33370,2.33370,2.34808,2.54250,2.70250,2.72250,2.74014,3.10946,3.28197,3.61218,3.78939,3.81374,3.71880,3.71880,3.71880,3.71880,3.71880,3.55633,3.52890,3.52890,3.43253,3.24360,3.43166,3.48300,3.48300,3.58800,3.63861,3.56200,3.71790,3.51375,3.42810,3.89077,3.90920,3.70890,3.64361
