year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Tomalpin 33_11kV,01MAY2013,MW,0.16404,0.17795,0.15146,0.18616,0.16368,0.16839,0.15102,0.16376,0.16416,0.17440,0.14780,0.16423,0.15354,0.17617,0.15304,0.16553,0.14128,0.19905,0.18837,0.20817,0.21035,0.22232,0.23862,0.34083,0.63640,0.75004,0.80685,0.89304,0.87788,0.85832,0.59573,0.92528,0.72390,0.81897,0.85576,0.85942,0.89181,0.65209,0.64386,0.68330,0.59138,0.71049,0.64341,0.74105,0.70616,0.83825,0.89616,0.93079,0.90399,0.90664,0.72294,0.80684,0.84701,0.89152,0.93758,0.89528,0.85618,0.82623,0.89241,0.84627,0.94817,0.77670,0.87018,0.68667,0.95343,0.89514,0.94954,0.96503,1.05468,1.08626,0.93130,0.91264,0.87567,0.74215,0.73456,0.76955,0.98580,0.70477,0.31201,0.28633,0.63018,0.93540,0.89209,0.92787,0.90289,0.90637,0.69957,0.73682,0.71380,0.98320,1.00071,0.60183,0.27580,0.17609,0.16864,0.16784
2014,Tomalpin 33_11kV,02MAY2013,MW,0.16575,0.15984,0.16501,0.15010,0.16781,0.14606,0.17071,0.15296,0.16586,0.15148,0.14041,0.12725,0.14071,0.12713,0.13802,0.13244,0.13076,0.16848,0.15393,0.17320,0.17339,0.20015,0.17899,0.47694,0.40504,0.27890,0.54211,0.53012,0.67690,0.96926,0.90827,0.90682,1.03857,1.18638,0.96008,0.48784,0.56273,0.64047,0.70070,0.84759,0.92276,0.85840,0.96048,1.22764,0.85576,0.66317,0.63390,0.69114,0.61077,0.76769,0.94936,0.80086,0.81827,0.64327,0.65682,0.82159,0.60310,0.90084,0.71318,0.61338,0.70162,0.73029,0.78749,0.89027,0.74882,0.70193,0.75744,0.73469,0.74709,0.75359,0.67505,0.73978,0.74339,1.04061,0.99515,1.02760,0.92440,0.80774,0.95619,0.93072,1.11372,0.98246,0.95874,0.90230,0.87453,0.97547,0.73454,0.62382,0.86244,0.63670,0.79099,0.55437,0.27802,0.17959,0.17480,0.16804
2014,Tomalpin 33_11kV,03MAY2013,MW,0.16575,0.16404,0.16688,0.16394,0.17381,0.16154,0.16963,0.15754,0.16995,0.15160,0.17280,0.15371,0.17291,0.16643,0.13412,0.15547,0.16427,0.17452,0.18200,0.16439,0.18203,0.19607,0.21142,0.26311,0.75406,0.84957,0.83885,0.81004,0.79208,0.94307,0.84157,0.79822,0.77475,0.59555,0.90315,0.84914,0.90138,0.45379,0.35982,0.65707,0.78423,0.64703,0.72994,0.69615,0.87284,0.67323,0.92269,0.93739,0.92105,0.67971,0.61537,0.99602,0.50050,0.21665,0.15281,0.14339,0.13580,0.14579,0.13511,0.14927,0.13570,0.14436,0.13755,0.14258,0.13860,0.14160,0.13919,0.14448,0.13729,0.14782,0.14675,0.15721,0.14631,0.15718,0.14716,0.15697,0.13944,0.13134,0.12727,0.12398,0.13304,0.12023,0.13081,0.12028,0.13334,0.12628,0.12461,0.13128,0.12206,0.13099,0.12372,0.13586,0.13627,0.12692,0.13679,0.12947
2014,Tomalpin 33_11kV,04MAY2013,MW,0.13761,0.13187,0.13366,0.13812,0.13118,0.13644,0.13036,0.13834,0.14043,0.13159,0.13559,0.13211,0.13904,0.12553,0.10244,0.10478,0.09467,0.10463,0.10112,0.10507,0.09529,0.11010,0.10536,0.09717,0.11102,0.08676,0.09420,0.08888,0.09236,0.08724,0.09523,0.09145,0.08456,0.09886,0.08365,0.09318,0.08955,0.09616,0.08795,0.09527,0.09318,0.08316,0.10012,0.08322,0.09380,0.09026,0.09434,0.08849,0.09554,0.09474,0.08549,0.09416,0.09108,0.09676,0.08448,0.10063,0.08503,0.09520,0.08981,0.09646,0.09171,0.08849,0.10081,0.08415,0.09493,0.09023,0.09569,0.08452,0.09617,0.09253,0.10500,0.10287,0.10560,0.10588,0.09564,0.11178,0.09529,0.10568,0.11088,0.09647,0.10556,0.10191,0.10528,0.09563,0.11150,0.10100,0.09603,0.10930,0.09355,0.10291,0.09898,0.10328,0.09955,0.10124,0.10243,0.09274
2014,Tomalpin 33_11kV,05MAY2013,MW,0.10858,0.09344,0.10530,0.10213,0.10023,0.10843,0.09386,0.10259,0.09927,0.10290,0.09759,0.10568,0.10336,0.09385,0.10946,0.09260,0.10328,0.10383,0.10104,0.10350,0.09910,0.10263,0.09514,0.10726,0.09226,0.09769,0.09086,0.08431,0.09671,0.08282,0.09138,0.09011,0.08971,0.09360,0.08824,0.09209,0.08695,0.09383,0.08328,0.09852,0.08673,0.08652,0.09981,0.08295,0.09254,0.08347,0.10076,0.08485,0.09118,0.09635,0.08736,0.09272,0.08590,0.09570,0.08241,0.09758,0.08651,0.08964,0.09710,0.08545,0.09253,0.08569,0.09445,0.08232,0.09541,0.08797,0.09025,0.09782,0.09758,0.20972,0.20963,0.22436,0.21364,0.22271,0.21891,0.20854,0.22855,0.20739,0.17102,0.16373,0.16388,0.14934,0.15762,0.14285,0.12873,0.14208,0.12607,0.13873,0.12739,0.13304,0.13733,0.12416,0.12940,0.12458,0.12749,0.11762
2014,Tomalpin 33_11kV,06MAY2013,MW,0.13589,0.11811,0.12906,0.12796,0.12014,0.13457,0.11948,0.13377,0.12167,0.12903,0.12767,0.12795,0.13097,0.12308,0.12785,0.15943,0.15907,0.14986,0.17114,0.16883,0.19814,0.20632,0.21899,0.47331,0.77344,0.89911,0.88090,0.81669,0.98691,1.06320,0.92522,0.87092,0.87897,0.78268,0.75667,0.73420,0.78444,0.75462,0.77928,0.71872,0.83555,1.04277,0.77551,0.78799,0.66909,0.74640,0.92418,0.32099,0.66752,0.75378,0.87764,0.77877,0.81969,0.69394,0.80918,0.79563,0.77488,0.78788,0.73862,0.77071,0.89240,0.84538,0.87117,0.88968,0.78347,0.77011,0.81936,0.73286,0.64559,0.84474,0.87818,0.87201,0.84554,0.68373,0.82206,0.92749,0.71298,0.32118,0.31580,0.39066,0.93136,0.85630,0.86642,0.79664,0.74793,0.88404,0.96764,0.83386,0.87260,0.89037,0.89959,0.89570,0.67177,0.18746,0.16277,0.17649
2014,Tomalpin 33_11kV,07MAY2013,MW,0.16664,0.16285,0.16417,0.15352,0.18252,0.16813,0.17573,0.16260,0.16883,0.15730,0.18084,0.16190,0.18474,0.16240,0.16152,0.17358,0.16790,0.17611,0.17536,0.17284,0.22891,0.23247,0.21259,0.30800,0.37006,0.32484,0.37875,0.57302,0.72713,0.88650,0.52207,1.04300,1.13034,1.11486,1.18905,1.28640,0.95763,0.76582,0.84823,0.54358,0.83843,0.79956,0.77291,0.73446,0.73745,0.80901,0.80128,0.78381,0.75354,0.76474,0.74532,0.76986,0.77371,0.88648,0.79865,0.86611,0.61454,1.03593,0.82470,0.53805,0.86718,1.21016,1.19543,1.04889,1.14676,0.96851,1.09437,0.94144,1.07532,1.06526,1.10637,1.10478,1.10621,1.11099,1.08531,1.05809,0.93438,0.32899,0.29982,0.30802,0.45720,1.15853,1.09931,0.89809,0.86878,1.13751,0.97077,0.69193,0.69640,0.56825,0.87910,0.84293,0.25602,0.20092,0.17514,0.15064
2014,Tomalpin 33_11kV,08MAY2013,MW,0.18377,0.16394,0.17688,0.17097,0.16357,0.16925,0.15551,0.17342,0.17242,0.17072,0.18069,0.15248,0.17770,0.15490,0.17292,0.17244,0.19334,0.21258,0.20685,0.21619,0.22027,0.23814,0.26989,0.46752,0.97086,1.00402,0.95320,0.98918,0.98820,1.02862,1.07052,1.03859,0.88583,0.71485,0.89852,0.75640,0.88763,0.99275,0.73628,0.66519,0.96443,0.92417,0.71138,1.08841,0.72164,0.82842,0.89496,0.88538,0.90391,0.92897,0.94590,1.13725,1.11315,0.97402,0.73932,0.69408,0.86100,0.93765,0.94273,0.99521,0.84694,0.79564,0.78323,0.78353,0.76018,0.73147,0.76847,0.70074,0.81155,0.78727,0.83158,0.81114,0.79166,0.78467,0.87022,1.04370,0.43580,0.33864,0.33367,0.65929,1.09159,1.13931,1.09831,0.90244,0.91753,0.91025,0.83626,0.96260,1.05543,1.11780,1.24571,0.56359,0.15684,0.16820,0.15426,0.16357
2014,Tomalpin 33_11kV,09MAY2013,MW,0.15604,0.16363,0.15783,0.16600,0.15839,0.16142,0.16639,0.16021,0.16569,0.16867,0.15449,0.17618,0.15857,0.16681,0.16072,0.16738,0.17314,0.19853,0.20038,0.19768,0.21001,0.22027,0.25291,0.28196,1.02456,0.95259,1.02279,0.94028,0.98996,0.96536,0.55784,0.73393,0.76453,0.89304,0.85107,0.84929,0.84030,0.81290,0.68773,0.94425,0.89386,0.84108,0.81182,0.97517,1.13023,1.02312,0.94384,0.98687,0.79284,0.92559,1.08702,1.01802,0.93579,1.10203,1.03560,0.95975,0.87534,0.95593,1.00148,1.05160,0.78477,0.80584,0.77967,0.79441,0.72294,0.76728,0.87014,0.84062,0.78300,0.86396,0.84187,1.02362,1.04210,0.99857,0.98729,0.78824,0.32160,0.32048,0.33167,0.44119,1.06217,1.03236,1.09752,1.15653,1.15953,1.13848,1.11917,1.09750,0.98358,0.81835,0.27611,0.18480,0.17398,0.18202,0.16822,0.17188
2014,Tomalpin 33_11kV,10MAY2013,MW,0.17662,0.17125,0.17862,0.16371,0.18048,0.16842,0.17867,0.16434,0.18472,0.17200,0.17579,0.17452,0.16986,0.17904,0.17475,0.21899,0.20226,0.21416,0.21992,0.22014,0.28416,0.26790,0.29015,0.38597,0.82411,0.94617,0.91773,0.97398,0.98432,0.91014,0.92009,1.06420,0.89741,0.75503,0.86314,0.99975,1.09976,0.84891,0.85682,0.87353,0.99067,0.87739,0.72394,0.86562,0.78870,0.81613,0.81164,0.36978,0.19958,0.16216,0.13275,0.18071,0.14151,0.13464,0.13700,0.12670,0.14140,0.11357,0.12340,0.11063,0.12015,0.10924,0.12013,0.10937,0.12063,0.11141,0.12042,0.12255,0.11054,0.12395,0.12234,0.13302,0.12749,0.14164,0.12936,0.10885,0.11126,0.10096,0.11133,0.10276,0.11189,0.10321,0.11001,0.11266,0.10275,0.11067,0.10390,0.11309,0.10375,0.10936,0.11189,0.10915,0.10971,0.10240,0.11112,0.11218
